期刊名称,2025分区,Top
20 Et 21-Revue D Histoire,4,\
2D Materials,3,\
3 Biotech,4,\
3C Empresa,4,\
3c Tecnologia,4,\
3C Tic,4,\
3D Printing and Additive Manufacturing,4,\
3D Printing in Medicine,3,\
3L-Language Linguistics Literature-The Southeast Asian Journal of English Language Studies,3,\
452 F-Revista de Teoria de la Literatura y Literatura Comparada,4,\
4OR-A Quarterly Journal of Operations Research,4,\
A & A Practice,4,\
A + U-ARCHITECTURE AND URBANISM,4,\
A&C-Revista de Direito Administrativo & Constitucional,4,\
AAA-ARBEITEN AUS ANGLISTIK UND AMERIKANISTIK,4,\
AACN Advanced Critical Care,4,\
AAPG BULLETIN,3,\
AAPS Journal,3,\
AAPS PHARMSCITECH,4,\
AATCC Journal of Research,4,\
AATCC REVIEW,4,\
Ab Imperio-Studies of New Imperial History and Nationalism in the Post-Soviet Space,3,\
Abacus-A Journal of Accounting Finance and Business Studies,4,\
Abakos,4,\
Abanico Veterinario,4,\
ABCD-Arquivos Brasileiros de Cirurgia Digestiva-Brazilian Archives of Digestive Surgery,4,\
Abdominal Radiology,3,\
ABE Journal,4,\
ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,4,\
aBIOTECH,2,\
Aboriginal History,3,\
Abriu-Estudos de Textualidade do Brasil Galicia e Portugal,4,\
Academia y Virtualidad,4,\
Academia-Revista Latinoamericana de Administracion,4,\
ACADEMIC EMERGENCY MEDICINE,3,\
Academic Journal of Modern Philology,4,\
ACADEMIC MEDICINE,1,Yes
Academic Pathology,4,\
Academic Pediatrics,3,\
ACADEMIC PSYCHIATRY,4,\
ACADEMIC RADIOLOGY,2,\
Academy of Management Annals,1,Yes
Academy of Management Discoveries,2,\
ACADEMY OF MANAGEMENT JOURNAL,1,Yes
Academy of Management Learning & Education,2,\
Academy of Management Perspectives,2,\
ACADEMY OF MANAGEMENT REVIEW,1,Yes
Academy Review,4,\
ACADIENSIS,4,\
ACAROLOGIA,3,\
Access to Justice in Eastern Europe,4,\
ACCESS-Access to science business innovation in the digital economy,4,\
ACCIDENT ANALYSIS AND PREVENTION,1,Yes
Accion Psicologica,4,\
Acciones e Investigaciones Sociales,4,\
Accountability in Research-Ethics Integrity and Policy,2,\
ACCOUNTING AND BUSINESS RESEARCH,4,\
Accounting and Finance,4,\
Accounting Auditing & Accountability Journal,2,\
Accounting Economics and Law-A Convivium,4,\
Accounting Education,3,\
Accounting Forum,3,\
Accounting Historians Journal,4,\
Accounting History Review,4,\
Accounting History,4,\
Accounting Horizons,3,\
Accounting in Europe,3,\
ACCOUNTING ORGANIZATIONS AND SOCIETY,2,\
Accounting Perspectives,4,\
Accounting Research Journal,4,\
ACCOUNTING REVIEW,2,\
ACCOUNTS OF CHEMICAL RESEARCH,1,Yes
Accounts of Materials Research,1,Yes
ACCREDITATION AND QUALITY ASSURANCE,4,\
ACE-Architecture City and Environment,4,\
ACG Case Reports Journal,4,\
ACI MATERIALS JOURNAL,4,\
ACI STRUCTURAL JOURNAL,4,\
ACM Communications in Computer Algebra,4,\
ACM COMPUTING SURVEYS,1,Yes
ACM Journal of Data and Information Quality,4,\
ACM Journal on Computing and Cultural Heritage,3,\
ACM Journal on Emerging Technologies in Computing Systems,4,\
ACM SIGCOMM Computer Communication Review,4,\
ACM SIGecom Exchanges,4,\
ACM Transactions on Accessible Computing,2,\
ACM Transactions on Algorithms,3,\
ACM Transactions on Applied Perception,3,\
ACM Transactions on Architecture and Code Optimization,3,\
ACM Transactions on Asian and Low-Resource Language Information Processing,4,\
ACM Transactions on Autonomous and Adaptive Systems,4,\
ACM Transactions on Computation Theory,4,\
ACM Transactions on Computational Logic,4,\
ACM TRANSACTIONS ON COMPUTER SYSTEMS,4,\
ACM Transactions on Computer-Human Interaction,1,Yes
ACM Transactions on Computing Education,3,\
ACM Transactions on Cyber-Physical Systems,4,\
ACM TRANSACTIONS ON DATABASE SYSTEMS,2,\
ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,4,\
ACM Transactions on Economics and Computation,4,\
ACM Transactions on Embedded Computing Systems,3,\
ACM TRANSACTIONS ON GRAPHICS,1,Yes
ACM Transactions on Human-Robot Interaction,2,\
ACM TRANSACTIONS ON INFORMATION SYSTEMS,2,\
ACM Transactions on Intelligent Systems and Technology,3,\
ACM Transactions on Interactive Intelligent Systems,4,\
ACM Transactions on Internet of Things,3,\
ACM Transactions on Internet Technology,3,\
ACM Transactions on Knowledge Discovery from Data,3,\
ACM Transactions on Management Information Systems,4,\
ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,2,\
ACM Transactions on Modeling and Computer Simulation,4,\
ACM Transactions on Modeling and Performance Evaluation of Computing Systems,4,\
