期刊名,Quartile,,,,,,
CA-A CANCER JOURNAL FOR CLINICIANS,Q1,,,,,,
NATURE REVIEWS MICROBIOLOGY,Q1,,,,,,
NATURE REVIEWS DRUG DISCOVERY,Q1,,,,,,
NATURE REVIEWS MOLECULAR CELL BIOLOGY,Q1,,,,,,
Kidney International Supplements,Q1,,,,,,
LANCET,Q1,,,,,,
Nature Reviews Materials,Q1,,,,,,
Nature Reviews Clinical Oncology,Q1,,,,,,
NEW ENGLAND JOURNAL OF MEDICINE,Q1,,,,,,
Nature Reviews Earth & Environment,Q1,,,,,,
NATURE REVIEWS CANCER,Q1,,,,,,
World Psychiatry,Q1,,,,,,
ANNALS OF ONCOLOGY,Q1,,,,,,
Living Reviews in Relativity,Q1,,,,,,
NATURE REVIEWS IMMUNOLOGY,Q1,,,,,,
Nature Reviews Disease Primers,Q1,,,,,,
MMWR Recommendations and Reports,Q1,,,,,,
Nature Energy,Q1,,,,,,
Nature Reviews Methods Primers,Q1,,,,,,
CHEMICAL REVIEWS,Q1,,,,,,
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,Q1,,,,,,
Signal Transduction and Targeted Therapy,Q1,,,,,,
NATURE REVIEWS GENETICS,Q1,,,,,,
Nature Reviews Chemistry,Q1,,,,,,
Nature Reviews Gastroenterology & Hepatology,Q1,,,,,,
NATURE MEDICINE,Q1,,,,,,
MMWR Surveillance Summaries,Q1,,,,,,
NATURE,Q1,,,,,,
IEEE Communications Surveys and Tutorials,Q1,,,,,,
SCIENCE,Q1,,,,,,
LANCET NEUROLOGY,Q1,,,,,,
REVIEWS OF MODERN PHYSICS,Q1,,,,,,
Nature Catalysis,Q1,,,,,,
CANCER CELL,Q1,,,,,,
Nature Reviews Cardiology,Q1,,,,,,
BMJ-British Medical Journal,Q1,,,,,,
CELL,Q1,,,,,,
JOURNAL OF CLINICAL ONCOLOGY,Q1,,,,,,
Lancet Diabetes & Endocrinology,Q1,,,,,,
NATURE BIOTECHNOLOGY,Q1,,,,,,
Nature Electronics,Q1,,,,,,
Journal of Hematology & Oncology,Q1,,,,,,
Nature Reviews Endocrinology,Q1,,,,,,
PROGRESS IN MATERIALS SCIENCE,Q1,,,,,,
Nature Reviews Nephrology,Q1,,,,,,
Nature Reviews Physics,Q1,,,,,,
CHEMICAL SOCIETY REVIEWS,Q1,,,,,,
CIRCULATION,Q1,,,,,,
Lancet Gastroenterology & Hepatology,Q1,,,,,,
NATURE MATERIALS,Q1,,,,,,
Nature Reviews Bioengineering,Q1,,,,,,
REVIEWS OF GEOPHYSICS,Q1,,,,,,
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,Q1,,,,,,
eScience,Q1,,,,,,
Nano-Micro Letters,Q1,,,,,,
Electrochemical Energy Reviews,Q1,,,,,,
LANCET ONCOLOGY,Q1,,,,,,
EUROPEAN HEART JOURNAL,Q1,,,,,,
Joule,Q1,,,,,,
Nature Nanotechnology,Q1,,,,,,
Annual Review of Pathology-Mechanisms of Disease,Q1,,,,,,
Molecular Cancer,Q1,,,,,,
Cancer Discovery,Q1,,,,,,
Annual Review of Immunology,Q1,,,,,,
iMeta,Q1,,,,,,
Nature Reviews Neurology,Q1,,,,,,
JOURNAL OF HEPATOLOGY,Q1,,,,,,
Nature Photonics,Q1,,,,,,
Lancet Respiratory Medicine,Q1,,,,,,
Nature Reviews Rheumatology,Q1,,,,,,
Annual Review of Astronomy and Astrophysics,Q1,,,,,,
NATURE METHODS,Q1,,,,,,
eLight,Q1,,,,,,
Interdisciplinary Materials,Q1,,,,,,
Annual Review of Organizational Psychology and Organizational Behavior,Q1,,,,,,
LANCET INFECTIOUS DISEASES,Q1,,,,,,
Cell Metabolism,Q1,,,,,,
Energy & Environmental Science,Q1,,,,,,
Annual Review of Condensed Matter Physics,Q1,,,,,,
Annual Review of Fluid Mechanics,Q1,,,,,,
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,Q1,,,,,,
Annual Review of Psychology,Q1,,,,,,
NATURE GENETICS,Q1,,,,,,
Physiological Reviews,Q1,,,,,,
Nature Cancer,Q1,,,,,,
ACM COMPUTING SURVEYS,Q1,,,,,,
NATURE IMMUNOLOGY,Q1,,,,,,
Living Reviews in Solar Physics,Q1,,,,,,
Science Robotics,Q1,,,,,,
Nature Climate Change,Q1,,,,,,
Nature Sustainability,Q1,,,,,,
INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,Q1,,,,,,
Wiley Interdisciplinary Reviews-Computational Molecular Science,Q1,,,,,,
ADVANCED MATERIALS,Q1,,,,,,
NEW ASTRONOMY REVIEWS,Q1,,,,,,
MATERIALS SCIENCE & ENGINEERING R-REPORTS,Q1,,,,,,
NATURE REVIEWS NEUROSCIENCE,Q1,,,,,,
Nature Biomedical Engineering,Q1,,,,,,
ASTRONOMY AND ASTROPHYSICS REVIEW,Q1,,,,,,
Annual Review of Plant Biology,Q1,,,,,,
Immunity,Q1,,,,,,
PROGRESS IN POLYMER SCIENCE,Q1,,,,,,
Advanced Energy Materials,Q1,,,,,,
PROCEEDINGS OF THE IEEE,Q1,,,,,,
CELL RESEARCH,Q1,,,,,,
GUT,Q1,,,,,,
Innovation,Q1,,,,,,
Foundations and Trends in Machine Learning,Q1,,,,,,
EUROPEAN UROLOGY,Q1,,,,,,
Lancet Public Health,Q1,,,,,,
Gastroenterology,Q1,,,,,,
Advanced Powder Materials,Q1,,,,,,
Cancer Communications,Q1,,,,,,
Lancet Psychiatry,Q1,,,,,,
FUNGAL DIVERSITY,Q1,,,,,,
Carbon Energy,Q1,,,,,,
Lancet Digital Health,Q1,,,,,,
Molecular Plant,Q1,,,,,,
Nature Water,Q1,,,,,,
Nature Machine Intelligence,Q1,,,,,,
Advances in Optics and Photonics,Q1,,,,,,
EnergyChem,Q1,,,,,,
COORDINATION CHEMISTRY REVIEWS,Q1,,,,,,
Light-Science & Applications,Q1,,,,,,
JAMA Internal Medicine,Q1,,,,,,
BLOOD,Q1,,,,,,
Military Medical Research,Q1,,,,,,
Exploration,Q1,,,,,,
Opto-Electronic Advances,Q1,,,,,,
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,Q1,,,,,,
InfoMat,Q1,,,,,,
Annual Review of Medicine,Q1,,,,,,
Materials Today,Q1,,,,,,
ENDOCRINE REVIEWS,Q1,,,,,,
Nature Food,Q1,,,,,,
Nature Reviews Psychology,Q1,,,,,,
Advanced Composites and Hybrid Materials,Q1,,,,,,
DRUG RESISTANCE UPDATES,Q1,,,,,,
