Journal,Journal_Normalized,CAS2025_Quartile,CAS2025_Top,JCR_BestQuartile
A & A Practice,A AND A PRACTICE,4,,Q4
A&C-Revista de Direito Administrativo & Constitucional,A AND C REVISTA DE DIREITO ADMINISTRATIVO AND CONSTITUCIONAL,4,,Q3
A + U-ARCHITECTURE AND URBANISM,A U ARCHITECTURE AND URBANISM,4,,
AAA-ARBEITEN AUS ANGLISTIK UND AMERIKANISTIK,AAA ARBEITEN AUS ANGLISTIK UND AMERIKANISTIK,4,,
AACE Clinical Case Reports,AACE CLINICAL CASE REPORTS,,,Q4
AACN Advanced Critical Care,AACN ADVANCED CRITICAL CARE,4,,Q3
AAPG BULLETIN,AAPG BULLETIN,3,,Q2
AAPPS Bulletin,AAPPS BULLETIN,,,Q1
AAPS Journal,AAPS JOURNAL,3,,Q2
AAPS PHARMSCITECH,AAPS PHARMSCITECH,4,,Q1
AATCC Journal of Research,AATCC JOURNAL OF RESEARCH,4,,Q3
AATCC REVIEW,AATCC REVIEW,4,,Q4
Ab Imperio-Studies of New Imperial History and Nationalism in the Post-Soviet Space,AB IMPERIO STUDIES OF NEW IMPERIAL HISTORY AND NATIONALISM IN POST SOVIET SPACE,3,,Q1
Abacus-A Journal of Accounting Finance and Business Studies,ABACUS A JOURNAL OF ACCOUNTING FINANCE AND BUSINESS STUDIES,4,,Q2
Abakos,ABAKOS,4,,Q4
Abanico Veterinario,ABANICO VETERINARIO,4,,Q4
ABCD-Arquivos Brasileiros de Cirurgia Digestiva-Brazilian Archives of Digestive Surgery,ABCD ARQUIVOS BRASILEIROS DE CIRURGIA DIGESTIVA BRAZILIAN ARCHIVES OF DIGESTIVE SURGERY,4,,Q3
Abdominal Radiology,ABDOMINAL RADIOLOGY,3,,Q2
ABE Journal,ABE JOURNAL,4,,
ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,4,,Q4
aBIOTECH,ABIOTECH,2,,Q1
Aboriginal History,ABORIGINAL HISTORY,3,,Q3
