Journal,Journal_Normalized,CAS2025_Quartile,CAS2025_Top,JCR_BestQuartile
B E Journal of Economic Analysis & Policy,B E JOURNAL OF ECONOMIC ANALYSIS AND POLICY,4,,Q3
B E Journal of Macroeconomics,B E JOURNAL OF MACROECONOMICS,4,,Q4
B E Journal of Theoretical Economics,B E JOURNAL OF THEORETICAL ECONOMICS,4,,Q4
B-ENT,B ENT,4,,Q4
Babel-Litteratures Plurielles,BABEL LITTERATURES PLURIELLES,4,,
Babel-Revue Internationale de la Traduction-International Journal of Translation,BABEL REVUE INTERNATIONALE DE LA TRADUCTION INTERNATIONAL JOURNAL OF TRANSLATION,3,,Q4
BACH,BACH,3,,
Bagh-e Nazar,BAGH E NAZAR,4,,
Baghdad Science Journal,BAGHDAD SCIENCE JOURNAL,4,,Q2
Bahrain Medical Bulletin,BAHRAIN MEDICAL BULLETIN,4,,Q4
Bajo Palabra-Journal of Philosophy,BAJO PALABRA JOURNAL OF PHILOSOPHY,4,,
Balcanica,BALCANICA,4,,
Bali Medical Journal,BALI MEDICAL JOURNAL,4,,Q4
Balint-Journal,BALINT JOURNAL,4,,Q4
Balkan Arastrma Enstitusu Dergisi-Journal of Balkan Research Institute-JBRI,BALKAN ARAST RMA ENSTITUSU DERGISI JOURNAL OF BALKAN RESEARCH INSTITUTE JBRI,4,,Q4
Balkan Journal of Medical Genetics,BALKAN JOURNAL OF MEDICAL GENETICS,4,,Q4
Balkan Journal of Philosophy,BALKAN JOURNAL OF PHILOSOPHY,4,,
Balkan Medical Journal,BALKAN MEDICAL JOURNAL,4,,Q1
Balkanistic Forum,BALKANISTIC FORUM,4,,
Balneo and PRM Research Journal,BALNEO AND PRM RESEARCH JOURNAL,4,,Q3
BALTIC FORESTRY,BALTIC FORESTRY,4,,Q4
Baltic Journal of Art History,BALTIC JOURNAL OF ART HISTORY,3,,
Baltic Journal of Economic Studies,BALTIC JOURNAL OF ECONOMIC STUDIES,4,,Q4
Baltic Journal of Economics,BALTIC JOURNAL OF ECONOMICS,3,,Q3
Baltic Journal of English Language Literature and Culture,BALTIC JOURNAL OF ENGLISH LANGUAGE LITERATURE AND CULTURE,3,,
Baltic Journal of Health and Physical Activity,BALTIC JOURNAL OF HEALTH AND PHYSICAL ACTIVITY,4,,Q3
Baltic Journal of Management,BALTIC JOURNAL OF MANAGEMENT,4,,Q3
Baltic Journal of Modern Computing,BALTIC JOURNAL OF MODERN COMPUTING,4,,Q4
Baltic Journal of Road and Bridge Engineering,BALTIC JOURNAL OF ROAD AND BRIDGE ENGINEERING,4,,Q3
Baltic Region,BALTIC REGION,4,,Q2
Baltica,BALTICA,4,,Q4
Bamboo and Silk,BAMBOO AND SILK,4,,
Banach Journal of Mathematical Analysis,BANACH JOURNAL OF MATHEMATICAL ANALYSIS,2,,Q1
Bandung,BANDUNG,,,Q4
BANGLADESH JOURNAL OF BOTANY,BANGLADESH JOURNAL OF BOTANY,4,,Q4
Bangladesh Journal of Medical Science,BANGLADESH JOURNAL OF MEDICAL SCIENCE,4,,Q2
Bangladesh Journal of Otorhinolaryngology,BANGLADESH JOURNAL OF OTORHINOLARYNGOLOGY,4,,Q4
Bangladesh Journal of Pharmacology,BANGLADESH JOURNAL OF PHARMACOLOGY,4,,Q4
Bangladesh Journal of Plant Taxonomy,BANGLADESH JOURNAL OF PLANT TAXONOMY,4,,Q4
Banks and Bank Systems,BANKS AND BANK SYSTEMS,,,Q3
Barataria-Revista Castellano-Manchega de Ciencias Sociales,BARATARIA REVISTA CASTELLANO MANCHEGA DE CIENCIAS SOCIALES,4,,Q4
Bariatric Surgical Practice and Patient Care,BARIATRIC SURGICAL PRACTICE AND PATIENT CARE,4,,Q4
BASIC AND APPLIED ECOLOGY,BASIC AND APPLIED ECOLOGY,2,,Q1
BASIC AND APPLIED SOCIAL PSYCHOLOGY,BASIC AND APPLIED SOCIAL PSYCHOLOGY,4,,Q3
Basic and Clinical Andrology,BASIC AND CLINICAL ANDROLOGY,3,,Q3
Basic and Clinical Neuroscience,BASIC AND CLINICAL NEUROSCIENCE,4,,Q4
BASIC & CLINICAL PHARMACOLOGY & TOXICOLOGY,BASIC AND CLINICAL PHARMACOLOGY AND TOXICOLOGY,4,,Q2
Basic Income Studies,BASIC INCOME STUDIES,4,,Q2
BASIC RESEARCH IN CARDIOLOGY,BASIC RESEARCH IN CARDIOLOGY,1,Yes,Q1
Basiliade-Revista de Filosofia,BASILIADE REVISTA DE FILOSOFIA,,,
BASIN RESEARCH,BASIN RESEARCH,2,,Q2
Batteries & Supercaps,BATTERIES AND SUPERCAPS,4,,Q2
Batteries-Basel,BATTERIES BASEL,4,,Q2
Battery Energy,BATTERY ENERGY,3,,Q1
Bauingenieur,BAUINGENIEUR,4,,Q4
Bauphysik,BAUPHYSIK,4,,Q4
Bautechnik,BAUTECHNIK,4,,Q4
Bayesian Analysis,BAYESIAN ANALYSIS,1,Yes,Q1
BBA Advances,BBA ADVANCES,,,Q2
BDJ Open,BDJ OPEN,2,,Q2
Behavior Analysis in Practice,BEHAVIOR ANALYSIS IN PRACTICE,3,,Q3
Behavior and Social Issues,BEHAVIOR AND SOCIAL ISSUES,3,,Q2
BEHAVIOR GENETICS,BEHAVIOR GENETICS,3,,Q2
BEHAVIOR MODIFICATION,BEHAVIOR MODIFICATION,3,,Q2
Behavior Research Methods,BEHAVIOR RESEARCH METHODS,2,,Q1
BEHAVIOR THERAPY,BEHAVIOR THERAPY,2,Yes,Q1
Behavioral and Brain Functions,BEHAVIORAL AND BRAIN FUNCTIONS,2,,Q1
