Journal,Journal_Normalized,CAS2025_Quartile,CAS2025_Top,JCR_BestQuartile
C-Journal of Carbon Research,C JOURNAL OF CARBON RESEARCH,4,,Q3
CA-A CANCER JOURNAL FOR CLINICIANS,CA A CANCER JOURNAL FOR CLINICIANS,1,Yes,Q1
CAAI Transactions on Intelligence Technology,CAAI TRANSACTIONS ON INTELLIGENCE TECHNOLOGY,1,Yes,Q1
Cabas,CABAS,4,,Q4
CABI Agriculture & Bioscience,CABI AGRICULTURE AND BIOSCIENCE,3,,Q2
Caderno Profissional de Marketing Unimep,CADERNO PROFISSIONAL DE MARKETING UNIMEP,4,,
Cadernos Brasileiros de Terapia Ocupacional-Brazilian Journal of Occupational Therapy,CADERNOS BRASILEIROS DE TERAPIA OCUPACIONAL BRAZILIAN JOURNAL OF OCCUPATIONAL THERAPY,4,,Q4
Cadernos de Dereito Actual,CADERNOS DE DEREITO ACTUAL,4,,Q3
Cadernos de Estudos Linguisticos,CADERNOS DE ESTUDOS LINGUISTICOS,4,,
Cadernos de Geografia,CADERNOS DE GEOGRAFIA,4,,Q4
Cadernos de Historia,CADERNOS DE HISTORIA,4,,Q4
Cadernos de Letras da UFF,CADERNOS DE LETRAS DA UFF,4,,
Cadernos de Saude Publica,CADERNOS DE SAUDE PUBLICA,4,,Q3
Cadernos de Traducao,CADERNOS DE TRADUCAO,4,,
Cadernos Educacao Tecnologia e Sociedade,CADERNOS EDUCACAO TECNOLOGIA E SOCIEDADE,4,,
Cadernos Gestao Publica e Cidadania,CADERNOS GESTAO PUBLICA E CIDADANIA,4,,Q4
Cadmo,CADMO,4,,Q4
CAHIERS AGRICULTURES,CAHIERS AGRICULTURES,4,,Q3
Cahiers Balkaniques,CAHIERS BALKANIQUES,3,,
CAHIERS D ETUDES AFRICAINES,CAHIERS D ETUDES AFRICAINES,4,,Q4
Cahiers d Etudes du Religieux-Recherches Interdisciplinaires,CAHIERS D ETUDES DU RELIGIEUX RECHERCHES INTERDISCIPLINAIRES,4,,
CAHIERS DE BIOLOGIE MARINE,CAHIERS DE BIOLOGIE MARINE,4,,Q4
Cahiers de Civilisation Espagnole Contemporaine-De 1808 Au Temps Present,CAHIERS DE CIVILISATION ESPAGNOLE CONTEMPORAINE DE 1808 AU TEMPS PRESENT,4,,Q3
CAHIERS DE CIVILISATION MEDIEVALE,CAHIERS DE CIVILISATION MEDIEVALE,4,,
Cahiers de Droit,CAHIERS DE DROIT,4,,Q4
Cahiers de Narratologie,CAHIERS DE NARRATOLOGIE,4,,
CAHIERS DE NUTRITION ET DE DIETETIQUE,CAHIERS DE NUTRITION ET DE DIETETIQUE,4,,Q4
Cahiers des Ameriques Latines,CAHIERS DES AMERIQUES LATINES,4,,Q4
Cahiers des Etudes Anciennes,CAHIERS DES ETUDES ANCIENNES,4,,
CAHIERS DU MONDE RUSSE,CAHIERS DU MONDE RUSSE,3,,Q2
CAHIERS ELISABETHAINS,CAHIERS ELISABETHAINS,3,,
Cahiers Mondes Anciens,CAHIERS MONDES ANCIENS,4,,
CAHIERS VICTORIENS & EDOUARDIENS,CAHIERS VICTORIENS AND EDOUARDIENS,4,,
Caietele Echinox,CAIETELE ECHINOX,4,,
Cailiao Gongcheng-Journal of Materials Engineering,CAILIAO GONGCHENG JOURNAL OF MATERIALS ENGINEERING,3,,Q4
CALCIFIED TISSUE INTERNATIONAL,CALCIFIED TISSUE INTERNATIONAL,3,,Q2
CALCOLO,CALCOLO,3,,Q1
CALCULUS OF VARIATIONS AND PARTIAL DIFFERENTIAL EQUATIONS,CALCULUS OF VARIATIONS AND PARTIAL DIFFERENTIAL EQUATIONS,1,Yes,Q1
CALDASIA,CALDASIA,4,,Q4
CALICO Journal,CALICO JOURNAL,4,,Q1
Calidad de Vida y Salud,CALIDAD DE VIDA Y SALUD,4,,Q4
CALIFORNIA AGRICULTURE,CALIFORNIA AGRICULTURE,4,,Q3
California Archaeology,CALIFORNIA ARCHAEOLOGY,4,,
California Fish and Wildlife Journal,CALIFORNIA FISH AND WILDLIFE JOURNAL,4,,Q4
CALIFORNIA HISTORY,CALIFORNIA HISTORY,4,,Q2
CALIFORNIA LAW REVIEW,CALIFORNIA LAW REVIEW,2,,Q1
CALIFORNIA MANAGEMENT REVIEW,CALIFORNIA MANAGEMENT REVIEW,2,,Q1
Caligrama-Revista de Estudos Romanicos,CALIGRAMA REVISTA DE ESTUDOS ROMANICOS,4,,
Caliope-Journal of the Society for Renaissance and Baroque Hispanic Poetry,CALIOPE JOURNAL OF SOCIETY FOR RENAISSANCE AND BAROQUE HISPANIC POETRY,3,,
