Journal,Journal_Normalized,CAS2025_Quartile,CAS2025_Top,JCR_BestQuartile
Dacoromania,DACOROMANIA,4,,
DADOS-REVISTA DE CIENCIAS SOCIAIS,DADOS REVISTA DE CIENCIAS SOCIAIS,4,,Q3
DAEDALUS,DAEDALUS,3,,Q1
Daimon-Revista Internacional de Filosofia,DAIMON REVISTA INTERNACIONAL DE FILOSOFIA,4,,
Dairy,DAIRY,,,Q1
Dalhousie Journal of Interdisciplinary Management,DALHOUSIE JOURNAL OF INTERDISCIPLINARY MANAGEMENT,4,,Q4
DALHOUSIE REVIEW,DALHOUSIE REVIEW,4,,
DALTON TRANSACTIONS,DALTON TRANSACTIONS,3,,Q1
DANCE CHRONICLE,DANCE CHRONICLE,3,,
DANCE MAGAZINE,DANCE MAGAZINE,4,,
Dance Research,DANCE RESEARCH,3,,
DANCE RESEARCH JOURNAL,DANCE RESEARCH JOURNAL,1,Yes,
Danish Medical Journal,DANISH MEDICAL JOURNAL,4,,Q2
Danza e Ricerca-Laboratorio di Studi Scritture Visioni,DANZA E RICERCA LABORATORIO DI STUDI SCRITTURE VISIONI,3,,
Dao-A Journal of Comparative Philosophy,DAO A JOURNAL OF COMPARATIVE PHILOSOPHY,3,,
DAPHNIS-ZEITSCHRIFT FUR MITTLERE DEUTSCHE LITERATUR,DAPHNIS ZEITSCHRIFT FUR MITTLERE DEUTSCHE LITERATUR,3,,
DARU-Journal of Pharmaceutical Sciences,DARU JOURNAL OF PHARMACEUTICAL SCIENCES,4,,Q3
Data,DATA,4,,Q2
DATA & KNOWLEDGE ENGINEERING,DATA AND KNOWLEDGE ENGINEERING,3,,Q3
Data & Policy,DATA AND POLICY,4,,Q2
DATA BASE FOR ADVANCES IN INFORMATION SYSTEMS,DATA BASE FOR ADVANCES IN INFORMATION SYSTEMS,4,,Q2
Data-Centric Engineering,DATA CENTRIC ENGINEERING,3,,Q2
Data in Brief,DATA IN BRIEF,4,,Q3
Data Intelligence,DATA INTELLIGENCE,2,,Q3
DATA MINING AND KNOWLEDGE DISCOVERY,DATA MINING AND KNOWLEDGE DISCOVERY,3,,Q2
Data Science and Engineering,DATA SCIENCE AND ENGINEERING,1,Yes,Q1
Data Science in Finance and Economics,DATA SCIENCE IN FINANCE AND ECONOMICS,4,,Q2
Data Technologies and Applications,DATA TECHNOLOGIES AND APPLICATIONS,4,,Q2
Database-The Journal of Biological Databases and Curation,DATABASE JOURNAL OF BIOLOGICAL DATABASES AND CURATION,4,,Q1
DDS-Die Deutsche Schule,DDS DIE DEUTSCHE SCHULE,4,,Q4
De Arte,DE ARTE,4,,
De Computis-Revista Espanola de Historia de la Contabilidad,DE COMPUTIS REVISTA ESPANOLA DE HISTORIA DE LA CONTABILIDAD,4,,Q4
De Jure Law Journal,DE JURE LAW JOURNAL,4,,Q3
De Medio Aevo,DE MEDIO AEVO,3,,
Dead Sea Discoveries,DEAD SEA DISCOVERIES,1,Yes,
Deafness & Education International,DEAFNESS AND EDUCATION INTERNATIONAL,4,,Q3
Dearq,DEARQ,4,,
DEATH STUDIES,DEATH STUDIES,4,,Q2
Debate Universitario,DEBATE UNIVERSITARIO,4,,Q4
Debates,DEBATES,4,,
Debates en Sociologia,DEBATES EN SOCIOLOGIA,4,,Q4
Debats-Revista de Cultura Poder i Societat,DEBATS REVISTA DE CULTURA PODER I SOCIETAT,4,,Q4
Decision,DECISION,4,,Q4
Decision Analysis,DECISION ANALYSIS,4,,Q3
Decision Science Letters,DECISION SCIENCE LETTERS,4,,Q4
DECISION SCIENCES,DECISION SCIENCES,4,,Q3
Decision Sciences-Journal of Innovative Education,DECISION SCIENCES JOURNAL OF INNOVATIVE EDUCATION,4,,Q3
DECISION SUPPORT SYSTEMS,DECISION SUPPORT SYSTEMS,2,Yes,Q1
Decision-Washington,DECISION WASHINGTON,3,,Q3
Decisions in Economics and Finance,DECISIONS IN ECONOMICS AND FINANCE,4,,Q4
DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS,DEEP SEA RESEARCH PART I OCEANOGRAPHIC RESEARCH PAPERS,2,,Q2
DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY,DEEP SEA RESEARCH PART II TOPICAL STUDIES IN OCEANOGRAPHY,3,,Q1
Deep Underground Science and Engineering,DEEP UNDERGROUND SCIENCE AND ENGINEERING,4,,Q1
DEFENCE AND PEACE ECONOMICS,DEFENCE AND PEACE ECONOMICS,3,,Q2
Defence and Security Analysis,DEFENCE AND SECURITY ANALYSIS,4,,Q3
DEFENCE SCIENCE JOURNAL,DEFENCE SCIENCE JOURNAL,4,,Q3
Defence Technology,DEFENCE TECHNOLOGY,1,Yes,Q1
Degenerative Neurological and Neuromuscular Disease,DEGENERATIVE NEUROLOGICAL AND NEUROMUSCULAR DISEASE,4,,Q2
DEGRES-REVUE DE SYNTHESE A ORIENTATION SEMIOLOGIQUE,DEGRES REVUE DE SYNTHESE A ORIENTATION SEMIOLOGIQUE,4,,
Deleuze and Guattari Studies,DELEUZE AND GUATTARI STUDIES,3,,
Deltion of the Christian Archaeological Society,DELTION OF CHRISTIAN ARCHAEOLOGICAL SOCIETY,4,,
DEMENTIA AND GERIATRIC COGNITIVE DISORDERS,DEMENTIA AND GERIATRIC COGNITIVE DISORDERS,4,,Q3
Dementia and Geriatric Cognitive Disorders Extra,DEMENTIA AND GERIATRIC COGNITIVE DISORDERS EXTRA,4,,Q3
Dementia-International Journal of Social Research and Practice,DEMENTIA INTERNATIONAL JOURNAL OF SOCIAL RESEARCH AND PRACTICE,3,,Q2
Democracy & Security,DEMOCRACY AND SECURITY,4,,Q2
Democratic Theory-An Interdisciplinary Journal,DEMOCRATIC THEORY AN INTERDISCIPLINARY JOURNAL,4,,Q3
Democratization,DEMOCRATIZATION,1,Yes,Q1
Demografie,DEMOGRAFIE,4,,Q4
Demographic Research,DEMOGRAPHIC RESEARCH,3,,Q2
DEMOGRAPHY,DEMOGRAPHY,1,Yes,Q1
Demonstratio Mathematica,DEMONSTRATIO MATHEMATICA,2,,Q1
DEN Open,DEN OPEN,4,,Q4
Dendrobiology,DENDROBIOLOGY,3,,Q2
DENDROCHRONOLOGIA,DENDROCHRONOLOGIA,2,,Q2
DENKMALPFLEGE,DENKMALPFLEGE,4,,
Dental and Medical Problems,DENTAL AND MEDICAL PROBLEMS,3,,Q1
Dental Cadmos,DENTAL CADMOS,4,,Q4
Dental Hypotheses,DENTAL HYPOTHESES,4,,Q3
DENTAL MATERIALS,DENTAL MATERIALS,1,Yes,Q1
DENTAL MATERIALS JOURNAL,DENTAL MATERIALS JOURNAL,4,,Q2
DENTAL TRAUMATOLOGY,DENTAL TRAUMATOLOGY,3,,Q1
Dentistry Journal,DENTISTRY JOURNAL,3,,Q1
DENTOMAXILLOFACIAL RADIOLOGY,DENTOMAXILLOFACIAL RADIOLOGY,3,,Q1
Denver Law Review,DENVER LAW REVIEW,4,,
Departures in Critical Qualitative Research,DEPARTURES IN CRITICAL QUALITATIVE RESEARCH,4,,Q3
Dependence Modeling,DEPENDENCE MODELING,4,,Q3
Depositional Record,DEPOSITIONAL RECORD,4,,Q1
DEPRESSION AND ANXIETY,DEPRESSION AND ANXIETY,2,,Q1
Derecho Penal y Criminologia,DERECHO PENAL Y CRIMINOLOGIA,4,,Q4
Derecho PUCP,DERECHO PUCP,4,,Q3
Derecho y Ciencias Sociales,DERECHO Y CIENCIAS SOCIALES,4,,Q4
Derechos y Libertades,DERECHOS Y LIBERTADES,4,,Q3
Dermatitis,DERMATITIS,2,,Q1
DERMATOLOGIC CLINICS,DERMATOLOGIC CLINICS,3,,Q2
DERMATOLOGIC SURGERY,DERMATOLOGIC SURGERY,3,,Q2
Dermatologic Therapy,DERMATOLOGIC THERAPY,3,,Q1
Dermatologica Sinica,DERMATOLOGICA SINICA,4,,Q2
Dermatologie,DERMATOLOGIE,4,,Q4
Dermatologie in Beruf und Umwelt,DERMATOLOGIE IN BERUF UND UMWELT,4,,Q4
DERMATOLOGY,DERMATOLOGY,3,,Q2
Dermatology and Therapy,DERMATOLOGY AND THERAPY,3,,Q1
Dermatology Practical & Conceptual,DERMATOLOGY PRACTICAL AND CONCEPTUAL,4,,Q2
Dermatology Reports,DERMATOLOGY REPORTS,4,,Q3
Dermatology Research and Practice,DERMATOLOGY RESEARCH AND PRACTICE,4,,Q3
Dermatopathology,DERMATOPATHOLOGY,4,,Q3
Derrida Today,DERRIDA TODAY,3,,
Desafios,DESAFIOS,4,,Q3
DESALINATION,DESALINATION,2,Yes,Q1
Desalination and Water Treatment,DESALINATION AND WATER TREATMENT,4,,Q4
Desde el Jardin de Freud-Revista de Psicoanalisis,DESDE EL JARDIN DE FREUD REVISTA DE PSICOANALISIS,4,,
Desenvolvimento e Meio Ambiente,DESENVOLVIMENTO E MEIO AMBIENTE,4,,Q4
DESIDOC Journal of Library & Information Technology,DESIDOC JOURNAL OF LIBRARY AND INFORMATION TECHNOLOGY,4,,Q3
Design and Culture,DESIGN AND CULTURE,3,,
DESIGN AUTOMATION FOR EMBEDDED SYSTEMS,DESIGN AUTOMATION FOR EMBEDDED SYSTEMS,4,,Q4
DESIGN ISSUES,DESIGN ISSUES,4,,
Design Journal,DESIGN JOURNAL,4,,
Design Science,DESIGN SCIENCE,3,,Q3
Design Studies,DESIGN STUDIES,1,Yes,Q1
DESIGNED MONOMERS AND POLYMERS,DESIGNED MONOMERS AND POLYMERS,4,,Q3
deSignis,DESIGNIS,4,,Q4
DESIGNS CODES AND CRYPTOGRAPHY,DESIGNS CODES AND CRYPTOGRAPHY,3,,Q2
Detritus,DETRITUS,4,,Q4
Deturope-The Central European journal of Regional Development and Tourism,DETUROPE CENTRAL EUROPEAN JOURNAL OF REGIONAL DEVELOPMENT AND TOURISM,4,,Q4
Deutsch als Fremdsprache-Zeitschrift zur Theorie und Praxis des Faches Deutsch als Fremdsprache,DEUTSCH ALS FREMDSPRACHE ZEITSCHRIFT ZUR THEORIE UND PRAXIS DES FACHES DEUTSCH ALS FREMDSPRACHE,4,,
DEUTSCHE ENTOMOLOGISCHE ZEITSCHRIFT,DEUTSCHE ENTOMOLOGISCHE ZEITSCHRIFT,2,,Q3
DEUTSCHE MEDIZINISCHE WOCHENSCHRIFT,DEUTSCHE MEDIZINISCHE WOCHENSCHRIFT,4,,Q3
DEUTSCHE SPRACHE,DEUTSCHE SPRACHE,4,,
DEUTSCHE VIERTELJAHRSSCHRIFT FUR LITERATURWISSENSCHAFT UND GEISTESGESCHICHTE,DEUTSCHE VIERTELJAHRSSCHRIFT FUR LITERATURWISSENSCHAFT UND GEISTESGESCHICHTE,2,,
Deutsche Zeitschrift fur Akupunktur,DEUTSCHE ZEITSCHRIFT FUR AKUPUNKTUR,4,,Q4
DEUTSCHE ZEITSCHRIFT FUR PHILOSOPHIE,DEUTSCHE ZEITSCHRIFT FUR PHILOSOPHIE,4,,
Deutsches Arzteblatt International,DEUTSCHES ARZTEBLATT INTERNATIONAL,2,,Q1
DEVELOPING ECONOMIES,DEVELOPING ECONOMIES,4,,Q3
Developing World Bioethics,DEVELOPING WORLD BIOETHICS,4,,Q3
DEVELOPMENT,DEVELOPMENT,2,,Q1
DEVELOPMENT AND CHANGE,DEVELOPMENT AND CHANGE,2,,Q1
DEVELOPMENT AND PSYCHOPATHOLOGY,DEVELOPMENT AND PSYCHOPATHOLOGY,2,,Q1
DEVELOPMENT GENES AND EVOLUTION,DEVELOPMENT GENES AND EVOLUTION,4,,Q4
DEVELOPMENT GROWTH & DIFFERENTIATION,DEVELOPMENT GROWTH AND DIFFERENTIATION,4,,Q4
Development in Practice,DEVELOPMENT IN PRACTICE,4,,Q3
Development Policy Review,DEVELOPMENT POLICY REVIEW,3,,Q3
Development Southern Africa,DEVELOPMENT SOUTHERN AFRICA,4,,Q3
DEVELOPMENTAL AND COMPARATIVE IMMUNOLOGY,DEVELOPMENTAL AND COMPARATIVE IMMUNOLOGY,3,,Q1
DEVELOPMENTAL BIOLOGY,DEVELOPMENTAL BIOLOGY,3,,Q3
DEVELOPMENTAL CELL,DEVELOPMENTAL CELL,1,Yes,Q1
Developmental Cognitive Neuroscience,DEVELOPMENTAL COGNITIVE NEUROSCIENCE,2,Yes,Q1
DEVELOPMENTAL DYNAMICS,DEVELOPMENTAL DYNAMICS,4,,Q2
DEVELOPMENTAL MEDICINE AND CHILD NEUROLOGY,DEVELOPMENTAL MEDICINE AND CHILD NEUROLOGY,2,,Q1
Developmental Neurobiology,DEVELOPMENTAL NEUROBIOLOGY,4,,Q2
