Journal,Journal_Normalized,CAS2025_Quartile,CAS2025_Top,JCR_BestQuartile
E&G Quaternary Science Journal,E AND G QUATERNARY SCIENCE JOURNAL,3,,Q1
E & M Ekonomie a Management,E AND M EKONOMIE A MANAGEMENT,4,,Q3
E-Balonmano com,E BALONMANO COM,4,,Q4
E-Ciencias de la Informacion,E CIENCIAS DE LA INFORMACION,4,,Q4
e-Informatica Software Engineering Journal,E INFORMATICA SOFTWARE ENGINEERING JOURNAL,4,,Q4
E-Journal of International and Comparative Labour Studies,E JOURNAL OF INTERNATIONAL AND COMPARATIVE LABOUR STUDIES,4,,Q4
e-Journal of Surface Science and Nanotechnology,E JOURNAL OF SURFACE SCIENCE AND NANOTECHNOLOGY,4,,Q4
E-Latina-Revista Electronica de Estudios Latinoamericanos,E LATINA REVISTA ELECTRONICA DE ESTUDIOS LATINOAMERICANOS,4,,Q4
E-Learning and Digital Media,E LEARNING AND DIGITAL MEDIA,3,,Q1
e-Legal History Review,E LEGAL HISTORY REVIEW,4,,Q3
E-Mentor,E MENTOR,4,,Q4
E-POLYMERS,E POLYMERS,3,,Q2
e-rph-Revista electronica de Patrimonio Historico,E RPH REVISTA ELECTRONICA DE PATRIMONIO HISTORICO,4,,
E-Scrita-Revista do Curso de Letras da UNIABEU,E SCRITA REVISTA DO CURSO DE LETRAS DA UNIABEU,4,,
E-Spania-Revue Electronique d etudes Hispaniques Medievales,E SPANIA REVUE ELECTRONIQUE D ETUDES HISPANIQUES MEDIEVALES,4,,
E-Water,E WATER,,,Q4
EAI Endorsed Transactions on Scalable Information Systems,EAI ENDORSED TRANSACTIONS ON SCALABLE INFORMATION SYSTEMS,4,,Q4
EAR AND HEARING,EAR AND HEARING,2,,Q1
EARI-Educacion Artistica-Revista de Investigacion,EARI EDUCACION ARTISTICA REVISTA DE INVESTIGACION,4,,
EARLY AMERICAN LITERATURE,EARLY AMERICAN LITERATURE,3,,
Early American Studies-An Interdisciplinary Journal,EARLY AMERICAN STUDIES AN INTERDISCIPLINARY JOURNAL,4,,Q2
Early Child Development and Care,EARLY CHILD DEVELOPMENT AND CARE,4,,Q3
Early Childhood Education Journal,EARLY CHILDHOOD EDUCATION JOURNAL,3,,Q2
EARLY CHILDHOOD RESEARCH QUARTERLY,EARLY CHILDHOOD RESEARCH QUARTERLY,1,Yes,Q1
Early China,EARLY CHINA,4,,
Early Christianity,EARLY CHRISTIANITY,3,,
Early Education and Development,EARLY EDUCATION AND DEVELOPMENT,3,,Q1
EARLY HUMAN DEVELOPMENT,EARLY HUMAN DEVELOPMENT,3,,Q2
Early Intervention in Psychiatry,EARLY INTERVENTION IN PSYCHIATRY,3,,Q3
Early Medieval China,EARLY MEDIEVAL CHINA,3,,
Early Medieval Europe,EARLY MEDIEVAL EUROPE,1,Yes,
Early Modern French Studies,EARLY MODERN FRENCH STUDIES,3,,Q3
Early Modern Women-An Interdisciplinary Journal,EARLY MODERN WOMEN AN INTERDISCIPLINARY JOURNAL,4,,
EARLY MUSIC,EARLY MUSIC,1,Yes,
EARLY MUSIC HISTORY,EARLY MUSIC HISTORY,2,,
Early Popular Visual Culture,EARLY POPULAR VISUAL CULTURE,3,,
Early Science and Medicine,EARLY SCIENCE AND MEDICINE,2,,Q4
Early Theatre,EARLY THEATRE,3,,
Early Years,EARLY YEARS,4,,Q3
EARTH,EARTH,4,,Q2
Earth and Environmental Science Transactions of the Royal Society of Edinburgh,EARTH AND ENVIRONMENTAL SCIENCE TRANSACTIONS OF ROYAL SOCIETY OF EDINBURGH,4,,Q3
