Journal,Journal_Normalized,CAS2025_Quartile,CAS2025_Top,JCR_BestQuartile
F&S Reports,F AND S REPORTS,,,Q2
F&S Science,F AND S SCIENCE,,,Q3
F Scott Fitzgerald Review,F SCOTT FITZGERALD REVIEW,4,,
Fabrications-The Journal of the Society of Architectural Historians Australia and New Zealand,FABRICATIONS JOURNAL OF SOCIETY OF ARCHITECTURAL HISTORIANS AUSTRALIA AND NEW ZEALAND,4,,
FABULA,FABULA,4,,
FACE,FACE,,,Q4
Facets,FACETS,3,,Q2
Fachsprache-Journal of Professional and Scientific Communication,FACHSPRACHE JOURNAL OF PROFESSIONAL AND SCIENTIFIC COMMUNICATION,4,,
FACIAL PLASTIC SURGERY,FACIAL PLASTIC SURGERY,4,,Q3
Facial Plastic Surgery & Aesthetic Medicine,FACIAL PLASTIC SURGERY AND AESTHETIC MEDICINE,3,,Q2
Facial Plastic Surgery Clinics of North America,FACIAL PLASTIC SURGERY CLINICS OF NORTH AMERICA,2,,Q2
FACIES,FACIES,3,,Q2
Facilities,FACILITIES,4,,Q3
Facta Universitatis-Series Electronics and Energetics,FACTA UNIVERSITATIS SERIES ELECTRONICS AND ENERGETICS,4,,Q4
Facta Universitatis-Series Mathematics and Informatics,FACTA UNIVERSITATIS SERIES MATHEMATICS AND INFORMATICS,4,,Q4
Facta Universitatis-Series Mechanical Engineering,FACTA UNIVERSITATIS SERIES MECHANICAL ENGINEERING,1,Yes,Q1
Facts Views and Vision in ObGyn,FACTS VIEWS AND VISION IN OBGYN,4,,Q3
Faith and Philosophy,FAITH AND PHILOSOPHY,3,,
Familial Cancer,FAMILIAL CANCER,4,,Q3
Families In Society-The Journal of Contemporary Social Services,FAMILIES IN SOCIETY JOURNAL OF CONTEMPORARY SOCIAL SERVICES,4,,Q3
Families Relationships and Societies,FAMILIES RELATIONSHIPS AND SOCIETIES,4,,Q3
Families Systems & Health,FAMILIES SYSTEMS AND HEALTH,4,,Q3
FAMILY & COMMUNITY HEALTH,FAMILY AND COMMUNITY HEALTH,4,,Q3
FAMILY & COMMUNITY HISTORY,FAMILY AND COMMUNITY HISTORY,4,,Q2
Family & Consumer Sciences Research Journal,FAMILY AND CONSUMER SCIENCES RESEARCH JOURNAL,4,,Q2
Family Business Review,FAMILY BUSINESS REVIEW,2,,Q1
Family Court Review,FAMILY COURT REVIEW,4,,Q2
Family Journal,FAMILY JOURNAL,4,,Q3
FAMILY MEDICINE,FAMILY MEDICINE,4,,Q2
Family Medicine and Community Health,FAMILY MEDICINE AND COMMUNITY HEALTH,3,,Q1
Family Medicine and Primary Care Review,FAMILY MEDICINE AND PRIMARY CARE REVIEW,4,,Q4
