Journal,Journal_Normalized,CAS2025_Quartile,CAS2025_Top,JCR_BestQuartile
G3-Genes Genomes Genetics,G3 GENES GENOMES GENETICS,4,,Q3
GaBI Journal-Generics and Biosimilars Initiative Journal,GABI JOURNAL GENERICS AND BIOSIMILARS INITIATIVE JOURNAL,4,,Q4
Gaceta Medica de Mexico,GACETA MEDICA DE MEXICO,4,,Q3
Gaceta Mexicana de Oncologia,GACETA MEXICANA DE ONCOLOGIA,4,,Q4
Gaceta Sanitaria,GACETA SANITARIA,4,,Q3
Gadjah Mada international journal of business,GADJAH MADA INTERNATIONAL JOURNAL OF BUSINESS,4,,Q4
GAIA-Ecological Perspectives for Science and Society,GAIA ECOLOGICAL PERSPECTIVES FOR SCIENCE AND SOCIETY,4,,Q3
GAIT & POSTURE,GAIT AND POSTURE,3,,Q2
Galactica Media-Journal of Media Studies - Galaktika Media-Zhurnal Media Issledovanij,GALACTICA MEDIA JOURNAL OF MEDIA STUDIES GALAKTIKA MEDIA ZHURNAL MEDIA ISSLEDOVANIJ,4,,Q4
Galaxies,GALAXIES,3,,Q2
Galen Medical Journal,GALEN MEDICAL JOURNAL,4,,Q4
Galicia Clinica,GALICIA CLINICA,4,,Q4
Galician Medical Journal,GALICIAN MEDICAL JOURNAL,4,,Q4
Galilaeana-Studies in Renaissance and Early Modern Science,GALILAEANA STUDIES IN RENAISSANCE AND EARLY MODERN SCIENCE,,,Q4
Gallerie e Grandi Opere Sotterranee,GALLERIE E GRANDI OPERE SOTTERRANEE,4,,Q4
Games,GAMES,4,,Q4
Games and Culture,GAMES AND CULTURE,2,,Q1
GAMES AND ECONOMIC BEHAVIOR,GAMES AND ECONOMIC BEHAVIOR,3,,Q3
Games for Health Journal,GAMES FOR HEALTH JOURNAL,3,,Q1
Gaming Law Review-Economics Regulation Compliance and Policy,GAMING LAW REVIEW ECONOMICS REGULATION COMPLIANCE AND POLICY,4,,Q3
Gas Science and Engineering,GAS SCIENCE AND ENGINEERING,2,,Q1
Gastric Cancer,GASTRIC CANCER,2,,Q1
Gastroenterologia y Hepatologia,GASTROENTEROLOGIA Y HEPATOLOGIA,4,,Q3
Gastroenterologie,GASTROENTEROLOGIE,4,,Q4
Gastroenterology,GASTROENTEROLOGY,1,Yes,Q1
GASTROENTEROLOGY CLINICS OF NORTH AMERICA,GASTROENTEROLOGY CLINICS OF NORTH AMERICA,3,,Q2
Gastroenterology Insights,GASTROENTEROLOGY INSIGHTS,4,,Q4
Gastroenterology Nursing,GASTROENTEROLOGY NURSING,4,,Q4
Gastroenterology Report,GASTROENTEROLOGY REPORT,3,,Q1
Gastroenterology Research,GASTROENTEROLOGY RESEARCH,4,,Q3
Gastroenterology Research and Practice,GASTROENTEROLOGY RESEARCH AND PRACTICE,4,,Q4
Gastroenterology Review-Przeglad Gastroenterologiczny,GASTROENTEROLOGY REVIEW PRZEGLAD GASTROENTEROLOGICZNY,4,,Q2
Gastrointestinal Disorders,GASTROINTESTINAL DISORDERS,4,,Q4
GASTROINTESTINAL ENDOSCOPY,GASTROINTESTINAL ENDOSCOPY,1,Yes,Q1
Gastrointestinal Tumors,GASTROINTESTINAL TUMORS,4,,Q4
Gateways-International Journal of Community Research and Engagement,GATEWAYS INTERNATIONAL JOURNAL OF COMMUNITY RESEARCH AND ENGAGEMENT,4,,Q3
GAYANA,GAYANA,4,,Q4
GAYANA BOTANICA,GAYANA BOTANICA,4,,Q4
Gazeta de Antropologia,GAZETA DE ANTROPOLOGIA,4,,Q4
Gazi Akademik Bakis-Gazi Academic View,GAZI AKADEMIK BAKIS GAZI ACADEMIC VIEW,4,,
Gazi Medical Journal,GAZI MEDICAL JOURNAL,4,,Q4
Gazi University Journal of Science,GAZI UNIVERSITY JOURNAL OF SCIENCE,4,,Q3
Ge-Conservacion,GE CONSERVACION,4,,
GE Portuguese Journal of Gastroenterology,GE PORTUGUESE JOURNAL OF GASTROENTEROLOGY,4,,Q4
Geam-Geoingegneria Ambientale e Mineraria-Geam-Geoengineering Environment and Mining,GEAM GEOINGEGNERIA AMBIENTALE E MINERARIA GEAM GEOENGINEERING ENVIRONMENT AND MINING,4,,Q4
GEBURTSHILFE UND FRAUENHEILKUNDE,GEBURTSHILFE UND FRAUENHEILKUNDE,4,,Q2
Gecontec-Revista Internacional de Gestion del Conocimiento y la Tecnologia,GECONTEC REVISTA INTERNACIONAL DE GESTION DEL CONOCIMIENTO Y LA TECNOLOGIA,4,,Q4
Gedrag & Organisatie,GEDRAG AND ORGANISATIE,4,,Q4
GEFAHRSTOFFE REINHALTUNG DER LUFT,GEFAHRSTOFFE REINHALTUNG DER LUFT,4,,Q4
Gefasschirurgie,GEFASSCHIRURGIE,4,,Q4
Gels,GELS,2,,Q1
GEM-International Journal on Geomathematics,GEM INTERNATIONAL JOURNAL ON GEOMATHEMATICS,4,,Q3
GEMA Online Journal of Language Studies,GEMA ONLINE JOURNAL OF LANGUAGE STUDIES,3,,
GEMATOLOGIYA I TRANSFUZIOLOGIYA,GEMATOLOGIYA I TRANSFUZIOLOGIYA,4,,Q4
GEMS & GEMOLOGY,GEMS AND GEMOLOGY,4,,Q1
GEN Biotechnology,GEN BIOTECHNOLOGY,4,,Q3
GENDER AND EDUCATION,GENDER AND EDUCATION,3,,Q2
Gender and History,GENDER AND HISTORY,3,,Q2
Gender and Language,GENDER AND LANGUAGE,3,,Q2
GENDER & SOCIETY,GENDER AND SOCIETY,1,Yes,Q1
Gender in Management,GENDER IN MANAGEMENT,4,,Q1
Gender Issues,GENDER ISSUES,4,,Q2
Gender Place and Culture,GENDER PLACE AND CULTURE,3,,Q3
Gender Technology & Development,GENDER TECHNOLOGY AND DEVELOPMENT,4,,Q2
GENDER WORK AND ORGANIZATION,GENDER WORK AND ORGANIZATION,1,Yes,Q1
GENE,GENE,3,,Q3
GENE EXPRESSION PATTERNS,GENE EXPRESSION PATTERNS,4,,Q4
Gene Reports,GENE REPORTS,4,,Q4
GENE THERAPY,GENE THERAPY,3,,Q1
Genealogy,GENEALOGY,3,,Q3
GENERAL AND COMPARATIVE ENDOCRINOLOGY,GENERAL AND COMPARATIVE ENDOCRINOLOGY,4,,Q2
GENERAL HOSPITAL PSYCHIATRY,GENERAL HOSPITAL PSYCHIATRY,2,,Q1
GENERAL PHYSIOLOGY AND BIOPHYSICS,GENERAL PHYSIOLOGY AND BIOPHYSICS,4,,Q4
General Psychiatry,GENERAL PSYCHIATRY,2,,Q1
GENERAL RELATIVITY AND GRAVITATION,GENERAL RELATIVITY AND GRAVITATION,4,,Q2
General Thoracic and Cardiovascular Surgery,GENERAL THORACIC AND CARDIOVASCULAR SURGERY,4,,Q3
General Thoracic and Cardiovascular Surgery Cases,GENERAL THORACIC AND CARDIOVASCULAR SURGERY CASES,,,Q4
Generations,GENERATIONS,4,,Q4
Genes,GENES,3,,Q2
GENES & DEVELOPMENT,GENES AND DEVELOPMENT,1,Yes,Q1
Genes & Diseases,GENES AND DISEASES,2,,Q1
Genes and Environment,GENES AND ENVIRONMENT,4,,Q3
GENES & GENETIC SYSTEMS,GENES AND GENETIC SYSTEMS,4,,Q4
Genes & Genomics,GENES AND GENOMICS,4,,Q3
GENES AND IMMUNITY,GENES AND IMMUNITY,3,,Q1
Genes and Nutrition,GENES AND NUTRITION,3,,Q1
GENES BRAIN AND BEHAVIOR,GENES BRAIN AND BEHAVIOR,3,,Q2
GENES CHROMOSOMES & CANCER,GENES CHROMOSOMES AND CANCER,2,,Q2
GENES TO CELLS,GENES TO CELLS,4,,Q4
GENESIS,GENESIS,3,,Q2
GENETIC EPIDEMIOLOGY,GENETIC EPIDEMIOLOGY,4,,Q1
Genetic Programming and Evolvable Machines,GENETIC PROGRAMMING AND EVOLVABLE MACHINES,4,,Q3
GENETIC RESOURCES AND CROP EVOLUTION,GENETIC RESOURCES AND CROP EVOLUTION,3,,
Genetic Testing and Molecular Biomarkers,GENETIC TESTING AND MOLECULAR BIOMARKERS,4,,Q4
GENETICA,GENETICA,4,,Q4
GENETICS,GENETICS,3,,Q1
GENETICS AND MOLECULAR BIOLOGY,GENETICS AND MOLECULAR BIOLOGY,4,,Q4
GENETICS AND MOLECULAR RESEARCH,GENETICS AND MOLECULAR RESEARCH,4,,Q4
GENETICS IN MEDICINE,GENETICS IN MEDICINE,1,Yes,Q1
Genetics Research,GENETICS RESEARCH,4,,Q3
GENETICS SELECTION EVOLUTION,GENETICS SELECTION EVOLUTION,1,Yes,Q1
GENEVA PAPERS ON RISK AND INSURANCE-ISSUES AND PRACTICE,GENEVA PAPERS ON RISK AND INSURANCE ISSUES AND PRACTICE,4,,Q1
Geneva Risk and Insurance Review,GENEVA RISK AND INSURANCE REVIEW,4,,Q3
GENOME,GENOME,4,,Q3
GENOME BIOLOGY,GENOME BIOLOGY,1,Yes,Q1
Genome Biology and Evolution,GENOME BIOLOGY AND EVOLUTION,3,,Q2
Genome Medicine,GENOME MEDICINE,1,Yes,Q1
GENOME RESEARCH,GENOME RESEARCH,1,Yes,Q1
GENOMICS,GENOMICS,2,,Q2
GENOMICS PROTEOMICS & BIOINFORMATICS,GENOMICS PROTEOMICS AND BIOINFORMATICS,2,,Q1
Genre Sexualite & Societe,GENRE SEXUALITE AND SOCIETE,4,,Q4
GENUS,GENUS,3,,Q2
Geo-Geography and Environment,GEO GEOGRAPHY AND ENVIRONMENT,3,,Q1
