Journal,Journal_Normalized,CAS2025_Quartile,CAS2025_Top,JCR_BestQuartile
H-ermes-Journal of Communication,H ERMES JOURNAL OF COMMUNICATION,4,,Q4
H2Open Journal,H2OPEN JOURNAL,4,,Q4
HABITAT INTERNATIONAL,HABITAT INTERNATIONAL,1,Yes,Q1
Habitat y Sociedad,HABITAT Y SOCIEDAD,4,,Q4
Hacettepe Journal of Mathematics and Statistics,HACETTEPE JOURNAL OF MATHEMATICS AND STATISTICS,4,,Q2
Hacettepe Universitesi Egitim Fakultesi Dergisi-Hacettepe University Journal of Education,HACETTEPE UNIVERSITESI EGITIM FAKULTESI DERGISI HACETTEPE UNIVERSITY JOURNAL OF EDUCATION,4,,Q4
Hacienda Publica Espanola-Review of Public Economics,HACIENDA PUBLICA ESPANOLA REVIEW OF PUBLIC ECONOMICS,4,,Q4
Hacquetia,HACQUETIA,4,,Q4
HAEMATOLOGICA,HAEMATOLOGICA,1,Yes,Q1
HAEMOPHILIA,HAEMOPHILIA,2,,Q2
Hagiographica,HAGIOGRAPHICA,3,,
Hague Journal of Diplomacy,HAGUE JOURNAL OF DIPLOMACY,3,,Q3
Hague Journal on the Rule of Law,HAGUE JOURNAL ON RULE OF LAW,1,Yes,Q1
HAHR-Hispanic American Historical Review,HAHR HISPANIC AMERICAN HISTORICAL REVIEW,2,,Q1
Haide,HAIDE,,,
Hallazgos-Revista de Investigaciones,HALLAZGOS REVISTA DE INVESTIGACIONES,4,,Q4
Hamostaseologie,HAMOSTASEOLOGIE,4,,Q2
Hand-American Association for Hand Surgery,HAND AMERICAN ASSOCIATION FOR HAND SURGERY,3,,
HAND CLINICS,HAND CLINICS,4,,Q3
Hand Surgery & Rehabilitation,HAND SURGERY AND REHABILITATION,4,,Q3
Hand Therapy,HAND THERAPY,4,,Q4
Handchirurgie Mikrochirurgie Plastische Chirurgie,HANDCHIRURGIE MIKROCHIRURGIE PLASTISCHE CHIRURGIE,4,,Q4
HardwareX,HARDWAREX,4,,Q3
Harm Reduction Journal,HARM REDUCTION JOURNAL,2,,Q1
HARMFUL ALGAE,HARMFUL ALGAE,2,Yes,Q1
Harold Pinter Review-Essays on Contemporary Drama,HAROLD PINTER REVIEW ESSAYS ON CONTEMPORARY DRAMA,2,,
HARVARD BUSINESS REVIEW,HARVARD BUSINESS REVIEW,4,,Q1
HARVARD CIVIL RIGHTS-CIVIL LIBERTIES LAW REVIEW,HARVARD CIVIL RIGHTS CIVIL LIBERTIES LAW REVIEW,4,,Q2
Harvard Data Science Review,HARVARD DATA SCIENCE REVIEW,,,Q1
HARVARD EDUCATIONAL REVIEW,HARVARD EDUCATIONAL REVIEW,2,,Q1
HARVARD ENVIRONMENTAL LAW REVIEW,HARVARD ENVIRONMENTAL LAW REVIEW,4,,
HARVARD INTERNATIONAL LAW JOURNAL,HARVARD INTERNATIONAL LAW JOURNAL,,,Q1
HARVARD JOURNAL OF ASIATIC STUDIES,HARVARD JOURNAL OF ASIATIC STUDIES,4,,Q2
HARVARD JOURNAL OF LAW AND PUBLIC POLICY,HARVARD JOURNAL OF LAW AND PUBLIC POLICY,4,,Q3
HARVARD JOURNAL ON LEGISLATION,HARVARD JOURNAL ON LEGISLATION,4,,Q2
HARVARD LAW REVIEW,HARVARD LAW REVIEW,2,,Q1
HARVARD REVIEW OF PSYCHIATRY,HARVARD REVIEW OF PSYCHIATRY,4,,Q2
HARVARD THEOLOGICAL REVIEW,HARVARD THEOLOGICAL REVIEW,2,,
Haseki TIp Bulteni-Medical Bulletin of Haseki,HASEKI TIP BULTENI MEDICAL BULLETIN OF HASEKI,4,,Q4
HASELTONIA,HASELTONIA,4,,Q4
Haser-Revista Internacional de Filosofia Aplicada,HASER REVISTA INTERNACIONAL DE FILOSOFIA APLICADA,4,,
HASTINGS CENTER REPORT,HASTINGS CENTER REPORT,3,,Q1
HASTINGS LAW JOURNAL,HASTINGS LAW JOURNAL,4,,Q2
HAU-Journal of Ethnographic Theory,HAU JOURNAL OF ETHNOGRAPHIC THEORY,4,,Q3
Hawwa,HAWWA,4,,
He Kupu,HE KUPU,4,,Q4
Head & Face Medicine,HEAD AND FACE MEDICINE,2,,Q2
HEAD AND NECK-JOURNAL FOR THE SCIENCES AND SPECIALTIES OF THE HEAD AND NECK,HEAD AND NECK JOURNAL FOR SCIENCES AND SPECIALTIES OF HEAD AND NECK,3,,Q1
Head & Neck Pathology,HEAD AND NECK PATHOLOGY,2,,Q1
HEADACHE,HEADACHE,2,,Q1
HEALTH,HEALTH,4,,Q2
HEALTH AFFAIRS,HEALTH AFFAIRS,1,Yes,Q1
Health Affairs Scholar,HEALTH AFFAIRS SCHOLAR,,,Q2
Health and History,HEALTH AND HISTORY,4,,Q4
Health and Human Rights,HEALTH AND HUMAN RIGHTS,3,,Q2
Health & Justice,HEALTH AND JUSTICE,2,,Q1
HEALTH & PLACE,HEALTH AND PLACE,2,,Q1
Health and Quality of Life Outcomes,HEALTH AND QUALITY OF LIFE OUTCOMES,2,,Q1
HEALTH & SOCIAL CARE IN THE COMMUNITY,HEALTH AND SOCIAL CARE IN COMMUNITY,4,,Q1
HEALTH & SOCIAL WORK,HEALTH AND SOCIAL WORK,4,,Q1
Health and Technology,HEALTH AND TECHNOLOGY,4,,Q3
Health Behavior and Policy Review,HEALTH BEHAVIOR AND POLICY REVIEW,4,,Q4
HEALTH CARE ANALYSIS,HEALTH CARE ANALYSIS,3,,Q2
Health Care for Women International,HEALTH CARE FOR WOMEN INTERNATIONAL,4,,Q3
HEALTH CARE MANAGEMENT REVIEW,HEALTH CARE MANAGEMENT REVIEW,4,,Q2
Health Care Management Science,HEALTH CARE MANAGEMENT SCIENCE,3,,Q3
Health Care Science,HEALTH CARE SCIENCE,4,,Q1
HEALTH COMMUNICATION,HEALTH COMMUNICATION,3,,Q1
HEALTH ECONOMICS,HEALTH ECONOMICS,3,,Q2
Health Economics Policy and Law,HEALTH ECONOMICS POLICY AND LAW,2,,Q1
Health Economics Review,HEALTH ECONOMICS REVIEW,3,,Q1
Health Education,HEALTH EDUCATION,4,,Q3
HEALTH EDUCATION & BEHAVIOR,HEALTH EDUCATION AND BEHAVIOR,4,,Q2
HEALTH EDUCATION JOURNAL,HEALTH EDUCATION JOURNAL,4,,Q2
HEALTH EDUCATION RESEARCH,HEALTH EDUCATION RESEARCH,4,,Q2
Health Equity,HEALTH EQUITY,3,,Q2
HEALTH EXPECTATIONS,HEALTH EXPECTATIONS,2,,Q1
Health Informatics Journal,HEALTH INFORMATICS JOURNAL,3,,Q2
Health Information and Libraries Journal,HEALTH INFORMATION AND LIBRARIES JOURNAL,4,,Q2
Health Information Management Journal,HEALTH INFORMATION MANAGEMENT JOURNAL,4,,Q3
Health Information Science and Systems,HEALTH INFORMATION SCIENCE AND SYSTEMS,2,,Q2
Health Marketing Quarterly,HEALTH MARKETING QUARTERLY,,,Q3
HEALTH PHYSICS,HEALTH PHYSICS,4,,Q3
HEALTH POLICY,HEALTH POLICY,2,,Q1
HEALTH POLICY AND PLANNING,HEALTH POLICY AND PLANNING,3,,Q1
Health Policy and Technology,HEALTH POLICY AND TECHNOLOGY,4,,Q1
Health Policy OPEN,HEALTH POLICY OPEN,4,,Q2
Health Problems of Civilization,HEALTH PROBLEMS OF CIVILIZATION,4,,Q4
Health Promotion and Chronic Disease Prevention in Canada-Research Policy and Practice,HEALTH PROMOTION AND CHRONIC DISEASE PREVENTION IN CANADA RESEARCH POLICY AND PRACTICE,4,,Q2
HEALTH PROMOTION INTERNATIONAL,HEALTH PROMOTION INTERNATIONAL,4,,Q2
Health Promotion Journal of Australia,HEALTH PROMOTION JOURNAL OF AUSTRALIA,4,,Q3
Health Promotion Perspectives,HEALTH PROMOTION PERSPECTIVES,4,,Q2
Health Promotion Practice,HEALTH PROMOTION PRACTICE,4,,Q4
HEALTH PSYCHOLOGY,HEALTH PSYCHOLOGY,2,,Q1
Health Psychology and Behavioral Medicine,HEALTH PSYCHOLOGY AND BEHAVIORAL MEDICINE,3,,Q2
Health Psychology Open,HEALTH PSYCHOLOGY OPEN,4,,Q3
Health Psychology Report,HEALTH PSYCHOLOGY REPORT,4,,Q4
Health Psychology Research,HEALTH PSYCHOLOGY RESEARCH,4,,Q1
Health Psychology Review,HEALTH PSYCHOLOGY REVIEW,2,,Q1
Health Reports,HEALTH REPORTS,3,,Q1
Health Research Policy and Systems,HEALTH RESEARCH POLICY AND SYSTEMS,2,,Q1
HEALTH RISK & SOCIETY,HEALTH RISK AND SOCIETY,4,,Q4
Health SA Gesondheid,HEALTH SA GESONDHEID,4,,Q4
Health Science Reports,HEALTH SCIENCE REPORTS,4,,Q2
Health Scope,HEALTH SCOPE,4,,Q4
Health Security,HEALTH SECURITY,4,,Q3
Health Services and Outcomes Research Methodology,HEALTH SERVICES AND OUTCOMES RESEARCH METHODOLOGY,4,,Q3
Health Services Insights,HEALTH SERVICES INSIGHTS,3,,Q2
Health Services Management Research,HEALTH SERVICES MANAGEMENT RESEARCH,4,,Q4
HEALTH SERVICES RESEARCH,HEALTH SERVICES RESEARCH,2,,Q1
Health Services Research and Managerial Epidemiology,HEALTH SERVICES RESEARCH AND MANAGERIAL EPIDEMIOLOGY,4,,Q4
Health Sociology Review,HEALTH SOCIOLOGY REVIEW,3,,Q1
Health Systems,HEALTH SYSTEMS,4,,Q4
Health Systems & Reform,HEALTH SYSTEMS AND REFORM,3,,Q3
HEALTH TECHNOLOGY ASSESSMENT,HEALTH TECHNOLOGY ASSESSMENT,3,,Q1
Healthcare,HEALTHCARE,4,,Q2
Healthcare in Low-resource Settings,HEALTHCARE IN LOW RESOURCE SETTINGS,4,,
Healthcare Informatics Research,HEALTHCARE INFORMATICS RESEARCH,4,,Q3
HealthCare-The Journal of Delivery Science and Innovation,HEALTHCARE JOURNAL OF DELIVERY SCIENCE AND INNOVATION,4,,Q3
Healthcare Technology Letters,HEALTHCARE TECHNOLOGY LETTERS,4,,Q2
Hearing Balance and Communication,HEARING BALANCE AND COMMUNICATION,4,,Q4
HEARING RESEARCH,HEARING RESEARCH,2,,Q1
HEART,HEART,2,Yes,Q1
HEART & LUNG,HEART AND LUNG,4,,Q1
Heart and Mind,HEART AND MIND,4,,Q3
HEART AND VESSELS,HEART AND VESSELS,4,,Q3
Heart Failure Clinics,HEART FAILURE CLINICS,3,,Q3
HEART FAILURE REVIEWS,HEART FAILURE REVIEWS,2,,Q1
Heart International,HEART INTERNATIONAL,4,,Q2
Heart Lung and Circulation,HEART LUNG AND CIRCULATION,3,,Q2
HEART RHYTHM,HEART RHYTHM,1,Yes,Q1
Heart Rhythm O2,HEART RHYTHM O2,3,,Q2
HEART SURGERY FORUM,HEART SURGERY FORUM,4,,Q4
Heart Views,HEART VIEWS,4,,Q4
HEAT AND MASS TRANSFER,HEAT AND MASS TRANSFER,4,,Q3
Heat Transfer,HEAT TRANSFER,4,,Q2
HEAT TRANSFER ENGINEERING,HEAT TRANSFER ENGINEERING,4,,Q3
HEAT TRANSFER RESEARCH,HEAT TRANSFER RESEARCH,4,,Q3
Hebrew Bible and Ancient Israel,HEBREW BIBLE AND ANCIENT ISRAEL,3,,
HEC Forum,HEC FORUM,4,,Q3
HEGEL-STUDIEN,HEGEL STUDIEN,3,,
HELICOBACTER,HELICOBACTER,2,,Q1
HELIOS,HELIOS,2,,
Heliyon,HELIYON,4,,Q1
Hellenic Journal of Cardiology,HELLENIC JOURNAL OF CARDIOLOGY,4,,Q2
Hellenic Journal of Nuclear Medicine,HELLENIC JOURNAL OF NUCLEAR MEDICINE,4,,Q4
HELMINTHOLOGIA,HELMINTHOLOGIA,4,,Q2
HELVETICA CHIMICA ACTA,HELVETICA CHIMICA ACTA,4,,Q3
HemaSphere,HEMASPHERE,3,,Q1
Hemato,HEMATO,4,,Q4
HEMATOLOGICAL ONCOLOGY,HEMATOLOGICAL ONCOLOGY,4,,Q1
Hematologie,HEMATOLOGIE,4,,Q4
Hematology,HEMATOLOGY,4,,Q3
Hematology-American Society of Hematology Education Program,HEMATOLOGY AMERICAN SOCIETY OF HEMATOLOGY EDUCATION PROGRAM,3,,Q1
HEMATOLOGY-ONCOLOGY CLINICS OF NORTH AMERICA,HEMATOLOGY ONCOLOGY CLINICS OF NORTH AMERICA,3,,Q2
Hematology Reports,HEMATOLOGY REPORTS,4,,Q4
Hematology Transfusion and Cell Therapy,HEMATOLOGY TRANSFUSION AND CELL THERAPY,4,,Q3
Hemijska Industrija,HEMIJSKA INDUSTRIJA,4,,Q4
Hemodialysis International,HEMODIALYSIS INTERNATIONAL,4,,Q3
HEMOGLOBIN,HEMOGLOBIN,4,,Q4
HENRY JAMES REVIEW,HENRY JAMES REVIEW,4,,
Hepatic Medicine-Evidence and Research,HEPATIC MEDICINE EVIDENCE AND RESEARCH,4,,Q3
Hepatic Oncology,HEPATIC ONCOLOGY,4,,Q4
Hepatitis Monthly,HEPATITIS MONTHLY,4,,Q4
Hepatobiliary & Pancreatic Diseases International,HEPATOBILIARY AND PANCREATIC DISEASES INTERNATIONAL,3,,Q1
Hepatobiliary Surgery and Nutrition,HEPATOBILIARY SURGERY AND NUTRITION,1,Yes,Q1
HEPATOLOGY,HEPATOLOGY,1,Yes,Q1
Hepatology Communications,HEPATOLOGY COMMUNICATIONS,2,Yes,Q1
Hepatology Forum,HEPATOLOGY FORUM,4,,Q3
Hepatology International,HEPATOLOGY INTERNATIONAL,1,Yes,Q1
HEPATOLOGY RESEARCH,HEPATOLOGY RESEARCH,3,,Q2
Hepatoma Research,HEPATOMA RESEARCH,4,,Q4
Herald of an Archivist,HERALD OF AN ARCHIVIST,4,,Q4
HERALD OF THE RUSSIAN ACADEMY OF SCIENCES,HERALD OF RUSSIAN ACADEMY OF SCIENCES,4,,Q3
Heranca-Revista de Historia Patrimonio e Cultura,HERANCA REVISTA DE HISTORIA PATRIMONIO E CULTURA,3,,
HERD-Health Environments Research & Design Journal,HERD HEALTH ENVIRONMENTS RESEARCH AND DESIGN JOURNAL,4,,Q3
Hereditary Cancer in Clinical Practice,HEREDITARY CANCER IN CLINICAL PRACTICE,4,,Q3
HEREDITAS,HEREDITAS,4,,Q2
HEREDITY,HEREDITY,2,,Q1
Heritage,HERITAGE,3,,Q2
Heritage and Society,HERITAGE AND SOCIETY,3,,
Heritage Language Journal,HERITAGE LANGUAGE JOURNAL,3,,Q3
Heritage Science,HERITAGE SCIENCE,2,,Q1
Hermeneia,HERMENEIA,4,,
Hermeneus,HERMENEUS,4,,
HERMES-ZEITSCHRIFT FUR KLASSISCHE PHILOLOGIE,HERMES ZEITSCHRIFT FUR KLASSISCHE PHILOLOGIE,3,,
Hernia,HERNIA,2,Yes,Q1
Heroin Addiction and Related Clinical Problems,HEROIN ADDICTION AND RELATED CLINICAL PROBLEMS,4,,Q4
HERPETOLOGICA,HERPETOLOGICA,3,,Q3
Herpetological Conservation and Biology,HERPETOLOGICAL CONSERVATION AND BIOLOGY,4,,Q4
HERPETOLOGICAL JOURNAL,HERPETOLOGICAL JOURNAL,4,,Q4
HERPETOLOGICAL MONOGRAPHS,HERPETOLOGICAL MONOGRAPHS,4,,Q3
HERPETOZOA,HERPETOZOA,4,,Q3
HERZ,HERZ,4,,Q4
HERZOGIA,HERZOGIA,4,,Q3
HESPERIA,HESPERIA,1,Yes,
Hesperis-Tamuda,HESPERIS TAMUDA,4,,
HETEROATOM CHEMISTRY,HETEROATOM CHEMISTRY,4,,Q3
HETEROCYCLIC COMMUNICATIONS,HETEROCYCLIC COMMUNICATIONS,4,,Q3
Heterocyclic Letters,HETEROCYCLIC LETTERS,4,,Q4
HEYTHROP JOURNAL,HEYTHROP JOURNAL,4,,
Hidrobiologica,HIDROBIOLOGICA,4,,Q4
HIGH ABILITY STUDIES,HIGH ABILITY STUDIES,3,,Q3
HIGH ALTITUDE MEDICINE & BIOLOGY,HIGH ALTITUDE MEDICINE AND BIOLOGY,4,,Q3
High Blood Pressure & Cardiovascular Prevention,HIGH BLOOD PRESSURE AND CARDIOVASCULAR PREVENTION,3,,Q2
High-Confidence Computing,HIGH CONFIDENCE COMPUTING,3,,Q2
HIGH ENERGY CHEMISTRY,HIGH ENERGY CHEMISTRY,4,,Q4
High Energy Density Physics,HIGH ENERGY DENSITY PHYSICS,4,,Q4
HIGH PERFORMANCE POLYMERS,HIGH PERFORMANCE POLYMERS,4,,Q3
High Power Laser Science and Engineering,HIGH POWER LASER SCIENCE AND ENGINEERING,1,Yes,Q1
HIGH PRESSURE RESEARCH,HIGH PRESSURE RESEARCH,4,,Q3
HIGH TEMPERATURE,HIGH TEMPERATURE,4,,Q4
High Temperature Corrosion of Materials,HIGH TEMPERATURE CORROSION OF MATERIALS,4,,Q2
HIGH TEMPERATURE MATERIAL PROCESSES,HIGH TEMPERATURE MATERIAL PROCESSES,4,,Q4
HIGH TEMPERATURE MATERIALS AND PROCESSES,HIGH TEMPERATURE MATERIALS AND PROCESSES,4,,Q4
HIGH TEMPERATURES-HIGH PRESSURES,HIGH TEMPERATURES HIGH PRESSURES,4,,Q4
High Voltage,HIGH VOLTAGE,2,,Q1
HIGHER EDUCATION,HIGHER EDUCATION,1,Yes,Q1
Higher Education Policy,HIGHER EDUCATION POLICY,4,,Q1
HIGHER EDUCATION QUARTERLY,HIGHER EDUCATION QUARTERLY,2,,Q1
Higher Education Research & Development,HIGHER EDUCATION RESEARCH AND DEVELOPMENT,3,,Q1
Higher Education Skills and Work-based Learning,HIGHER EDUCATION SKILLS AND WORK BASED LEARNING,4,,Q2
Hilo de la Fabula,HILO DE LA FABULA,4,,
HIMALAYAN GEOLOGY,HIMALAYAN GEOLOGY,4,,Q3
Hip International,HIP INTERNATIONAL,4,,Q3
Hiperboreea,HIPERBOREEA,4,,Q2
Hipertension y Riesgo Vascular,HIPERTENSION Y RIESGO VASCULAR,4,,Q3
Hipertext Net,HIPERTEXT NET,,,Q3
Hipogrifo-Revista de literatura y cultura del Siglo de Oro,HIPOGRIFO REVISTA DE LITERATURA Y CULTURA DEL SIGLO DE ORO,3,,
HIPPOCAMPUS,HIPPOCAMPUS,4,,Q3
Hippokratia,HIPPOKRATIA,4,,Q3
Hiroshima Mathematical Journal,HIROSHIMA MATHEMATICAL JOURNAL,4,,Q3
HISPAMERICA-REVISTA DE LITERATURA,HISPAMERICA REVISTA DE LITERATURA,4,,
HISPANIA-A JOURNAL DEVOTED TO THE TEACHING OF SPANISH AND PORTUGUESE,HISPANIA A JOURNAL DEVOTED TO TEACHING OF SPANISH AND PORTUGUESE,4,,Q4
Hispania Nova,HISPANIA NOVA,4,,Q2
HISPANIA-REVISTA ESPANOLA DE HISTORIA,HISPANIA REVISTA ESPANOLA DE HISTORIA,4,,Q2
Hispania Sacra,HISPANIA SACRA,3,,Q2
Hispanic Health Care International,HISPANIC HEALTH CARE INTERNATIONAL,4,,Q4
HISPANIC JOURNAL OF BEHAVIORAL SCIENCES,HISPANIC JOURNAL OF BEHAVIORAL SCIENCES,4,,Q4
Hispanic Research Journal-Iberian and Latin American Studies,HISPANIC RESEARCH JOURNAL IBERIAN AND LATIN AMERICAN STUDIES,3,,
HISPANIC REVIEW,HISPANIC REVIEW,3,,
HISPANOFILA,HISPANOFILA,4,,
HISTOCHEMISTRY AND CELL BIOLOGY,HISTOCHEMISTRY AND CELL BIOLOGY,4,,Q2
HISTOIRE SOCIALE-SOCIAL HISTORY,HISTOIRE SOCIALE SOCIAL HISTORY,4,,Q2
HISTOLOGY AND HISTOPATHOLOGY,HISTOLOGY AND HISTOPATHOLOGY,4,,Q2
HISTOPATHOLOGY,HISTOPATHOLOGY,2,,Q1
Historelo-Revista de Historia Regional y Local,HISTORELO REVISTA DE HISTORIA REGIONAL Y LOCAL,4,,Q1
HISTORIA,HISTORIA,4,,Q3
Historia 396,HISTORIA 396,4,,Q3
Historia Actual Online,HISTORIA ACTUAL ONLINE,4,,Q2
Historia Agraria,HISTORIA AGRARIA,4,,Q1
Historia Caribe,HISTORIA CARIBE,4,,Q3
Historia Ciencias Saude-Manguinhos,HISTORIA CIENCIAS SAUDE MANGUINHOS,4,,Q4
Historia Constitucional,HISTORIA CONSTITUCIONAL,4,,Q3
Historia Contemporanea,HISTORIA CONTEMPORANEA,4,,Q3
Historia Critica,HISTORIA CRITICA,4,,Q2
Historia da Historiografia,HISTORIA DA HISTORIOGRAFIA,3,,Q3
Historia e Cultura,HISTORIA E CULTURA,4,,Q3
Historia Historias,HISTORIA HISTORIAS,4,,Q4
Historia Instituciones Documentos,HISTORIA INSTITUCIONES DOCUMENTOS,4,,Q2
HISTORIA MATHEMATICA,HISTORIA MATHEMATICA,3,,Q3
HISTORIA MEXICANA,HISTORIA MEXICANA,4,,Q2
Historia Philosophica-An International Journal,HISTORIA PHILOSOPHICA AN INTERNATIONAL JOURNAL,,,Q4
Historia-Santiago,HISTORIA SANTIAGO,4,,Q2
Historia Social,HISTORIA SOCIAL,4,,Q2
Historia Unisinos,HISTORIA UNISINOS,4,,Q3
Historia y Comunicacion Social,HISTORIA Y COMUNICACION SOCIAL,4,,Q2
Historia y Espacio,HISTORIA Y ESPACIO,4,,Q4
Historia y Memoria,HISTORIA Y MEMORIA,4,,Q2
Historia y Memoria de la Educacion,HISTORIA Y MEMORIA DE LA EDUCACION,4,,Q4
Historia y Politica,HISTORIA Y POLITICA,4,,Q1
Historia y Sociedad,HISTORIA Y SOCIEDAD,4,,Q2
HISTORIA-ZEITSCHRIFT FUR ALTE GESCHICHTE,HISTORIA ZEITSCHRIFT FUR ALTE GESCHICHTE,2,,Q2
HISTORIAN,HISTORIAN,4,,Q4
Historic Environment-Policy & Practice,HISTORIC ENVIRONMENT POLICY AND PRACTICE,3,,
HISTORICAL ARCHAEOLOGY,HISTORICAL ARCHAEOLOGY,3,,
HISTORICAL BIOLOGY,HISTORICAL BIOLOGY,3,,Q3
Historical Encounters-A Journal of Historical Consciousness Historical Cultures and History Education,HISTORICAL ENCOUNTERS A JOURNAL OF HISTORICAL CONSCIOUSNESS HISTORICAL CULTURES AND HISTORY EDUCATION,3,,Q1
HISTORICAL JOURNAL,HISTORICAL JOURNAL,1,Yes,Q1
HISTORICAL JOURNAL OF FILM RADIO AND TELEVISION,HISTORICAL JOURNAL OF FILM RADIO AND TELEVISION,3,,
Historical Materialism-Research in Critical Marxist Theory,HISTORICAL MATERIALISM RESEARCH IN CRITICAL MARXIST THEORY,3,,Q3
HISTORICAL METHODS,HISTORICAL METHODS,1,Yes,Q1
Historical Records of Australian Science,HISTORICAL RECORDS OF AUSTRALIAN SCIENCE,4,,Q3
HISTORICAL REFLECTIONS-REFLEXIONS HISTORIQUES,HISTORICAL REFLECTIONS REFLEXIONS HISTORIQUES,3,,Q2
HISTORICAL RESEARCH,HISTORICAL RESEARCH,2,Yes,Q1
Historical Review-La Revue Historique,HISTORICAL REVIEW LA REVUE HISTORIQUE,4,,Q3
Historical Social Research-Historische Sozialforschung,HISTORICAL SOCIAL RESEARCH HISTORISCHE SOZIALFORSCHUNG,3,,Q1
Historical Studies in Education-Canada,HISTORICAL STUDIES IN EDUCATION CANADA,4,,Q2
Historical Studies in the Natural Sciences,HISTORICAL STUDIES IN NATURAL SCIENCES,2,,Q4
Historicka Sociologie,HISTORICKA SOCIOLOGIE,4,,Q4
HISTORICKY CASOPIS,HISTORICKY CASOPIS,4,,Q3
Histories,HISTORIES,,,Q2
Historiografias-Revista de Historia y Teoria,HISTORIOGRAFIAS REVISTA DE HISTORIA Y TEORIA,4,,Q2
HISTORIOGRAPHIA LINGUISTICA,HISTORIOGRAPHIA LINGUISTICA,3,,Q3
Historische Zeitschrift,HISTORISCHE ZEITSCHRIFT,3,,Q3
HISTORISCHES JAHRBUCH,HISTORISCHES JAHRBUCH,3,,Q2
Historisk Tidskrift,HISTORISK TIDSKRIFT,4,,Q2
HISTORISK TIDSSKRIFT,HISTORISK TIDSSKRIFT,3,,Q2
HISTORY,HISTORY,3,,Q1
History and Anthropology,HISTORY AND ANTHROPOLOGY,2,,Q2
History & Memory,HISTORY AND MEMORY,2,,Q2
HISTORY AND PHILOSOPHY OF THE LIFE SCIENCES,HISTORY AND PHILOSOPHY OF LIFE SCIENCES,3,,Q2
HISTORY AND PHILOSOPHY OF LOGIC,HISTORY AND PHILOSOPHY OF LOGIC,3,,Q2
History and Sociology of South Asia,HISTORY AND SOCIOLOGY OF SOUTH ASIA,4,,Q4
History and Technology,HISTORY AND TECHNOLOGY,2,,Q1
HISTORY AND THEORY,HISTORY AND THEORY,2,Yes,Q1
History Australia,HISTORY AUSTRALIA,,,Q2
History Compass,HISTORY COMPASS,3,,Q1
History of Economic Thought and Policy,HISTORY OF ECONOMIC THOUGHT AND POLICY,4,,Q4
History of Economics Review,HISTORY OF ECONOMICS REVIEW,4,,Q4
History of Education,HISTORY OF EDUCATION,4,,Q3
History of Education & Childrens Literature,HISTORY OF EDUCATION AND CHILDRENS LITERATURE,4,,Q3
HISTORY OF EDUCATION QUARTERLY,HISTORY OF EDUCATION QUARTERLY,4,,Q2
History of Education Review,HISTORY OF EDUCATION REVIEW,3,,Q3
HISTORY OF EUROPEAN IDEAS,HISTORY OF EUROPEAN IDEAS,2,,
History of the Family,HISTORY OF FAMILY,2,Yes,Q2
History of Geo- and Space Sciences,HISTORY OF GEO AND SPACE SCIENCES,4,,Q3
HISTORY OF THE HUMAN SCIENCES,HISTORY OF HUMAN SCIENCES,2,Yes,Q2
History of Philosophy & Logical Analysis,HISTORY OF PHILOSOPHY AND LOGICAL ANALYSIS,4,,
