Journal,Journal_Normalized,CAS2025_Quartile,CAS2025_Top,JCR_BestQuartile
I-Perception,I PERCEPTION,3,,Q4
I Tatti Studies,I TATTI STUDIES,4,,
i2 Investigacion e Innovacion en Arquitectura y Territorio,I2 INVESTIGACION E INNOVACION EN ARQUITECTURA Y TERRITORIO,4,,
IACR Transactions on Symmetric Cryptology,IACR TRANSACTIONS ON SYMMETRIC CRYPTOLOGY,2,,Q2
IADIS-International Journal on Computer Science and Information Systems,IADIS INTERNATIONAL JOURNAL ON COMPUTER SCIENCE AND INFORMATION SYSTEMS,4,,Q4
IAFOR Journal of Education,IAFOR JOURNAL OF EDUCATION,,,Q3
IARTEM e-Journal,IARTEM E JOURNAL,4,,Q4
Iatreia,IATREIA,4,,Q4
IATSS Research,IATSS RESEARCH,2,,Q2
IAWA JOURNAL,IAWA JOURNAL,3,,Q1
Iberian Journal of the History of Economic Thought,IBERIAN JOURNAL OF HISTORY OF ECONOMIC THOUGHT,4,,Q3
Iberica,IBERICA,3,,Q2
Iberoamerican Journal of Development Studies,IBEROAMERICAN JOURNAL OF DEVELOPMENT STUDIES,4,,Q4
Iberoamericana,IBEROAMERICANA,4,,
IBEROROMANIA,IBEROROMANIA,3,,
Ibersid-Revista de Sistemas de Informacion y Documentacion,IBERSID REVISTA DE SISTEMAS DE INFORMACION Y DOCUMENTACION,4,,Q4
IBIS,IBIS,3,,Q1
Ibnosina Journal of Medicine and Biomedical Sciences,IBNOSINA JOURNAL OF MEDICINE AND BIOMEDICAL SCIENCES,4,,Q3
IBRO Neuroscience Reports,IBRO NEUROSCIENCE REPORTS,4,,Q2
Ibsen Studies,IBSEN STUDIES,1,Yes,
IC-Revista Cientifica de Informacion y Comunicacion,IC REVISTA CIENTIFICA DE INFORMACION Y COMUNICACION,4,,Q4
ICARUS,ICARUS,3,,Q2
Icelandic Agricultural Sciences,ICELANDIC AGRICULTURAL SCIENCES,4,,Q4
Icelandic Review of Politics & Administration,ICELANDIC REVIEW OF POLITICS AND ADMINISTRATION,4,,Q4
ICES JOURNAL OF MARINE SCIENCE,ICES JOURNAL OF MARINE SCIENCE,2,Yes,Q1
ICGA JOURNAL,ICGA JOURNAL,4,,Q4
ICHNOS-AN INTERNATIONAL JOURNAL FOR PLANT AND ANIMAL TRACES,ICHNOS AN INTERNATIONAL JOURNAL FOR PLANT AND ANIMAL TRACES,4,,Q1
ICHTHYOLOGICAL EXPLORATION OF FRESHWATERS,ICHTHYOLOGICAL EXPLORATION OF FRESHWATERS,,,Q3
ICHTHYOLOGICAL RESEARCH,ICHTHYOLOGICAL RESEARCH,4,,Q3
Ichthyology and Herpetology,ICHTHYOLOGY AND HERPETOLOGY,3,,Q2
ICL Journal-Vienna Journal on International Constitutional Law,ICL JOURNAL VIENNA JOURNAL ON INTERNATIONAL CONSTITUTIONAL LAW,4,,Q2
ICON-INTERNATIONAL JOURNAL OF CONSTITUTIONAL LAW,ICON INTERNATIONAL JOURNAL OF CONSTITUTIONAL LAW,3,,Q1
ICONARP International Journal of Architecture and Planning,ICONARP INTERNATIONAL JOURNAL OF ARCHITECTURE AND PLANNING,4,,
Iconographica,ICONOGRAPHICA,4,,
Iconos,ICONOS,4,,Q3
ICSID Review-Foreign Investment Law Journal,ICSID REVIEW FOREIGN INVESTMENT LAW JOURNAL,4,,Q2
ICT Express,ICT EXPRESS,3,,Q2
IDA-International Design and Art Journal,IDA INTERNATIONAL DESIGN AND ART JOURNAL,,,
IDCases,IDCASES,4,,Q4
IDEALISTIC STUDIES,IDEALISTIC STUDIES,3,,
Ideas in Ecology and Evolution,IDEAS IN ECOLOGY AND EVOLUTION,,,Q4
Ideas y Valores,IDEAS Y VALORES,4,,
Ideggyogyaszati Szemle-Clinical Neuroscience,IDEGGYOGYASZATI SZEMLE CLINICAL NEUROSCIENCE,4,,Q4
Identidade,IDENTIDADE,4,,Q4
IDENTITIES-GLOBAL STUDIES IN CULTURE AND POWER,IDENTITIES GLOBAL STUDIES IN CULTURE AND POWER,2,,Q1
Identity-An International Journal of Theory and Research,IDENTITY AN INTERNATIONAL JOURNAL OF THEORY AND RESEARCH,2,,Q3
Ido Movement for Culture-Journal of Martial Arts Anthropology,IDO MOVEMENT FOR CULTURE JOURNAL OF MARTIAL ARTS ANTHROPOLOGY,4,,Q4
Idojaras,IDOJARAS,4,,Q4
IDP-Internet Law and Politics,IDP INTERNET LAW AND POLITICS,4,,Q4
IDS BULLETIN-INSTITUTE OF DEVELOPMENT STUDIES,IDS BULLETIN INSTITUTE OF DEVELOPMENT STUDIES,4,,Q2
IEEE Access,IEEE ACCESS,4,,Q2
IEEE-ACM Transactions on Audio Speech and Language Processing,IEEE ACM TRANSACTIONS ON AUDIO SPEECH AND LANGUAGE PROCESSING,2,,Q1
IEEE-ACM Transactions on Computational Biology and Bioinformatics,IEEE ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS,3,,Q1
IEEE-ACM TRANSACTIONS ON NETWORKING,IEEE ACM TRANSACTIONS ON NETWORKING,3,,Q1
IEEE AEROSPACE AND ELECTRONIC SYSTEMS MAGAZINE,IEEE AEROSPACE AND ELECTRONIC SYSTEMS MAGAZINE,3,,Q1
IEEE ANNALS OF THE HISTORY OF COMPUTING,IEEE ANNALS OF HISTORY OF COMPUTING,3,,Q2
IEEE ANTENNAS AND PROPAGATION MAGAZINE,IEEE ANTENNAS AND PROPAGATION MAGAZINE,3,,Q1
IEEE Antennas and Wireless Propagation Letters,IEEE ANTENNAS AND WIRELESS PROPAGATION LETTERS,2,,Q1
IEEE-ASME TRANSACTIONS ON MECHATRONICS,IEEE ASME TRANSACTIONS ON MECHATRONICS,1,Yes,Q1
IEEE-CAA Journal of Automatica Sinica,IEEE CAA JOURNAL OF AUTOMATICA SINICA,1,Yes,Q1
IEEE Canadian Journal of Electrical and Computer Engineering,IEEE CANADIAN JOURNAL OF ELECTRICAL AND COMPUTER ENGINEERING,4,,Q3
IEEE Circuits and Systems Magazine,IEEE CIRCUITS AND SYSTEMS MAGAZINE,2,,Q2
IEEE COMMUNICATIONS LETTERS,IEEE COMMUNICATIONS LETTERS,3,,Q2
IEEE COMMUNICATIONS MAGAZINE,IEEE COMMUNICATIONS MAGAZINE,2,,Q1
IEEE Communications Surveys and Tutorials,IEEE COMMUNICATIONS SURVEYS AND TUTORIALS,1,Yes,Q1
IEEE Computational Intelligence Magazine,IEEE COMPUTATIONAL INTELLIGENCE MAGAZINE,2,,Q1
IEEE Computer Architecture Letters,IEEE COMPUTER ARCHITECTURE LETTERS,4,,Q4
IEEE COMPUTER GRAPHICS AND APPLICATIONS,IEEE COMPUTER GRAPHICS AND APPLICATIONS,4,,Q3
IEEE Consumer Electronics Magazine,IEEE CONSUMER ELECTRONICS MAGAZINE,4,,Q1
IEEE Control Systems Letters,IEEE CONTROL SYSTEMS LETTERS,3,,Q3
IEEE CONTROL SYSTEMS MAGAZINE,IEEE CONTROL SYSTEMS MAGAZINE,3,,Q1
IEEE Design & Test,IEEE DESIGN AND TEST,4,,Q3
IEEE ELECTRICAL INSULATION MAGAZINE,IEEE ELECTRICAL INSULATION MAGAZINE,4,,Q4
IEEE Electrification Magazine,IEEE ELECTRIFICATION MAGAZINE,4,,Q2
IEEE ELECTRON DEVICE LETTERS,IEEE ELECTRON DEVICE LETTERS,2,,Q2
IEEE Embedded Systems Letters,IEEE EMBEDDED SYSTEMS LETTERS,4,,Q3
IEEE Geoscience and Remote Sensing Letters,IEEE GEOSCIENCE AND REMOTE SENSING LETTERS,3,,Q1
IEEE Geoscience and Remote Sensing Magazine,IEEE GEOSCIENCE AND REMOTE SENSING MAGAZINE,1,Yes,Q1
IEEE Industrial Electronics Magazine,IEEE INDUSTRIAL ELECTRONICS MAGAZINE,2,,Q2
IEEE INDUSTRY APPLICATIONS MAGAZINE,IEEE INDUSTRY APPLICATIONS MAGAZINE,4,,Q4
IEEE INSTRUMENTATION & MEASUREMENT MAGAZINE,IEEE INSTRUMENTATION AND MEASUREMENT MAGAZINE,4,,Q3
IEEE INTELLIGENT SYSTEMS,IEEE INTELLIGENT SYSTEMS,4,,Q1
IEEE Intelligent Transportation Systems Magazine,IEEE INTELLIGENT TRANSPORTATION SYSTEMS MAGAZINE,3,,Q1
IEEE INTERNET COMPUTING,IEEE INTERNET COMPUTING,3,,Q1
IEEE Internet of Things Journal,IEEE INTERNET OF THINGS JOURNAL,2,Yes,Q1
IEEE Journal of Biomedical and Health Informatics,IEEE JOURNAL OF BIOMEDICAL AND HEALTH INFORMATICS,2,Yes,Q1
IEEE Journal of Electromagnetics RF and Microwaves in Medicine and Biology,IEEE JOURNAL OF ELECTROMAGNETICS RF AND MICROWAVES IN MEDICINE AND BIOLOGY,3,,Q2
IEEE Journal of the Electron Devices Society,IEEE JOURNAL OF ELECTRON DEVICES SOCIETY,3,,Q3
IEEE Journal of Emerging and Selected Topics in Industrial Electronics,IEEE JOURNAL OF EMERGING AND SELECTED TOPICS IN INDUSTRIAL ELECTRONICS,,,Q2
IEEE Journal of Emerging and Selected Topics in Power Electronics,IEEE JOURNAL OF EMERGING AND SELECTED TOPICS IN POWER ELECTRONICS,2,Yes,Q1
IEEE Journal of Microwaves,IEEE JOURNAL OF MICROWAVES,2,,Q1
IEEE JOURNAL OF OCEANIC ENGINEERING,IEEE JOURNAL OF OCEANIC ENGINEERING,3,,Q1
IEEE Journal of Photovoltaics,IEEE JOURNAL OF PHOTOVOLTAICS,4,,Q3
IEEE JOURNAL OF QUANTUM ELECTRONICS,IEEE JOURNAL OF QUANTUM ELECTRONICS,3,,Q3
IEEE Journal of Radio Frequency Identification,IEEE JOURNAL OF RADIO FREQUENCY IDENTIFICATION,4,,Q2
IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,2,,Q1
IEEE JOURNAL OF SELECTED TOPICS IN QUANTUM ELECTRONICS,IEEE JOURNAL OF SELECTED TOPICS IN QUANTUM ELECTRONICS,2,,Q1
IEEE Journal of Selected Topics in Signal Processing,IEEE JOURNAL OF SELECTED TOPICS IN SIGNAL PROCESSING,2,,Q1
IEEE JOURNAL OF SOLID-STATE CIRCUITS,IEEE JOURNAL OF SOLID STATE CIRCUITS,1,Yes,Q1
IEEE Journal of Translational Engineering in Health and Medicine,IEEE JOURNAL OF TRANSLATIONAL ENGINEERING IN HEALTH AND MEDICINE,3,,Q2
IEEE Journal on Emerging and Selected Topics in Circuits and Systems,IEEE JOURNAL ON EMERGING AND SELECTED TOPICS IN CIRCUITS AND SYSTEMS,2,,Q2
IEEE Journal on Exploratory Solid-State Computational Devices and Circuits,IEEE JOURNAL ON EXPLORATORY SOLID STATE COMPUTATIONAL DEVICES AND CIRCUITS,4,,Q2
IEEE Journal on Miniaturization for Air and Space Systems,IEEE JOURNAL ON MINIATURIZATION FOR AIR AND SPACE SYSTEMS,,,Q2
IEEE Journal on Multiscale and Multiphysics Computational Techniques,IEEE JOURNAL ON MULTISCALE AND MULTIPHYSICS COMPUTATIONAL TECHNIQUES,3,,Q3
IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,1,Yes,Q1
IEEE Journal on Selected Areas in Information Theory,IEEE JOURNAL ON SELECTED AREAS IN INFORMATION THEORY,,,Q2
IEEE Latin America Transactions,IEEE LATIN AMERICA TRANSACTIONS,4,,Q3
IEEE Letters on Electromagnetic Compatibility Practice and Applications,IEEE LETTERS ON ELECTROMAGNETIC COMPATIBILITY PRACTICE AND APPLICATIONS,4,,Q4
IEEE Magnetics Letters,IEEE MAGNETICS LETTERS,4,,Q4
IEEE MICRO,IEEE MICRO,3,,Q2
IEEE MICROWAVE AND WIRELESS COMPONENTS LETTERS,IEEE MICROWAVE AND WIRELESS COMPONENTS LETTERS,,,Q2
IEEE Microwave and Wireless Technology Letters,IEEE MICROWAVE AND WIRELESS TECHNOLOGY LETTERS,2,,Q2
IEEE MICROWAVE MAGAZINE,IEEE MICROWAVE MAGAZINE,3,,Q2
IEEE MULTIMEDIA,IEEE MULTIMEDIA,4,,Q2
IEEE Nanotechnology Magazine,IEEE NANOTECHNOLOGY MAGAZINE,4,,Q3
IEEE NETWORK,IEEE NETWORK,3,,Q1
IEEE Open Access Journal of Power and Energy,IEEE OPEN ACCESS JOURNAL OF POWER AND ENERGY,3,,Q2
IEEE Open Journal of Antennas and Propagation,IEEE OPEN JOURNAL OF ANTENNAS AND PROPAGATION,3,,Q2
IEEE Open Journal of Circuits and Systems,IEEE OPEN JOURNAL OF CIRCUITS AND SYSTEMS,4,,Q3
IEEE Open Journal of the Communications Society,IEEE OPEN JOURNAL OF COMMUNICATIONS SOCIETY,3,,Q1
IEEE Open Journal of the Computer Society,IEEE OPEN JOURNAL OF COMPUTER SOCIETY,3,,Q1
IEEE Open Journal of Control Systems,IEEE OPEN JOURNAL OF CONTROL SYSTEMS,,,Q4
IEEE Open Journal of Engineering in Medicine and Biology,IEEE OPEN JOURNAL OF ENGINEERING IN MEDICINE AND BIOLOGY,4,,Q3
IEEE Open Journal of the Industrial Electronics Society,IEEE OPEN JOURNAL OF INDUSTRIAL ELECTRONICS SOCIETY,2,,Q2
IEEE Open Journal of Industry Applications,IEEE OPEN JOURNAL OF INDUSTRY APPLICATIONS,3,,Q2
IEEE Open Journal of Instrumentation and Measurement,IEEE OPEN JOURNAL OF INSTRUMENTATION AND MEASUREMENT,,,Q3
