Journal,Journal_Normalized,CAS2025_Quartile,CAS2025_Top,JCR_BestQuartile
J19-The Journal of Nineteenth-Century Americanists,J19 JOURNAL OF NINETEENTH CENTURY AMERICANISTS,4,,
JA Clinical Reports,JA CLINICAL REPORTS,4,,Q3
JAAD International,JAAD INTERNATIONAL,,,Q1
JAAPA-Journal of the American Academy of Physician Assistants,JAAPA JOURNAL OF AMERICAN ACADEMY OF PHYSICIAN ASSISTANTS,4,,Q3
JAC-Antimicrobial Resistance,JAC ANTIMICROBIAL RESISTANCE,4,,Q2
JACC-Basic to Translational Science,JACC BASIC TO TRANSLATIONAL SCIENCE,1,Yes,Q1
JACC: CardioOncology,JACC CARDIOONCOLOGY,1,Yes,Q1
JACC-Cardiovascular Imaging,JACC CARDIOVASCULAR IMAGING,1,Yes,Q1
JACC-Cardiovascular Interventions,JACC CARDIOVASCULAR INTERVENTIONS,1,Yes,Q1
JACC-Clinical Electrophysiology,JACC CLINICAL ELECTROPHYSIOLOGY,1,Yes,Q1
JACC-Heart Failure,JACC HEART FAILURE,1,Yes,Q1
JACS Au,JACS AU,1,Yes,Q1
Jaen Journal on Approximation,JAEN JOURNAL ON APPROXIMATION,4,,
JAHRBUCH DER BERLINER MUSEEN,JAHRBUCH DER BERLINER MUSEEN,4,,
Jahrbuch der Oesterreichischen Byzantinistik,JAHRBUCH DER OESTERREICHISCHEN BYZANTINISTIK,4,,
JAHRBUCH FUR INTERNATIONALE GERMANISTIK,JAHRBUCH FUR INTERNATIONALE GERMANISTIK,4,,
Jahrbuch Fur Wirtschaftsgeschichte,JAHRBUCH FUR WIRTSCHAFTSGESCHICHTE,4,,Q2
JAHRBUCHER FUR GESCHICHTE OSTEUROPAS,JAHRBUCHER FUR GESCHICHTE OSTEUROPAS,4,,
JAHRBUCHER FUR NATIONALOKONOMIE UND STATISTIK,JAHRBUCHER FUR NATIONALOKONOMIE UND STATISTIK,4,,Q3
JAIDS-JOURNAL OF ACQUIRED IMMUNE DEFICIENCY SYNDROMES,JAIDS JOURNAL OF ACQUIRED IMMUNE DEFICIENCY SYNDROMES,3,,Q3
JAMA Cardiology,JAMA CARDIOLOGY,1,Yes,Q1
JAMA Dermatology,JAMA DERMATOLOGY,1,Yes,Q1
JAMA Health Forum,JAMA HEALTH FORUM,1,Yes,Q1
JAMA Internal Medicine,JAMA INTERNAL MEDICINE,1,Yes,Q1
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,JAMA JOURNAL OF AMERICAN MEDICAL ASSOCIATION,1,Yes,Q1
JAMA Network Open,JAMA NETWORK OPEN,1,Yes,Q1
JAMA Neurology,JAMA NEUROLOGY,1,Yes,Q1
JAMA Oncology,JAMA ONCOLOGY,1,Yes,Q1
JAMA Ophthalmology,JAMA OPHTHALMOLOGY,1,Yes,Q1
JAMA Otolaryngology-Head & Neck Surgery,JAMA OTOLARYNGOLOGY HEAD AND NECK SURGERY,1,Yes,Q1
JAMA Pediatrics,JAMA PEDIATRICS,1,Yes,Q1
JAMA Psychiatry,JAMA PSYCHIATRY,1,Yes,Q1
JAMA Surgery,JAMA SURGERY,1,Yes,Q1
Jamba-Journal of Disaster Risk Studies,JAMBA JOURNAL OF DISASTER RISK STUDIES,4,,Q2
JAMES JOYCE QUARTERLY,JAMES JOYCE QUARTERLY,3,,
JAMIA Open,JAMIA OPEN,3,,Q1
JANAC-JOURNAL OF THE ASSOCIATION OF NURSES IN AIDS CARE,JANAC JOURNAL OF ASSOCIATION OF NURSES IN AIDS CARE,4,,Q3
Janus-Estudios Sobre El Siglo de Oro,JANUS ESTUDIOS SOBRE EL SIGLO DE ORO,3,,
