Journal,Journal_Normalized,CAS2025_Quartile,CAS2025_Top,JCR_BestQuartile
Kadim,KADIM,,,Q3
Kafkas Universitesi Veteriner Fakultesi Dergisi,KAFKAS UNIVERSITESI VETERINER FAKULTESI DERGISI,4,,Q3
KAGAKU KOGAKU RONBUNSHU,KAGAKU KOGAKU RONBUNSHU,4,,Q4
Kajian Malaysia,KAJIAN MALAYSIA,4,,Q3
Kalagatos-Revista de Filosofia,KALAGATOS REVISTA DE FILOSOFIA,4,,
Kamchatka-Revista de Analisis Cultural,KAMCHATKA REVISTA DE ANALISIS CULTURAL,4,,
KANT-STUDIEN,KANT STUDIEN,2,,
Kant Yearbook,KANT YEARBOOK,3,,
Kantian Review,KANTIAN REVIEW,2,Yes,
KAOHSIUNG JOURNAL OF MEDICAL SCIENCES,KAOHSIUNG JOURNAL OF MEDICAL SCIENCES,4,,Q2
Kardiochirurgia i Torakochirurgia Polska-Polish Journal of Thoracic and Cardiovascular Surgery,KARDIOCHIRURGIA I TORAKOCHIRURGIA POLSKA POLISH JOURNAL OF THORACIC AND CARDIOVASCULAR SURGERY,4,,Q3
Kardiologia Polska,KARDIOLOGIA POLSKA,3,,
Kardiologie,KARDIOLOGIE,4,,Q4
KARDIOLOGIYA,KARDIOLOGIYA,4,,Q4
Kastamonu University Journal of Forestry Faculty,KASTAMONU UNIVERSITY JOURNAL OF FORESTRY FACULTY,4,,Q4
KEATS-SHELLEY JOURNAL,KEATS SHELLEY JOURNAL,3,,
KEATS-SHELLEY REVIEW,KEATS SHELLEY REVIEW,4,,
KEDI Journal of Educational Policy,KEDI JOURNAL OF EDUCATIONAL POLICY,4,,Q3
KEIO JOURNAL OF MEDICINE,KEIO JOURNAL OF MEDICINE,4,,Q3
Kemija u Industriji-Journal of Chemists and Chemical Engineers,KEMIJA U INDUSTRIJI JOURNAL OF CHEMISTS AND CHEMICAL ENGINEERS,4,,Q4
KENNEDY INSTITUTE OF ETHICS JOURNAL,KENNEDY INSTITUTE OF ETHICS JOURNAL,3,,Q2
KENYON REVIEW,KENYON REVIEW,4,,
KERNTECHNIK,KERNTECHNIK,4,,Q4
Kesmas-National Public Health Journal,KESMAS NATIONAL PUBLIC HEALTH JOURNAL,4,,Q4
KEW BULLETIN,KEW BULLETIN,4,,Q4
KGK-Kautschuk Gummi Kunststoffe,KGK KAUTSCHUK GUMMI KUNSTSTOFFE,4,,
Khazar Journal of Humanities and Social Sciences,KHAZAR JOURNAL OF HUMANITIES AND SOCIAL SCIENCES,4,,Q4
Khyber Medical University Journal-KMUJ,KHYBER MEDICAL UNIVERSITY JOURNAL KMUJ,4,,Q4
KIDNEY & BLOOD PRESSURE RESEARCH,KIDNEY AND BLOOD PRESSURE RESEARCH,3,,Q2
Kidney and Dialysis,KIDNEY AND DIALYSIS,,,Q2
Kidney Cancer,KIDNEY CANCER,4,,Q3
Kidney Diseases,KIDNEY DISEASES,4,,Q1
KIDNEY INTERNATIONAL,KIDNEY INTERNATIONAL,1,Yes,Q1
Kidney International Reports,KIDNEY INTERNATIONAL REPORTS,2,Yes,Q1
Kidney International Supplements,KIDNEY INTERNATIONAL SUPPLEMENTS,2,,Q1
Kidney Medicine,KIDNEY MEDICINE,3,,Q1
Kidney Research and Clinical Practice,KIDNEY RESEARCH AND CLINICAL PRACTICE,3,,Q1
Kidney360,KIDNEY360,3,,Q1
Kierkegaard Studies Yearbook,KIERKEGAARD STUDIES YEARBOOK,3,,
KINDHEIT UND ENTWICKLUNG,KINDHEIT UND ENTWICKLUNG,4,,Q4
Kinematics and Physics of Celestial Bodies,KINEMATICS AND PHYSICS OF CELESTIAL BODIES,4,,Q4
Kinesiologia Slovenica,KINESIOLOGIA SLOVENICA,4,,Q4
Kinesiology,KINESIOLOGY,4,,Q4
Kinesiology Review,KINESIOLOGY REVIEW,,,Q3
Kinetic and Related Models,KINETIC AND RELATED MODELS,4,,Q1
KINETICS AND CATALYSIS,KINETICS AND CATALYSIS,4,,Q4
Kino-The Western Undergraduate Journal of Film Studies,KINO WESTERN UNDERGRADUATE JOURNAL OF FILM STUDIES,,,
Kiva-Journal of Southwestern Anthropology and History,KIVA JOURNAL OF SOUTHWESTERN ANTHROPOLOGY AND HISTORY,4,,
Kleintierpraxis,KLEINTIERPRAXIS,4,,Q4
Klimik Journal,KLIMIK JOURNAL,4,,Q3
Klinik Psikiyatri Dergisi-Turkish Journal of Clinical Psychiatry,KLINIK PSIKIYATRI DERGISI TURKISH JOURNAL OF CLINICAL PSYCHIATRY,4,,Q4
KLINISCHE MONATSBLATTER FUR AUGENHEILKUNDE,KLINISCHE MONATSBLATTER FUR AUGENHEILKUNDE,4,,Q4
KLINISCHE NEUROPHYSIOLOGIE,KLINISCHE NEUROPHYSIOLOGIE,4,,Q4
KLINISCHE PADIATRIE,KLINISCHE PADIATRIE,4,,Q3
KNEE,KNEE,4,,Q2
Knee Surgery & Related Research,KNEE SURGERY AND RELATED RESEARCH,1,Yes,Q1
KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY,KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY,2,,Q1
Knjizevna Smotra,KNJIZEVNA SMOTRA,4,,
KNOWLEDGE AND INFORMATION SYSTEMS,KNOWLEDGE AND INFORMATION SYSTEMS,4,,Q2
Knowledge and Management of Aquatic Ecosystems,KNOWLEDGE AND MANAGEMENT OF AQUATIC ECOSYSTEMS,4,,Q2
Knowledge and Process Management,KNOWLEDGE AND PROCESS MANAGEMENT,4,,Q3
KNOWLEDGE-BASED SYSTEMS,KNOWLEDGE BASED SYSTEMS,1,Yes,Q1
KNOWLEDGE ENGINEERING REVIEW,KNOWLEDGE ENGINEERING REVIEW,3,,Q3
Knowledge Management & E-Learning-An International Journal,KNOWLEDGE MANAGEMENT AND E LEARNING AN INTERNATIONAL JOURNAL,3,,Q1
Knowledge Management Research & Practice,KNOWLEDGE MANAGEMENT RESEARCH AND PRACTICE,4,,Q1
KNOWLEDGE ORGANIZATION,KNOWLEDGE ORGANIZATION,4,,Q3
Knygotyra,KNYGOTYRA,,,Q2
Kocatepe Islami Ilimler Dergisi,KOCATEPE ISLAMI ILIMLER DERGISI,,,
Kodai Mathematical Journal,KODAI MATHEMATICAL JOURNAL,4,,Q3
