Journal,Journal_Normalized,CAS2025_Quartile,CAS2025_Top,JCR_BestQuartile
L1 Educational Studies in Language and Literature,L1 EDUCATIONAL STUDIES IN LANGUAGE AND LITERATURE,4,,Q3
LAB ANIMAL,LAB ANIMAL,2,,Q1
LAB ON A CHIP,LAB ON A CHIP,2,,Q1
LABOR HISTORY,LABOR HISTORY,4,,Q1
Labor-Studies in Working-Class History of the Americas,LABOR STUDIES IN WORKING CLASS HISTORY OF AMERICAS,4,,Q4
Laboratoire Italien-Politique et Societe,LABORATOIRE ITALIEN POLITIQUE ET SOCIETE,4,,Q4
Laboratorio de Arte,LABORATORIO DE ARTE,4,,
Laboratorium-Russian Review of Social Research,LABORATORIUM RUSSIAN REVIEW OF SOCIAL RESEARCH,4,,Q3
Laboratory Animal Research,LABORATORY ANIMAL RESEARCH,4,,Q1
LABORATORY ANIMALS,LABORATORY ANIMALS,4,,Q2
LABORATORY INVESTIGATION,LABORATORY INVESTIGATION,2,,Q1
LABORATORY MEDICINE,LABORATORY MEDICINE,4,,Q4
Laboratory Phonology,LABORATORY PHONOLOGY,2,,Q2
LaborHistorico,LABORHISTORICO,4,,
Labour and Industry,LABOUR AND INDUSTRY,4,,Q2
LABOUR ECONOMICS,LABOUR ECONOMICS,2,,Q1
Labour-England,LABOUR ENGLAND,4,,Q4
Labour History,LABOUR HISTORY,4,,Q2
Labour History Review,LABOUR HISTORY REVIEW,3,,Q3
LABOUR-LE TRAVAIL,LABOUR LE TRAVAIL,4,,Q1
Laeknabladid,LAEKNABLADID,4,,Q3
LAKE AND RESERVOIR MANAGEMENT,LAKE AND RESERVOIR MANAGEMENT,4,,Q4
LANCET,LANCET,1,Yes,Q1
Lancet Child & Adolescent Health,LANCET CHILD AND ADOLESCENT HEALTH,1,Yes,Q1
Lancet Diabetes & Endocrinology,LANCET DIABETES AND ENDOCRINOLOGY,1,Yes,Q1
Lancet Digital Health,LANCET DIGITAL HEALTH,1,Yes,Q1
Lancet Gastroenterology & Hepatology,LANCET GASTROENTEROLOGY AND HEPATOLOGY,1,Yes,Q1
Lancet Global Health,LANCET GLOBAL HEALTH,1,Yes,Q1
Lancet Haematology,LANCET HAEMATOLOGY,1,Yes,Q1
Lancet Healthy Longevity,LANCET HEALTHY LONGEVITY,1,Yes,Q1
Lancet HIV,LANCET HIV,1,Yes,Q1
LANCET INFECTIOUS DISEASES,LANCET INFECTIOUS DISEASES,1,Yes,Q1
Lancet Microbe,LANCET MICROBE,1,Yes,Q1
LANCET NEUROLOGY,LANCET NEUROLOGY,1,Yes,Q1
LANCET ONCOLOGY,LANCET ONCOLOGY,1,Yes,Q1
Lancet Planetary Health,LANCET PLANETARY HEALTH,1,Yes,Q1
Lancet Psychiatry,LANCET PSYCHIATRY,1,Yes,Q1
Lancet Public Health,LANCET PUBLIC HEALTH,1,Yes,Q1
Lancet Regional Health-Americas,LANCET REGIONAL HEALTH AMERICAS,2,,Q1
Lancet Regional Health-Europe,LANCET REGIONAL HEALTH EUROPE,1,Yes,Q1
Lancet Regional Health - Southeast Asia,LANCET REGIONAL HEALTH SOUTHEAST ASIA,2,,Q1
Lancet Regional Health-Western Pacific,LANCET REGIONAL HEALTH WESTERN PACIFIC,1,Yes,Q1
Lancet Respiratory Medicine,LANCET RESPIRATORY MEDICINE,1,Yes,Q1
Lancet Rheumatology,LANCET RHEUMATOLOGY,1,Yes,Q1
Land,LAND,3,,Q2
LAND DEGRADATION & DEVELOPMENT,LAND DEGRADATION AND DEVELOPMENT,2,,Q2
LAND ECONOMICS,LAND ECONOMICS,4,,Q2
LAND USE POLICY,LAND USE POLICY,1,Yes,Q1
Landbauforschung-Journal of Sustainable and Organic Agricultural Systems,LANDBAUFORSCHUNG JOURNAL OF SUSTAINABLE AND ORGANIC AGRICULTURAL SYSTEMS,,,Q3
LANDFALL,LANDFALL,4,,
Landscape and Ecological Engineering,LANDSCAPE AND ECOLOGICAL ENGINEERING,4,,Q2
LANDSCAPE AND URBAN PLANNING,LANDSCAPE AND URBAN PLANNING,1,Yes,Q1
Landscape Architecture and Art,LANDSCAPE ARCHITECTURE AND ART,4,,
Landscape Architecture Frontiers,LANDSCAPE ARCHITECTURE FRONTIERS,4,,
LANDSCAPE ECOLOGY,LANDSCAPE ECOLOGY,2,,Q1
Landscape Journal,LANDSCAPE JOURNAL,3,,
Landscape Research,LANDSCAPE RESEARCH,4,,Q2
Landslides,LANDSLIDES,2,,Q1
Langages,LANGAGES,4,,Q4
LANGENBECKS ARCHIVES OF SURGERY,LANGENBECKS ARCHIVES OF SURGERY,3,,Q2
LANGMUIR,LANGMUIR,2,,Q2
Langston Hughes Review,LANGSTON HUGHES REVIEW,4,,
LANGUAGE,LANGUAGE,2,Yes,Q2
Language Acquisition,LANGUAGE ACQUISITION,2,,Q2
Language and Cognition,LANGUAGE AND COGNITION,3,,Q2
LANGUAGE & COMMUNICATION,LANGUAGE AND COMMUNICATION,2,,Q2
Language and Dialogue,LANGUAGE AND DIALOGUE,3,,
Language and Education,LANGUAGE AND EDUCATION,2,,Q1
Language & History,LANGUAGE AND HISTORY,3,,Q2
Language and Intercultural Communication,LANGUAGE AND INTERCULTURAL COMMUNICATION,2,Yes,Q1
Language and Linguistics,LANGUAGE AND LINGUISTICS,3,,Q4
Language and Linguistics Compass,LANGUAGE AND LINGUISTICS COMPASS,2,,
Language and Literacy,LANGUAGE AND LITERACY,4,,Q4
Language and Literature,LANGUAGE AND LITERATURE,2,,Q3
Language and Sociocultural Theory,LANGUAGE AND SOCIOCULTURAL THEORY,4,,Q3
LANGUAGE AND SPEECH,LANGUAGE AND SPEECH,2,,Q2
Language Assessment Quarterly,LANGUAGE ASSESSMENT QUARTERLY,3,,Q1
Language Awareness,LANGUAGE AWARENESS,2,Yes,Q1
Language Cognition and Neuroscience,LANGUAGE COGNITION AND NEUROSCIENCE,3,,Q1
Language Context and Text-The Social Semiotics Forum,LANGUAGE CONTEXT AND TEXT SOCIAL SEMIOTICS FORUM,4,,
Language Culture and Curriculum,LANGUAGE CULTURE AND CURRICULUM,1,Yes,Q1
Language-Culture and Society,LANGUAGE CULTURE AND SOCIETY,3,,Q3
Language Documentation & Conservation,LANGUAGE DOCUMENTATION AND CONSERVATION,4,,
Language Dynamics and Change,LANGUAGE DYNAMICS AND CHANGE,2,,
LANGUAGE IN SOCIETY,LANGUAGE IN SOCIETY,1,Yes,Q1
LANGUAGE LEARNING,LANGUAGE LEARNING,1,Yes,Q1
Language Learning and Development,LANGUAGE LEARNING AND DEVELOPMENT,2,,Q2
LANGUAGE LEARNING & TECHNOLOGY,LANGUAGE LEARNING AND TECHNOLOGY,2,,Q1
Language Learning in Higher Education,LANGUAGE LEARNING IN HIGHER EDUCATION,4,,Q3
Language Learning Journal,LANGUAGE LEARNING JOURNAL,3,,Q1
Language Matters,LANGUAGE MATTERS,3,,Q3
Language Policy,LANGUAGE POLICY,2,,Q1
Language Problems & Language Planning,LANGUAGE PROBLEMS AND LANGUAGE PLANNING,4,,Q3
Language Resources and Evaluation,LANGUAGE RESOURCES AND EVALUATION,4,,Q3
LANGUAGE SCIENCES,LANGUAGE SCIENCES,2,,Q2
LANGUAGE SPEECH AND HEARING SERVICES IN SCHOOLS,LANGUAGE SPEECH AND HEARING SERVICES IN SCHOOLS,2,,Q1
Language Teaching,LANGUAGE TEACHING,2,Yes,Q1
Language Teaching for Young Learners,LANGUAGE TEACHING FOR YOUNG LEARNERS,4,,Q2
Language Teaching Research,LANGUAGE TEACHING RESEARCH,1,Yes,Q1
Language Testing,LANGUAGE TESTING,2,,Q1
Language Testing in Asia,LANGUAGE TESTING IN ASIA,3,,Q1
Language Variation and Change,LANGUAGE VARIATION AND CHANGE,1,Yes,Q1
Languages,LANGUAGES,2,,Q2
Languages in Contrast,LANGUAGES IN CONTRAST,3,,
LANGUE FRANCAISE,LANGUE FRANCAISE,4,,
Lanx-Journal of the Scuola di Specializzazione in Archeologia of the University of Milan,LANX JOURNAL OF SCUOLA DI SPECIALIZZAZIONE IN ARCHEOLOGIA OF UNIVERSITY OF MILAN,4,,
LAPAROSCOPIC ENDOSCOPIC AND ROBOTIC SURGERY,LAPAROSCOPIC ENDOSCOPIC AND ROBOTIC SURGERY,4,,Q2
Lares-Quadrimestrale di Studi Demoetnoantropologici,LARES QUADRIMESTRALE DI STUDI DEMOETNOANTROPOLOGICI,4,,
Large Animal Review,LARGE ANIMAL REVIEW,4,,Q4
Large-Scale Assessments in Education,LARGE SCALE ASSESSMENTS IN EDUCATION,3,,Q1
LARYNGO-RHINO-OTOLOGIE,LARYNGO RHINO OTOLOGIE,4,,Q2
LARYNGOSCOPE,LARYNGOSCOPE,3,,Q2
Laryngoscope Investigative Otolaryngology,LARYNGOSCOPE INVESTIGATIVE OTOLARYNGOLOGY,4,,Q2
Laser & Optoelectronics Progress,LASER AND OPTOELECTRONICS PROGRESS,3,,Q4
LASER AND PARTICLE BEAMS,LASER AND PARTICLE BEAMS,4,,Q3
Laser & Photonics Reviews,LASER AND PHOTONICS REVIEWS,1,Yes,Q1
LASER PHYSICS,LASER PHYSICS,4,,Q4
LASER PHYSICS LETTERS,LASER PHYSICS LETTERS,4,,Q3
LASERS IN ENGINEERING,LASERS IN ENGINEERING,4,,Q4
LASERS IN MEDICAL SCIENCE,LASERS IN MEDICAL SCIENCE,4,,Q1
LASERS IN SURGERY AND MEDICINE,LASERS IN SURGERY AND MEDICINE,3,,Q2
LATE IMPERIAL CHINA,LATE IMPERIAL CHINA,2,,Q2
LATERALITY,LATERALITY,4,,Q3
Latin American and Caribbean Ethnic Studies,LATIN AMERICAN AND CARIBBEAN ETHNIC STUDIES,3,,Q3
LATIN AMERICAN ANTIQUITY,LATIN AMERICAN ANTIQUITY,1,Yes,Q2
LATIN AMERICAN APPLIED RESEARCH,LATIN AMERICAN APPLIED RESEARCH,4,,Q4
Latin American Business Review,LATIN AMERICAN BUSINESS REVIEW,,,Q3
Latin American Economic Review,LATIN AMERICAN ECONOMIC REVIEW,4,,
Latin American Journal of Aquatic Research,LATIN AMERICAN JOURNAL OF AQUATIC RESEARCH,4,,Q4
Latin American Journal of Central Banking,LATIN AMERICAN JOURNAL OF CENTRAL BANKING,,,Q3
Latin American Journal of Content & Language Integrated-LACLIL,LATIN AMERICAN JOURNAL OF CONTENT AND LANGUAGE INTEGRATED LACLIL,4,,
Latin American Journal of Solids and Structures,LATIN AMERICAN JOURNAL OF SOLIDS AND STRUCTURES,4,,Q3
LATIN AMERICAN MUSIC REVIEW-REVISTA DE MUSICA LATINOAMERICANA,LATIN AMERICAN MUSIC REVIEW REVISTA DE MUSICA LATINOAMERICANA,4,,
LATIN AMERICAN PERSPECTIVES,LATIN AMERICAN PERSPECTIVES,3,,Q2
Latin American Policy,LATIN AMERICAN POLICY,4,,Q3
LATIN AMERICAN POLITICS AND SOCIETY,LATIN AMERICAN POLITICS AND SOCIETY,2,,Q1
LATIN AMERICAN RESEARCH REVIEW,LATIN AMERICAN RESEARCH REVIEW,4,,Q2
LATIN AMERICAN THEATRE REVIEW,LATIN AMERICAN THEATRE REVIEW,4,,
Latin Americanist,LATIN AMERICANIST,4,,
Latino Studies,LATINO STUDIES,4,,Q3
LATOMUS,LATOMUS,3,,
Latvian Journal of Physics and Technical Sciences,LATVIAN JOURNAL OF PHYSICS AND TECHNICAL SCIENCES,4,,Q4
LAVAL THEOLOGIQUE ET PHILOSOPHIQUE,LAVAL THEOLOGIQUE ET PHILOSOPHIQUE,4,,
LAW AND CRITIQUE,LAW AND CRITIQUE,3,,Q2
Law and Development Review,LAW AND DEVELOPMENT REVIEW,4,,Q2
Law and Financial Markets Review,LAW AND FINANCIAL MARKETS REVIEW,,,Q2
Law and History Review,LAW AND HISTORY REVIEW,3,,Q1
LAW AND HUMAN BEHAVIOR,LAW AND HUMAN BEHAVIOR,2,,Q1
Law and Humanities,LAW AND HUMANITIES,4,,Q3
Law & Literature,LAW AND LITERATURE,3,,
LAW AND PHILOSOPHY,LAW AND PHILOSOPHY,2,,Q2
Law & Policy,LAW AND POLICY,3,,Q1
Law & Practice of International Courts and Tribunals,LAW AND PRACTICE OF INTERNATIONAL COURTS AND TRIBUNALS,3,,Q2
Law & Social Inquiry,LAW AND SOCIAL INQUIRY,,,Q2
LAW AND SOCIAL INQUIRY-JOURNAL OF THE AMERICAN BAR FOUNDATION,LAW AND SOCIAL INQUIRY JOURNAL OF AMERICAN BAR FOUNDATION,3,,
LAW & SOCIETY REVIEW,LAW AND SOCIETY REVIEW,2,,Q1
Law Culture and the Humanities,LAW CULTURE AND HUMANITIES,4,,Q3
LAW LIBRARY JOURNAL,LAW LIBRARY JOURNAL,4,,Q3
LAW PROBABILITY & RISK,LAW PROBABILITY AND RISK,4,,Q1
Law Teacher,LAW TEACHER,4,,Q2
Law Technology and Humans,LAW TECHNOLOGY AND HUMANS,4,,Q2
Law Text Culture,LAW TEXT CULTURE,4,,Q4
Laws,LAWS,3,,Q2
LCGC EUROPE,LCGC EUROPE,4,,Q4
LCGC North America,LCGC NORTH AMERICA,4,,
LEA-Lingue e Letterature d Oriente e d Occidente,LEA LINGUE E LETTERATURE D ORIENTE E D OCCIDENTE,4,,
Leadership,LEADERSHIP,4,,Q3
LEADERSHIP & ORGANIZATION DEVELOPMENT JOURNAL,LEADERSHIP AND ORGANIZATION DEVELOPMENT JOURNAL,3,,Q2
Leadership and Policy in Schools,LEADERSHIP AND POLICY IN SCHOOLS,4,,Q2
Leadership in Health Services,LEADERSHIP IN HEALTH SERVICES,4,,Q3
