Journal,Journal_Normalized,CAS2025_Quartile,CAS2025_Top,JCR_BestQuartile
M+A-Revista Electronica de Medio Ambiente,M A REVISTA ELECTRONICA DE MEDIO AMBIENTE,4,,Q4
M&SOM-Manufacturing & Service Operations Management,M AND SOM MANUFACTURING AND SERVICE OPERATIONS MANAGEMENT,3,,Q2
M S-MEDECINE SCIENCES,M S MEDECINE SCIENCES,4,,Q4
mAbs,MABS,2,,Q1
Macedonian Journal of Chemistry and Chemical engineering,MACEDONIAN JOURNAL OF CHEMISTRY AND CHEMICAL ENGINEERING,4,,Q4
Macedonian Veterinary Review,MACEDONIAN VETERINARY REVIEW,4,,Q4
Machine Intelligence Research,MACHINE INTELLIGENCE RESEARCH,2,,Q1
MACHINE LEARNING,MACHINE LEARNING,4,,Q2
Machine Learning and Knowledge Extraction,MACHINE LEARNING AND KNOWLEDGE EXTRACTION,4,,Q1
Machine Learning-Science and Technology,MACHINE LEARNING SCIENCE AND TECHNOLOGY,2,,Q1
Machine Learning with Applications,MACHINE LEARNING WITH APPLICATIONS,,,Q1
MACHINE TRANSLATION,MACHINE TRANSLATION,4,,
MACHINE VISION AND APPLICATIONS,MACHINE VISION AND APPLICATIONS,4,,Q3
Machines,MACHINES,3,,Q2
MACHINING SCIENCE AND TECHNOLOGY,MACHINING SCIENCE AND TECHNOLOGY,3,,Q2
MACROECONOMIC DYNAMICS,MACROECONOMIC DYNAMICS,4,,Q3
Macroeconomics and Finance in Emerging Market Economies,MACROECONOMICS AND FINANCE IN EMERGING MARKET ECONOMIES,4,,Q3
Macroheterocycles,MACROHETEROCYCLES,4,,Q3
Macromol,MACROMOL,,,Q2
MACROMOLECULAR BIOSCIENCE,MACROMOLECULAR BIOSCIENCE,4,,Q2
MACROMOLECULAR CHEMISTRY AND PHYSICS,MACROMOLECULAR CHEMISTRY AND PHYSICS,4,,Q3
MACROMOLECULAR MATERIALS AND ENGINEERING,MACROMOLECULAR MATERIALS AND ENGINEERING,3,,Q2
MACROMOLECULAR RAPID COMMUNICATIONS,MACROMOLECULAR RAPID COMMUNICATIONS,3,,Q2
Macromolecular Reaction Engineering,MACROMOLECULAR REACTION ENGINEERING,4,,Q4
MACROMOLECULAR RESEARCH,MACROMOLECULAR RESEARCH,4,,Q2
MACROMOLECULAR THEORY AND SIMULATIONS,MACROMOLECULAR THEORY AND SIMULATIONS,4,,Q3
MACROMOLECULES,MACROMOLECULES,1,Yes,Q1
Madera y Bosques,MADERA Y BOSQUES,4,,Q4
Maderas-Ciencia y Tecnologia,MADERAS CIENCIA Y TECNOLOGIA,4,,Q2
Madrygal-Revista de Estudios Gallegos,MADRYGAL REVISTA DE ESTUDIOS GALLEGOS,4,,
Maejo International Journal of Science and Technology,MAEJO INTERNATIONAL JOURNAL OF SCIENCE AND TECHNOLOGY,4,,Q4
Magallania,MAGALLANIA,4,,Q3
Magallanica-Revista de Historia Moderna,MAGALLANICA REVISTA DE HISTORIA MODERNA,4,,Q3
Magazine of Civil Engineering,MAGAZINE OF CIVIL ENGINEERING,4,,Q4
MAGAZINE OF CONCRETE RESEARCH,MAGAZINE OF CONCRETE RESEARCH,4,,Q3
