Journal,Journal_Normalized,CAS2025_Quartile,CAS2025_Top,JCR_BestQuartile
NACC-Nova Acta Cientifica Compostelana Bioloxia,NACC NOVA ACTA CIENTIFICA COMPOSTELANA BIOLOXIA,4,,Q4
Nafta-Gaz,NAFTA GAZ,4,,Q4
Nagoya Journal of Medical Science,NAGOYA JOURNAL OF MEDICAL SCIENCE,4,,Q4
NAGOYA MATHEMATICAL JOURNAL,NAGOYA MATHEMATICAL JOURNAL,2,,Q2
Naharaim,NAHARAIM,4,,
NAIS-Native American and Indigenous Studies Association,NAIS NATIVE AMERICAN AND INDIGENOUS STUDIES ASSOCIATION,3,,Q2
Names-A Journal of Onomastics,NAMES A JOURNAL OF ONOMASTICS,3,,Q3
Namik Kemal Medical Journal,NAMIK KEMAL MEDICAL JOURNAL,,,Q4
Nan Nu-Men Women and Gender in China,NAN NU MEN WOMEN AND GENDER IN CHINA,4,,
Nankai Business Review International,NANKAI BUSINESS REVIEW INTERNATIONAL,4,,Q3
NANO,NANO,4,,Q4
Nano Communication Networks,NANO COMMUNICATION NETWORKS,4,,Q2
Nano Convergence,NANO CONVERGENCE,2,,Q1
Nano Energy,NANO ENERGY,2,Yes,Q1
Nano Express,NANO EXPRESS,4,,Q3
Nano Futures,NANO FUTURES,4,,Q2
Nano Hybrids and Composites,NANO HYBRIDS AND COMPOSITES,4,,Q4
NANO LETTERS,NANO LETTERS,2,Yes,Q1
Nano LIFE,NANO LIFE,4,,Q4
Nano Materials Science,NANO MATERIALS SCIENCE,1,Yes,Q1
Nano-Micro Letters,NANO MICRO LETTERS,1,Yes,Q1
Nano Research,NANO RESEARCH,1,Yes,Q1
Nano Research Energy,NANO RESEARCH ENERGY,1,Yes,
Nano Select,NANO SELECT,4,,Q2
Nano Today,NANO TODAY,2,Yes,Q1
Nanobiotechnology Reports,NANOBIOTECHNOLOGY REPORTS,4,,Q4
Nanocomposites,NANOCOMPOSITES,3,,Q2
NanoEthics,NANOETHICS,4,,Q1
Nanofabrication,NANOFABRICATION,4,,Q4
NanoImpact,NANOIMPACT,3,,Q1
Nanomanufacturing and Metrology,NANOMANUFACTURING AND METROLOGY,4,,Q1
Nanomaterials,NANOMATERIALS,3,,Q2
Nanomaterials and Energy,NANOMATERIALS AND ENERGY,4,,Q4
Nanomaterials and Nanotechnology,NANOMATERIALS AND NANOTECHNOLOGY,4,,Q2
Nanomedicine,NANOMEDICINE,4,,Q2
Nanomedicine Journal,NANOMEDICINE JOURNAL,4,,Q4
Nanomedicine-Nanotechnology Biology and Medicine,NANOMEDICINE NANOTECHNOLOGY BIOLOGY AND MEDICINE,3,,Q2
Nanophotonics,NANOPHOTONICS,2,,Q1
Nanoscale,NANOSCALE,3,,Q1
Nanoscale Advances,NANOSCALE ADVANCES,3,,Q2
Nanoscale and Microscale Thermophysical Engineering,NANOSCALE AND MICROSCALE THERMOPHYSICAL ENGINEERING,4,,Q2
Nanoscale Horizons,NANOSCALE HORIZONS,2,,Q1
Nanoscale Research Letters,NANOSCALE RESEARCH LETTERS,,,Q2
Nanoscience and Technology-An International Journal,NANOSCIENCE AND TECHNOLOGY AN INTERNATIONAL JOURNAL,4,,Q4
Nanosystems-Physics Chemistry Mathematics,NANOSYSTEMS PHYSICS CHEMISTRY MATHEMATICS,4,,Q4
Nanotechnologies in Construction-A Scientific Internet-Journal,NANOTECHNOLOGIES IN CONSTRUCTION A SCIENTIFIC INTERNET JOURNAL,4,,Q4
NANOTECHNOLOGY,NANOTECHNOLOGY,4,,Q2
Nanotechnology and Precision Engineering,NANOTECHNOLOGY AND PRECISION ENGINEERING,3,,Q3
Nanotechnology Reviews,NANOTECHNOLOGY REVIEWS,3,,Q1
Nanotechnology Science and Applications,NANOTECHNOLOGY SCIENCE AND APPLICATIONS,4,,Q4
Nanotoxicology,NANOTOXICOLOGY,4,,Q2
NAR Cancer,NAR CANCER,4,,Q2
NAR Genomics and Bioinformatics,NAR GENOMICS AND BIOINFORMATICS,4,,Q2
NARRATIVE,NARRATIVE,3,,
Narrative Culture,NARRATIVE CULTURE,4,,
NARRATIVE INQUIRY,NARRATIVE INQUIRY,3,,Q3
Narrative Works-Issues Investigations & Interventions,NARRATIVE WORKS ISSUES INVESTIGATIONS AND INTERVENTIONS,4,,
Nase More,NASE MORE,4,,Q3
Nashim-A Journal of Jewish Womens Studies & Gender Issues,NASHIM A JOURNAL OF JEWISH WOMENS STUDIES AND GENDER ISSUES,4,,
Naslede,NASLEDE,4,,
NATION,NATION,4,,Q2
NATIONAL ACADEMY SCIENCE LETTERS-INDIA,NATIONAL ACADEMY SCIENCE LETTERS INDIA,4,,Q3
National Accounting Review,NATIONAL ACCOUNTING REVIEW,2,,Q2
NATIONAL IDENTITIES,NATIONAL IDENTITIES,3,,Q3
National Institute Economic Review,NATIONAL INSTITUTE ECONOMIC REVIEW,4,,Q3
NATIONAL MEDICAL JOURNAL OF INDIA,NATIONAL MEDICAL JOURNAL OF INDIA,4,,Q3
National Science Review,NATIONAL SCIENCE REVIEW,1,Yes,Q1
National Taiwan University Law Review,NATIONAL TAIWAN UNIVERSITY LAW REVIEW,4,,Q3
NATIONAL TAX JOURNAL,NATIONAL TAX JOURNAL,3,,Q3
Nationalism and Ethnic Politics,NATIONALISM AND ETHNIC POLITICS,3,,Q3
Nationalities Papers-The Journal of Nationalism and Ethnicity,NATIONALITIES PAPERS JOURNAL OF NATIONALISM AND ETHNICITY,3,,Q1
