Journal,Journal_Normalized,CAS2025_Quartile,CAS2025_Top,JCR_BestQuartile
OASIS-Observatorio de Analisis de los Sistemas Internacionales,OASIS OBSERVATORIO DE ANALISIS DE LOS SISTEMAS INTERNACIONALES,4,,Q4
Obere Extremitaet-Schulter-Ellenbogen-Hand-Upper Extremity-Shoulder Elbow Hand,OBERE EXTREMITAET SCHULTER ELLENBOGEN HAND UPPER EXTREMITY SHOULDER ELBOW HAND,4,,Q4
Obesities,OBESITIES,,,Q4
Obesity,OBESITY,2,,Q1
Obesity Facts,OBESITY FACTS,3,,Q1
Obesity Research & Clinical Practice,OBESITY RESEARCH AND CLINICAL PRACTICE,4,,Q3
Obesity Reviews,OBESITY REVIEWS,2,Yes,Q1
Obesity Science & Practice,OBESITY SCIENCE AND PRACTICE,4,,Q3
OBESITY SURGERY,OBESITY SURGERY,3,,Q1
OBETS-Revista de Ciencias Sociales,OBETS REVISTA DE CIENCIAS SOCIALES,4,,Q3
Obra Digital-Revista de Comunicacion,OBRA DIGITAL REVISTA DE COMUNICACION,4,,Q4
Obrabotka Metallov-Metal Working and Material Science,OBRABOTKA METALLOV METAL WORKING AND MATERIAL SCIENCE,4,,Q4
Obradoiro de Historia Moderna,OBRADOIRO DE HISTORIA MODERNA,4,,Q2
Obrana a Strategie-Defence & Strategy,OBRANA A STRATEGIE DEFENCE AND STRATEGY,4,,Q3
Obrazovanie i Nauka-Education and Science,OBRAZOVANIE I NAUKA EDUCATION AND SCIENCE,4,,Q4
Observar,OBSERVAR,4,,
Observatorio Medioambiental,OBSERVATORIO MEDIOAMBIENTAL,4,,Q4
OBSERVATORY,OBSERVATORY,4,,Q3
Obstetric Medicine,OBSTETRIC MEDICINE,4,,Q4
OBSTETRICAL & GYNECOLOGICAL SURVEY,OBSTETRICAL AND GYNECOLOGICAL SURVEY,4,,Q1
Obstetrician & Gynaecologist,OBSTETRICIAN AND GYNAECOLOGIST,4,,Q3
OBSTETRICS AND GYNECOLOGY,OBSTETRICS AND GYNECOLOGY,2,Yes,Q1
OBSTETRICS AND GYNECOLOGY CLINICS OF NORTH AMERICA,OBSTETRICS AND GYNECOLOGY CLINICS OF NORTH AMERICA,3,,Q2
Obstetrics and Gynecology International,OBSTETRICS AND GYNECOLOGY INTERNATIONAL,4,,Q3
Obstetrics & Gynecology Science,OBSTETRICS AND GYNECOLOGY SCIENCE,4,,Q2
Occasional Papers on Religion in Eastern Europe,OCCASIONAL PAPERS ON RELIGION IN EASTERN EUROPE,4,,
OCCUPATIONAL AND ENVIRONMENTAL MEDICINE,OCCUPATIONAL AND ENVIRONMENTAL MEDICINE,2,,Q1
Occupational Health Science,OCCUPATIONAL HEALTH SCIENCE,4,,Q2
OCCUPATIONAL MEDICINE-OXFORD,OCCUPATIONAL MEDICINE OXFORD,4,,Q3
OCCUPATIONAL THERAPY IN HEALTH CARE,OCCUPATIONAL THERAPY IN HEALTH CARE,4,,Q4
Occupational Therapy in Mental Health,OCCUPATIONAL THERAPY IN MENTAL HEALTH,4,,Q4
Occupational Therapy International,OCCUPATIONAL THERAPY INTERNATIONAL,4,,Q4
OCEAN & COASTAL MANAGEMENT,OCEAN AND COASTAL MANAGEMENT,2,,Q1
Ocean and Coastal Research,OCEAN AND COASTAL RESEARCH,4,,Q3
