Journal,Journal_Normalized,CAS2025_Quartile,CAS2025_Top,JCR_BestQuartile
P-Adic Numbers Ultrametric Analysis and Applications,P ADIC NUMBERS ULTRAMETRIC ANALYSIS AND APPLICATIONS,4,,Q4
PACE-PACING AND CLINICAL ELECTROPHYSIOLOGY,PACE PACING AND CLINICAL ELECTROPHYSIOLOGY,4,,Q3
PACHYDERM,PACHYDERM,4,,Q2
Pacific Accounting Review,PACIFIC ACCOUNTING REVIEW,4,,Q2
PACIFIC AFFAIRS,PACIFIC AFFAIRS,4,,Q1
Pacific Asia Journal of the Association for Information Systems,PACIFIC ASIA JOURNAL OF ASSOCIATION FOR INFORMATION SYSTEMS,4,,Q1
Pacific-Basin Finance Journal,PACIFIC BASIN FINANCE JOURNAL,2,,Q1
Pacific Business Review International,PACIFIC BUSINESS REVIEW INTERNATIONAL,4,,Q4
PACIFIC CONSERVATION BIOLOGY,PACIFIC CONSERVATION BIOLOGY,4,,Q2
Pacific Economic Review,PACIFIC ECONOMIC REVIEW,4,,Q3
Pacific Focus,PACIFIC FOCUS,4,,Q3
PACIFIC HISTORICAL REVIEW,PACIFIC HISTORICAL REVIEW,3,,Q2
PACIFIC JOURNAL OF MATHEMATICS,PACIFIC JOURNAL OF MATHEMATICS,3,,Q2
Pacific Journal of Optimization,PACIFIC JOURNAL OF OPTIMIZATION,4,,Q3
Pacific Journalism Review,PACIFIC JOURNALISM REVIEW,3,,Q3
PACIFIC NORTHWEST QUARTERLY,PACIFIC NORTHWEST QUARTERLY,4,,Q4
PACIFIC PHILOSOPHICAL QUARTERLY,PACIFIC PHILOSOPHICAL QUARTERLY,2,,
PACIFIC REVIEW,PACIFIC REVIEW,2,Yes,Q1
Pacific Rim International Journal of Nursing Research,PACIFIC RIM INTERNATIONAL JOURNAL OF NURSING RESEARCH,4,,Q4
Pacific Rim Property Research Journal,PACIFIC RIM PROPERTY RESEARCH JOURNAL,,,Q4
PACIFIC SCIENCE,PACIFIC SCIENCE,4,,Q4
PACKAGING TECHNOLOGY AND SCIENCE,PACKAGING TECHNOLOGY AND SCIENCE,3,,Q2
Paddy and Water Environment,PADDY AND WATER ENVIRONMENT,4,,Q2
PAEDAGOGICA HISTORICA,PAEDAGOGICA HISTORICA,4,,Q4
PAEDIATRIC AND PERINATAL EPIDEMIOLOGY,PAEDIATRIC AND PERINATAL EPIDEMIOLOGY,2,,Q1
Paediatric Respiratory Reviews,PAEDIATRIC RESPIRATORY REVIEWS,3,,Q1
Paediatrica Indonesiana,PAEDIATRICA INDONESIANA,4,,Q4
Paediatrics & Child Health,PAEDIATRICS AND CHILD HEALTH,4,,Q2
Paediatrics and International Child Health,PAEDIATRICS AND INTERNATIONAL CHILD HEALTH,4,,Q3
PAEDIATRIE UND PAEDOLOGIE,PAEDIATRIE UND PAEDOLOGIE,4,,Q4
Paginas de Educacion,PAGINAS DE EDUCACION,4,,Q4
Paideusis-The Journal of the Canadian Philosophy of Education Society,PAIDEUSIS JOURNAL OF CANADIAN PHILOSOPHY OF EDUCATION SOCIETY,4,,Q4
PAIN,PAIN,1,Yes,Q1
Pain and Therapy,PAIN AND THERAPY,2,,Q2
Pain Management,PAIN MANAGEMENT,4,,Q4
Pain Management Nursing,PAIN MANAGEMENT NURSING,4,,Q2
PAIN MEDICINE,PAIN MEDICINE,3,,Q1
Pain Physician,PAIN PHYSICIAN,3,,Q2
Pain Practice,PAIN PRACTICE,3,,Q2
Pain Reports,PAIN REPORTS,3,,Q2
Pain Research & Management,PAIN RESEARCH AND MANAGEMENT,3,,Q2
PAJ-A JOURNAL OF PERFORMANCE AND ART,PAJ A JOURNAL OF PERFORMANCE AND ART,4,,
Pakistan Heart Journal,PAKISTAN HEART JOURNAL,4,,Q4
PAKISTAN JOURNAL OF AGRICULTURAL SCIENCES,PAKISTAN JOURNAL OF AGRICULTURAL SCIENCES,4,,Q3
Pakistan Journal of Analytical & Environmental Chemistry,PAKISTAN JOURNAL OF ANALYTICAL AND ENVIRONMENTAL CHEMISTRY,4,,Q4
PAKISTAN JOURNAL OF BOTANY,PAKISTAN JOURNAL OF BOTANY,4,,Q4
Pakistan Journal of Medical Sciences,PAKISTAN JOURNAL OF MEDICAL SCIENCES,4,,Q2
Pakistan Journal of Pharmaceutical Sciences,PAKISTAN JOURNAL OF PHARMACEUTICAL SCIENCES,4,,Q4
Pakistan Journal of Statistics and Operation Research,PAKISTAN JOURNAL OF STATISTICS AND OPERATION RESEARCH,4,,Q3
PAKISTAN VETERINARY JOURNAL,PAKISTAN VETERINARY JOURNAL,2,,Q1
Palabra,PALABRA,4,,
Palabra Clave,PALABRA CLAVE,4,,Q3
Palaeobiodiversity and Palaeoenvironments,PALAEOBIODIVERSITY AND PALAEOENVIRONMENTS,4,,Q3
Palaeobulgarica-Starobalgaristika,PALAEOBULGARICA STAROBALGARISTIKA,4,,
Palaeoentomology,PALAEOENTOMOLOGY,3,,Q1
PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY,PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY,2,,Q1
Palaeohispanica-Revista sobre Lenguas y Culturas de la Hispania Antigua,PALAEOHISPANICA REVISTA SOBRE LENGUAS Y CULTURAS DE LA HISPANIA ANTIGUA,4,,
PALAEONTOGRAPHICA ABTEILUNG A-PALAOZOOLOGIE-STRATIGRAPHIE,PALAEONTOGRAPHICA ABTEILUNG A PALAOZOOLOGIE STRATIGRAPHIE,3,,Q4
Palaeontographica Abteilung B-Palaeophytologie Palaeobotany-Palaeophytology,PALAEONTOGRAPHICA ABTEILUNG B PALAEOPHYTOLOGIE PALAEOBOTANY PALAEOPHYTOLOGY,4,,Q1
PALAEONTOLOGIA ELECTRONICA,PALAEONTOLOGIA ELECTRONICA,4,,Q2
PALAEONTOLOGY,PALAEONTOLOGY,2,,Q1
Palaeoworld,PALAEOWORLD,3,,Q2
Palaestra,PALAESTRA,4,,Q4
PALAIOS,PALAIOS,4,,Q2
Palawan Scientist,PALAWAN SCIENTIST,4,,Q4
PaleoAmerica,PALEOAMERICA,2,,Q1
PALEOBIOLOGY,PALEOBIOLOGY,2,,Q1
Paleoceanography and Paleoclimatology,PALEOCEANOGRAPHY AND PALEOCLIMATOLOGY,2,,Q1
PALEONTOLOGICAL JOURNAL,PALEONTOLOGICAL JOURNAL,4,,Q4
PALEONTOLOGICAL RESEARCH,PALEONTOLOGICAL RESEARCH,4,,Q4
Palestine Exploration Quarterly,PALESTINE EXPLORATION QUARTERLY,2,,Q1
