Journal,Journal_Normalized,CAS2025_Quartile,CAS2025_Top,JCR_BestQuartile
QED-A Journal in GLBTQ Worldmaking,QED A JOURNAL IN GLBTQ WORLDMAKING,4,,Q3
QJM-AN INTERNATIONAL JOURNAL OF MEDICINE,QJM AN INTERNATIONAL JOURNAL OF MEDICINE,3,,Q1
QME-Quantitative Marketing and Economics,QME QUANTITATIVE MARKETING AND ECONOMICS,4,,Q3
QUADERNI D ITALIANISTICA,QUADERNI D ITALIANISTICA,4,,
Quaderni di Geofisica,QUADERNI DI GEOFISICA,4,,Q4
QUADERNI STORICI,QUADERNI STORICI,4,,Q3
QUADERNI URBINATI DI CULTURA CLASSICA,QUADERNI URBINATI DI CULTURA CLASSICA,3,,
Quaderns de Filologia-Estudis Linguistics,QUADERNS DE FILOLOGIA ESTUDIS LINGUISTICS,4,,
Quaderns de Filologia-Estudis Literaris,QUADERNS DE FILOLOGIA ESTUDIS LITERARIS,4,,
Quaderns de Psicologia,QUADERNS DE PSICOLOGIA,4,,Q4
Quaderns-Revista de Traduccio,QUADERNS REVISTA DE TRADUCCIO,3,,
Quaerendo-A Journal Devoted to Manuscripts and Printed Books,QUAERENDO A JOURNAL DEVOTED TO MANUSCRIPTS AND PRINTED BOOKS,2,,
Quaestio Iuris,QUAESTIO IURIS,4,,Q4
Quaestio Rossica,QUAESTIO ROSSICA,4,,
Quaestiones Disputatae,QUAESTIONES DISPUTATAE,4,,
Quaestiones Geographicae,QUAESTIONES GEOGRAPHICAE,4,,Q3
Quaestiones Mathematicae,QUAESTIONES MATHEMATICAE,4,,Q2
Qualitative & Quantitative Methods in Libraries,QUALITATIVE AND QUANTITATIVE METHODS IN LIBRARIES,4,,Q4
QUALITATIVE HEALTH RESEARCH,QUALITATIVE HEALTH RESEARCH,2,,Q1
QUALITATIVE INQUIRY,QUALITATIVE INQUIRY,3,,Q2
Qualitative Market Research,QUALITATIVE MARKET RESEARCH,4,,Q3
Qualitative Psychology,QUALITATIVE PSYCHOLOGY,1,Yes,Q1
Qualitative Report,QUALITATIVE REPORT,4,,Q2
Qualitative Research,QUALITATIVE RESEARCH,1,Yes,Q1
Qualitative Research in Accounting and Management,QUALITATIVE RESEARCH IN ACCOUNTING AND MANAGEMENT,4,,Q2
Qualitative Research in Education,QUALITATIVE RESEARCH IN EDUCATION,4,,Q3
Qualitative Research in financial Markets,QUALITATIVE RESEARCH IN FINANCIAL MARKETS,4,,Q2
Qualitative Research in Organizations and Management,QUALITATIVE RESEARCH IN ORGANIZATIONS AND MANAGEMENT,4,,Q3
Qualitative Research in Psychology,QUALITATIVE RESEARCH IN PSYCHOLOGY,2,,Q1
Qualitative Research in Sport Exercise and Health,QUALITATIVE RESEARCH IN SPORT EXERCISE AND HEALTH,2,,Q1
Qualitative Research Journal,QUALITATIVE RESEARCH JOURNAL,4,,Q2
Qualitative Social Work,QUALITATIVE SOCIAL WORK,3,,Q2
Qualitative Sociology,QUALITATIVE SOCIOLOGY,2,,Q1
Qualitative Theory of Dynamical Systems,QUALITATIVE THEORY OF DYNAMICAL SYSTEMS,2,,Q1
QUALITY AND RELIABILITY ENGINEERING INTERNATIONAL,QUALITY AND RELIABILITY ENGINEERING INTERNATIONAL,3,,Q2
