Journal,Journal_Normalized,CAS2025_Quartile,CAS2025_Top,JCR_BestQuartile
R & D MANAGEMENT,R AND D MANAGEMENT,2,,Q1
R Journal,R JOURNAL,4,,Q3
Ra-Revista de Arquitectura,RA REVISTA DE ARQUITECTURA,4,,
Rabels Zeitschrift fur Auslandisches und Internationales Privatrecht,RABELS ZEITSCHRIFT FUR AUSLANDISCHES UND INTERNATIONALES PRIVATRECHT,4,,Q2
RACAR-REVUE D ART CANADIENNE-CANADIAN ART REVIEW,RACAR REVUE D ART CANADIENNE CANADIAN ART REVIEW,3,,
RACE & CLASS,RACE AND CLASS,3,,Q1
Race and Justice,RACE AND JUSTICE,2,,Q1
Race and Social Problems,RACE AND SOCIAL PROBLEMS,2,,Q2
Race Ethnicity and Education,RACE ETHNICITY AND EDUCATION,3,,Q1
Rad Hrvatske Akademije Znanosti i Umjetnosti-Matematicke Znanosti,RAD HRVATSKE AKADEMIJE ZNANOSTI I UMJETNOSTI MATEMATICKE ZNANOSTI,4,,Q4
RADIATION AND ENVIRONMENTAL BIOPHYSICS,RADIATION AND ENVIRONMENTAL BIOPHYSICS,4,,Q2
Radiation Detection Technology and Methods,RADIATION DETECTION TECHNOLOGY AND METHODS,3,,Q2
Radiation Effects and Defects in Solids,RADIATION EFFECTS AND DEFECTS IN SOLIDS,4,,Q3
RADIATION MEASUREMENTS,RADIATION MEASUREMENTS,3,,Q1
Radiation Oncology,RADIATION ONCOLOGY,2,,Q1
Radiation Oncology Journal,RADIATION ONCOLOGY JOURNAL,4,,Q3
RADIATION PHYSICS AND CHEMISTRY,RADIATION PHYSICS AND CHEMISTRY,3,,Q1
RADIATION PROTECTION DOSIMETRY,RADIATION PROTECTION DOSIMETRY,4,,Q4
RADIATION RESEARCH,RADIATION RESEARCH,3,,Q2
RADICAL HISTORY REVIEW,RADICAL HISTORY REVIEW,3,,Q1
RADICAL PHILOSOPHY,RADICAL PHILOSOPHY,2,,Q3
Radical Teacher,RADICAL TEACHER,4,,Q4
Radio Electronics Computer Science Control,RADIO ELECTRONICS COMPUTER SCIENCE CONTROL,4,,Q4
RADIO SCIENCE,RADIO SCIENCE,4,,Q3
RADIOCARBON,RADIOCARBON,3,,Q3
RADIOCHEMISTRY,RADIOCHEMISTRY,4,,Q4
RADIOCHIMICA ACTA,RADIOCHIMICA ACTA,4,,Q2
Radioengineering,RADIOENGINEERING,4,,Q4
RADIOGRAPHICS,RADIOGRAPHICS,1,Yes,Q1
Radiography,RADIOGRAPHY,3,,Q2
RADIOLOGIA,RADIOLOGIA,4,,Q4
Radiologia Medica,RADIOLOGIA MEDICA,2,,Q1
RADIOLOGIC CLINICS OF NORTH AMERICA,RADIOLOGIC CLINICS OF NORTH AMERICA,4,,Q3
Radiologic Technology,RADIOLOGIC TECHNOLOGY,4,,Q4
Radiological Physics and Technology,RADIOLOGICAL PHYSICS AND TECHNOLOGY,4,,Q3
Radiologie,RADIOLOGIE,4,,Q4
RADIOLOGY,RADIOLOGY,1,Yes,Q1
Radiology and Oncology,RADIOLOGY AND ONCOLOGY,4,,Q2
Radiology-Artificial Intelligence,RADIOLOGY ARTIFICIAL INTELLIGENCE,1,Yes,Q1
Radiology-Cardiothoracic Imaging,RADIOLOGY CARDIOTHORACIC IMAGING,3,,Q1
Radiology-Imaging Cancer,RADIOLOGY IMAGING CANCER,2,,Q1
Radiology Research and Practice,RADIOLOGY RESEARCH AND PRACTICE,4,,Q3
Radiophysics and Quantum Electronics,RADIOPHYSICS AND QUANTUM ELECTRONICS,4,,Q4
RADIOPROTECTION,RADIOPROTECTION,4,,Q2
RADIOTHERAPY AND ONCOLOGY,RADIOTHERAPY AND ONCOLOGY,2,Yes,Q1
Radovi Instituta za Povijest Umjetnosti-Journal of the Institute of Art History,RADOVI INSTITUTA ZA POVIJEST UMJETNOSTI JOURNAL OF INSTITUTE OF ART HISTORY,4,,
Radovi-Zavoda za Hrvatsku Povijest,RADOVI ZAVODA ZA HRVATSKU POVIJEST,4,,Q3
Radovi Zavoda za povijesne znanosti HAZU u Zadru,RADOVI ZAVODA ZA POVIJESNE ZNANOSTI HAZU U ZADRU,4,,Q4
RAE-Revista de Administracao de Empresas,RAE REVISTA DE ADMINISTRACAO DE EMPRESAS,4,,Q4
RAEL-Revista Electronica de Linguistica Aplicada,RAEL REVISTA ELECTRONICA DE LINGUISTICA APLICADA,4,,Q4
RAFFLES BULLETIN OF ZOOLOGY,RAFFLES BULLETIN OF ZOOLOGY,4,,Q3
Ragion Pratica,RAGION PRATICA,4,,
Railway Engineering Science,RAILWAY ENGINEERING SCIENCE,2,,Q1
RAIRO-OPERATIONS RESEARCH,RAIRO OPERATIONS RESEARCH,4,,Q2
RAIRO-THEORETICAL INFORMATICS AND APPLICATIONS,RAIRO THEORETICAL INFORMATICS AND APPLICATIONS,4,,Q4
RAMANUJAN JOURNAL,RAMANUJAN JOURNAL,3,,Q2
Rambam Maimonides Medical Journal,RAMBAM MAIMONIDES MEDICAL JOURNAL,4,,Q2
RAND JOURNAL OF ECONOMICS,RAND JOURNAL OF ECONOMICS,2,,Q1
Random Matrices-Theory and Applications,RANDOM MATRICES THEORY AND APPLICATIONS,4,,Q4
Random Operators and Stochastic Equations,RANDOM OPERATORS AND STOCHASTIC EQUATIONS,4,,Q4
RANDOM STRUCTURES & ALGORITHMS,RANDOM STRUCTURES AND ALGORITHMS,3,,Q2
Range Management and Agroforestry,RANGE MANAGEMENT AND AGROFORESTRY,4,,Q4
Rangeland Ecology & Management,RANGELAND ECOLOGY AND MANAGEMENT,3,,Q2
RANGELAND JOURNAL,RANGELAND JOURNAL,4,,Q4
RAPID COMMUNICATIONS IN MASS SPECTROMETRY,RAPID COMMUNICATIONS IN MASS SPECTROMETRY,4,,Q3
RAPID PROTOTYPING JOURNAL,RAPID PROTOTYPING JOURNAL,4,,Q1
RARE METAL MATERIALS AND ENGINEERING,RARE METAL MATERIALS AND ENGINEERING,4,,Q3
RARE METALS,RARE METALS,1,Yes,Q1
Rare Tumors,RARE TUMORS,4,,Q4
RARITAN-A QUARTERLY REVIEW,RARITAN A QUARTERLY REVIEW,4,,
RASP-Research on Ageing and Social Policy,RASP RESEARCH ON AGEING AND SOCIAL POLICY,4,,Q4
Rasprave,RASPRAVE,4,,
RASSEGNA DELLA LETTERATURA ITALIANA,RASSEGNA DELLA LETTERATURA ITALIANA,4,,
Ratio,RATIO,3,,
Ratio Juris,RATIO JURIS,4,,Q3
Rational Pharmacotherapy in Cardiology,RATIONAL PHARMACOTHERAPY IN CARDIOLOGY,4,,Q4
RATIONALITY AND SOCIETY,RATIONALITY AND SOCIETY,3,,Q3
Raumforschung und Raumordnung-Spatial Research and Planning,RAUMFORSCHUNG UND RAUMORDNUNG SPATIAL RESEARCH AND PLANNING,4,,Q3
RAUSP Management Journal,RAUSP MANAGEMENT JOURNAL,4,,Q3
Rawal Medical Journal,RAWAL MEDICAL JOURNAL,4,,Q4
Razon Historica-Revista Hispanoamericana de Historia de las Ideas,RAZON HISTORICA REVISTA HISPANOAMERICANA DE HISTORIA DE LAS IDEAS,4,,Q4
RBGN-Revista Brasileira de Gestao de Negocios,RBGN REVISTA BRASILEIRA DE GESTAO DE NEGOCIOS,4,,Q4
RBNE-Revista Brasileira de Nutricao Esportiva,RBNE REVISTA BRASILEIRA DE NUTRICAO ESPORTIVA,4,,Q4
RBONE-Revista Brasileira de Obesidade Nutricao e Emagrecimento,RBONE REVISTA BRASILEIRA DE OBESIDADE NUTRICAO E EMAGRECIMENTO,4,,
RBRH-Revista Brasileira de Recursos Hidricos,RBRH REVISTA BRASILEIRA DE RECURSOS HIDRICOS,4,,Q4
RDBCI-Revista Digital de Biblioteconomia e Ciencia da Informacao,RDBCI REVISTA DIGITAL DE BIBLIOTECONOMIA E CIENCIA DA INFORMACAO,4,,Q3
Reaction Chemistry & Engineering,REACTION CHEMISTRY AND ENGINEERING,3,,Q2
Reaction Kinetics Mechanisms and Catalysis,REACTION KINETICS MECHANISMS AND CATALYSIS,4,,Q4
Reactions,REACTIONS,4,,Q3
REACTIVE & FUNCTIONAL POLYMERS,REACTIVE AND FUNCTIONAL POLYMERS,3,,Q1
READING AND WRITING,READING AND WRITING,3,,Q1
Reading & Writing-Journal of the Reading Association of South Africa,READING AND WRITING JOURNAL OF READING ASSOCIATION OF SOUTH AFRICA,4,,Q3
Reading & Writing Quarterly,READING AND WRITING QUARTERLY,4,,Q2
Reading in a Foreign Language,READING IN A FOREIGN LANGUAGE,3,,Q3
Reading Psychology,READING PSYCHOLOGY,4,,Q4
READING RESEARCH QUARTERLY,READING RESEARCH QUARTERLY,1,Yes,Q1
READING TEACHER,READING TEACHER,4,,Q2
Real Analysis Exchange,REAL ANALYSIS EXCHANGE,4,,Q4
REAL ESTATE ECONOMICS,REAL ESTATE ECONOMICS,3,,Q2
Real Estate Management and Valuation,REAL ESTATE MANAGEMENT AND VALUATION,4,,Q3
REAL-TIME SYSTEMS,REAL TIME SYSTEMS,4,,Q3
REC-Interventional Cardiology,REC INTERVENTIONAL CARDIOLOGY,4,,Q4
ReCALL,RECALL,1,Yes,Q1
Recent Advances in Electrical & Electronic Engineering,RECENT ADVANCES IN ELECTRICAL AND ELECTRONIC ENGINEERING,4,,Q4
Recent Advances in Inflammation & Allergy Drug Discovery,RECENT ADVANCES IN INFLAMMATION AND ALLERGY DRUG DISCOVERY,4,,Q4
Recent Contributions to Physics,RECENT CONTRIBUTIONS TO PHYSICS,4,,Q4
Recent Patents on Anti-Cancer Drug Discovery,RECENT PATENTS ON ANTI CANCER DRUG DISCOVERY,4,,Q1
Recent Patents on Nanotechnology,RECENT PATENTS ON NANOTECHNOLOGY,4,,Q2
Recent Period Turkish Studies-Yakin Donem Turkiye Arastirmalari,RECENT PERIOD TURKISH STUDIES YAKIN DONEM TURKIYE ARASTIRMALARI,4,,Q4
Reception-Texts Readers Audiences History,RECEPTION TEXTS READERS AUDIENCES HISTORY,4,,
Recerca-Revista de Pensament & Analisi,RECERCA REVISTA DE PENSAMENT AND ANALISI,4,,
Recherche en Soins Infirmiers,RECHERCHE EN SOINS INFIRMIERS,4,,Q4
Recherche et Applications en Marketing-English Edition,RECHERCHE ET APPLICATIONS EN MARKETING ENGLISH EDITION,4,,Q4
Recherche et Pratiques Pedagogiques en Langues de Specialite-Cahiers de l Apliut,RECHERCHE ET PRATIQUES PEDAGOGIQUES EN LANGUES DE SPECIALITE CAHIERS DE L APLIUT,4,,Q4
Recherches de Theologie et Philosophie Medievales,RECHERCHES DE THEOLOGIE ET PHILOSOPHIE MEDIEVALES,3,,
Recherches Sociographiques,RECHERCHES SOCIOGRAPHIQUES,4,,Q4
Recht & Psychiatrie,RECHT AND PSYCHIATRIE,4,,Q4
Rechtsmedizin,RECHTSMEDIZIN,4,,Q4
Records Management Journal,RECORDS MANAGEMENT JOURNAL,4,,Q3
RECORDS OF THE AUSTRALIAN MUSEUM,RECORDS OF AUSTRALIAN MUSEUM,4,,Q3
Records of Natural Products,RECORDS OF NATURAL PRODUCTS,4,,Q3
Recreational Sports Journal,RECREATIONAL SPORTS JOURNAL,4,,Q3
Recycling,RECYCLING,4,,Q3
RED-Revista de Educacion a Distancia,RED REVISTA DE EDUCACION A DISTANCIA,4,,Q2
RED-Revista Electronica de Direito,RED REVISTA ELECTRONICA DE DIREITO,4,,Q4
REDHECS-Revista Electronica de Humanidades Educacion y Comunicacion Social,REDHECS REVISTA ELECTRONICA DE HUMANIDADES EDUCACION Y COMUNICACION SOCIAL,4,,Q4
Redia-Journal of Zoology,REDIA JOURNAL OF ZOOLOGY,4,,Q4
REDIMAT-Revista de Investigacion en Didactica de las Matematicas,REDIMAT REVISTA DE INVESTIGACION EN DIDACTICA DE LAS MATEMATICAS,4,,Q4
Redox Biology,REDOX BIOLOGY,1,Yes,Q1
Redox Experimental Medicine,REDOX EXPERIMENTAL MEDICINE,,,Q3
REDOX REPORT,REDOX REPORT,2,,Q1
REDU-Revista de Docencia Universitaria,REDU REVISTA DE DOCENCIA UNIVERSITARIA,4,,Q4
REFERENCE SERVICES REVIEW,REFERENCE SERVICES REVIEW,4,,Q3
Reflective Practice,REFLECTIVE PRACTICE,3,,Q2
Reflexion Politica,REFLEXION POLITICA,4,,Q4
Reformation,REFORMATION,3,,
REFORMATION & RENAISSANCE REVIEW,REFORMATION AND RENAISSANCE REVIEW,3,,
REFRACTORIES AND INDUSTRIAL CERAMICS,REFRACTORIES AND INDUSTRIAL CERAMICS,4,,Q4
Refuge,REFUGE,4,,Q3
Refugee Survey Quarterly,REFUGEE SURVEY QUARTERLY,3,,Q2
