Journal,Journal_Normalized,CAS2025_Quartile,CAS2025_Top,JCR_BestQuartile
S&F-Scienzaefilosofia it,S AND F SCIENZAEFILOSOFIA IT,4,,Q4
SA Journal of Human Resource Management,SA JOURNAL OF HUMAN RESOURCE MANAGEMENT,4,,Q3
SA Journal of Industrial Psychology,SA JOURNAL OF INDUSTRIAL PSYCHOLOGY,4,,Q3
SA Journal of Radiology,SA JOURNAL OF RADIOLOGY,4,,Q4
SA Pharmaceutical Journal,SA PHARMACEUTICAL JOURNAL,4,,Q4
SaberEs,SABERES,4,,Q4
SABRAO Journal of Breeding and Genetics,SABRAO JOURNAL OF BREEDING AND GENETICS,4,,Q2
SADHANA-ACADEMY PROCEEDINGS IN ENGINEERING SCIENCES,SADHANA ACADEMY PROCEEDINGS IN ENGINEERING SCIENCES,4,,Q3
SAE International Journal of Aerospace,SAE INTERNATIONAL JOURNAL OF AEROSPACE,4,,Q4
SAE International Journal of Commercial Vehicles,SAE INTERNATIONAL JOURNAL OF COMMERCIAL VEHICLES,4,,Q4
SAE International Journal of Connected and Automated Vehicles,SAE INTERNATIONAL JOURNAL OF CONNECTED AND AUTOMATED VEHICLES,,,Q4
SAE International Journal of Electrified Vehicles,SAE INTERNATIONAL JOURNAL OF ELECTRIFIED VEHICLES,4,,Q3
SAE International Journal of Engines,SAE INTERNATIONAL JOURNAL OF ENGINES,4,,Q4
SAE International Journal of Fuels and Lubricants,SAE INTERNATIONAL JOURNAL OF FUELS AND LUBRICANTS,4,,Q4
SAE International Journal of Materials and Manufacturing,SAE INTERNATIONAL JOURNAL OF MATERIALS AND MANUFACTURING,4,,Q4
SAE International Journal of Passenger Vehicle Systems,SAE INTERNATIONAL JOURNAL OF PASSENGER VEHICLE SYSTEMS,4,,Q4
SAE International Journal of Transportation Safety,SAE INTERNATIONAL JOURNAL OF TRANSPORTATION SAFETY,4,,Q4
SAE International Journal of Vehicle Dynamics Stability and NVH,SAE INTERNATIONAL JOURNAL OF VEHICLE DYNAMICS STABILITY AND NVH,2,,Q1
SAECULUM,SAECULUM,4,,Q2
Safer Communities,SAFER COMMUNITIES,4,,Q4
Safety,SAFETY,4,,Q3
Safety and Health at Work,SAFETY AND HEALTH AT WORK,3,,Q2
SAFETY SCIENCE,SAFETY SCIENCE,2,Yes,Q1
Safundi,SAFUNDI,4,,Q4
SAGE Open,SAGE OPEN,4,,Q1
SAGE Open Medical Case Reports,SAGE OPEN MEDICAL CASE REPORTS,4,,Q3
SAGE Open Medicine,SAGE OPEN MEDICINE,4,,Q2
SAGE Open Nursing,SAGE OPEN NURSING,3,,Q1
Saggiatore Musicale,SAGGIATORE MUSICALE,3,,
SAGVNTVM-Papeles del Laboratorio de Arqueologia de Valencia,SAGVNTVM PAPELES DEL LABORATORIO DE ARQUEOLOGIA DE VALENCIA,4,,
Sahand Communications in Mathematical Analysis,SAHAND COMMUNICATIONS IN MATHEMATICAL ANALYSIS,4,,Q3
Sahara J-Journal of Social Aspects of HIV-AIDS,SAHARA J JOURNAL OF SOCIAL ASPECTS OF HIV AIDS,4,,Q3
SAIEE Africa Research Journal,SAIEE AFRICA RESEARCH JOURNAL,4,,Q4
Sains Malaysiana,SAINS MALAYSIANA,4,,Q3
SAINS TANAH,SAINS TANAH,4,,Q4
SAJOG-South African Journal of Obstetrics and Gynaecology,SAJOG SOUTH AFRICAN JOURNAL OF OBSTETRICS AND GYNAECOLOGY,4,,Q4
Sakarya Universitesi Ilahiyat Fakultesi Dergisi-Journal of Sakarya University Faculty of Theology,SAKARYA UNIVERSITESI ILAHIYAT FAKULTESI DERGISI JOURNAL OF SAKARYA UNIVERSITY FACULTY OF THEOLOGY,4,,
Sala Preta,SALA PRETA,4,,
SALAMANDRA,SALAMANDRA,4,,Q2
SALMAGUNDI-A QUARTERLY OF THE HUMANITIES AND SOCIAL SCIENCES,SALMAGUNDI A QUARTERLY OF HUMANITIES AND SOCIAL SCIENCES,4,,
Salmand-Iranian Journal of Ageing,SALMAND IRANIAN JOURNAL OF AGEING,4,,Q4
Salud Arte y Cuidado,SALUD ARTE Y CUIDADO,4,,Q4
Salud Colectiva,SALUD COLECTIVA,4,,Q4
SALUD MENTAL,SALUD MENTAL,4,,Q4
SALUD PUBLICA DE MEXICO,SALUD PUBLICA DE MEXICO,4,,Q1
Salus Journal,SALUS JOURNAL,4,,Q4
SAMJ SOUTH AFRICAN MEDICAL JOURNAL,SAMJ SOUTH AFRICAN MEDICAL JOURNAL,4,,Q2
SAMPE JOURNAL,SAMPE JOURNAL,4,,Q4
Sampling Theory Signal Processing and Data Analysis,SAMPLING THEORY SIGNAL PROCESSING AND DATA ANALYSIS,,,Q1
Samuel Beckett Today/Aujourd'hui,SAMUEL BECKETT TODAY AUJOURD HUI,3,,
Sanat Tarihi Dergisi-Journal of Art History,SANAT TARIHI DERGISI JOURNAL OF ART HISTORY,4,,
Sankhya-Series A-Mathematical Statistics and Probability,SANKHYA SERIES A MATHEMATICAL STATISTICS AND PROBABILITY,4,,Q4
