Journal,Journal_Normalized,CAS2025_Quartile,CAS2025_Top,JCR_BestQuartile
Taida Journal of Art History,TAIDA JOURNAL OF ART HISTORY,3,,
Taiwan Journal of East Asian Studies,TAIWAN JOURNAL OF EAST ASIAN STUDIES,4,,
Taiwan Journal of Linguistics,TAIWAN JOURNAL OF LINGUISTICS,3,,
Taiwan Journal of Ophthalmology,TAIWAN JOURNAL OF OPHTHALMOLOGY,4,,Q3
Taiwan Journal of TESOL,TAIWAN JOURNAL OF TESOL,4,,
TAIWANESE JOURNAL OF MATHEMATICS,TAIWANESE JOURNAL OF MATHEMATICS,4,,Q3
Taiwanese Journal of Obstetrics & Gynecology,TAIWANESE JOURNAL OF OBSTETRICS AND GYNECOLOGY,4,,Q2
TAIWANIA,TAIWANIA,4,,Q3
TALANTA,TALANTA,2,Yes,Q1
Talanta Open,TALANTA OPEN,3,,Q2
Talia Dixit-Revista Interdisciplinar de Retorica e Historiografia,TALIA DIXIT REVISTA INTERDISCIPLINAR DE RETORICA E HISTORIOGRAFIA,,,
Taller de la Historia,TALLER DE LA HISTORIA,4,,Q3
Taller de Letras,TALLER DE LETRAS,4,,
TalTech Journal of European Studies,TALTECH JOURNAL OF EUROPEAN STUDIES,4,,Q2
Tamkang Journal of Mathematics,TAMKANG JOURNAL OF MATHEMATICS,4,,Q2
Tang Studies,TANG STUDIES,,,
Tangence,TANGENCE,4,,
Tanz,TANZ,4,,
TAPPI JOURNAL,TAPPI JOURNAL,4,,Q4
Tapuya-Latin American Science Technology and Society,TAPUYA LATIN AMERICAN SCIENCE TECHNOLOGY AND SOCIETY,4,,Q1
Target-International Journal of Translation Studies,TARGET INTERNATIONAL JOURNAL OF TRANSLATION STUDIES,1,Yes,Q3
Targeted Oncology,TARGETED ONCOLOGY,3,,Q2
Tarih Incelemeleri Dergisi,TARIH INCELEMELERI DERGISI,4,,Q2
TAXON,TAXON,2,,Q2
TAXONOMY,TAXONOMY,,,Q2
TD-The Journal for Transdisciplinary Research in Southern Africa,TD JOURNAL FOR TRANSDISCIPLINARY RESEARCH IN SOUTHERN AFRICA,4,,Q3
TDR-The Drama Review-The Journal of Performance Studies,TDR DRAMA REVIEW JOURNAL OF PERFORMANCE STUDIES,2,,
Teacher Development,TEACHER DEVELOPMENT,4,,Q3
Teacher Education and Special Education,TEACHER EDUCATION AND SPECIAL EDUCATION,3,,Q1
Teachers and Teaching,TEACHERS AND TEACHING,3,,Q2
TEACHERS COLLEGE RECORD,TEACHERS COLLEGE RECORD,4,,Q2
TEACHING AND LEARNING IN MEDICINE,TEACHING AND LEARNING IN MEDICINE,3,,Q2
Teaching and Learning in Nursing,TEACHING AND LEARNING IN NURSING,3,,Q2
Teaching & Learning Inquiry-The ISSOTL Journal,TEACHING AND LEARNING INQUIRY ISSOTL JOURNAL,4,,Q3
TEACHING AND TEACHER EDUCATION,TEACHING AND TEACHER EDUCATION,1,Yes,Q1
Teaching Education,TEACHING EDUCATION,3,,Q3
Teaching Exceptional Children,TEACHING EXCEPTIONAL CHILDREN,4,,Q4
TEACHING IN HIGHER EDUCATION,TEACHING IN HIGHER EDUCATION,3,,Q1
Teaching Mathematics and Its Applications,TEACHING MATHEMATICS AND ITS APPLICATIONS,4,,Q3
Teaching of Mathematics,TEACHING OF MATHEMATICS,4,,Q4
TEACHING OF PSYCHOLOGY,TEACHING OF PSYCHOLOGY,4,,Q3
Teaching Philosophy,TEACHING PHILOSOPHY,4,,
Teaching Public Administration,TEACHING PUBLIC ADMINISTRATION,4,,Q2
TEACHING SOCIOLOGY,TEACHING SOCIOLOGY,4,,Q3
Teaching Statistics,TEACHING STATISTICS,4,,Q3
Teaching Theology and Religion,TEACHING THEOLOGY AND RELIGION,4,,Q4
Team Performance Management,TEAM PERFORMANCE MANAGEMENT,4,,Q3
Teatro e Storia,TEATRO E STORIA,4,,
Tec Empresarial,TEC EMPRESARIAL,4,,Q3
Tecciencia,TECCIENCIA,4,,
Techne-Journal of Technology for Architecture and Environment,TECHNE JOURNAL OF TECHNOLOGY FOR ARCHITECTURE AND ENVIRONMENT,4,,
TECHNICAL COMMUNICATION,TECHNICAL COMMUNICATION,3,,Q1
Technical Communication Quarterly,TECHNICAL COMMUNICATION QUARTERLY,2,,Q2
Technical Innovations & Patient Support in Radiation Oncology,TECHNICAL INNOVATIONS AND PATIENT SUPPORT IN RADIATION ONCOLOGY,,,Q2
TECHNICAL PHYSICS,TECHNICAL PHYSICS,4,,Q4
TECHNICAL PHYSICS LETTERS,TECHNICAL PHYSICS LETTERS,4,,Q4
Technical Services Quarterly,TECHNICAL SERVICES QUARTERLY,4,,Q2
Techniques and Innovations in Gastrointestinal Endoscopy,TECHNIQUES AND INNOVATIONS IN GASTROINTESTINAL ENDOSCOPY,4,,Q4
Techniques in Coloproctology,TECHNIQUES IN COLOPROCTOLOGY,3,,Q1
Techniques in Foot and Ankle Surgery,TECHNIQUES IN FOOT AND ANKLE SURGERY,4,,Q4
Techniques in Orthopaedics,TECHNIQUES IN ORTHOPAEDICS,4,,Q4
Techniques in Vascular and Interventional Radiology,TECHNIQUES IN VASCULAR AND INTERVENTIONAL RADIOLOGY,4,,Q3
Technoetic Arts,TECHNOETIC ARTS,4,,
Technological and Economic Development of Economy,TECHNOLOGICAL AND ECONOMIC DEVELOPMENT OF ECONOMY,3,,Q1
TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,1,Yes,Q1
Technologies,TECHNOLOGIES,3,,Q1
TECHNOLOGY ANALYSIS & STRATEGIC MANAGEMENT,TECHNOLOGY ANALYSIS AND STRATEGIC MANAGEMENT,4,,Q2
TECHNOLOGY AND CULTURE,TECHNOLOGY AND CULTURE,2,,Q2
TECHNOLOGY AND DISABILITY,TECHNOLOGY AND DISABILITY,4,,Q4
Technology and Economics of Smart Grids and Sustainable Energy,TECHNOLOGY AND ECONOMICS OF SMART GRIDS AND SUSTAINABLE ENERGY,,,Q3
TECHNOLOGY AND HEALTH CARE,TECHNOLOGY AND HEALTH CARE,4,,Q3
Technology and Innovation,TECHNOLOGY AND INNOVATION,4,,Q3
Technology-Architecture + Design,TECHNOLOGY ARCHITECTURE DESIGN,4,,Q4
TECHNOLOGY IN CANCER RESEARCH & TREATMENT,TECHNOLOGY IN CANCER RESEARCH AND TREATMENT,4,,Q2
Technology in Horticulture,TECHNOLOGY IN HORTICULTURE,,,Q3
TECHNOLOGY IN SOCIETY,TECHNOLOGY IN SOCIETY,2,Yes,Q1
Technology Innovation Management Review,TECHNOLOGY INNOVATION MANAGEMENT REVIEW,4,,
Technology Knowledge and Learning,TECHNOLOGY KNOWLEDGE AND LEARNING,3,,Q1
"Technology, Mind, and Behavior",TECHNOLOGY MIND AND BEHAVIOR,,,Q1
Technology Pedagogy and Education,TECHNOLOGY PEDAGOGY AND EDUCATION,3,,Q1
TECHNOMETRICS,TECHNOMETRICS,2,,Q1
TECHNOVATION,TECHNOVATION,1,Yes,Q1
TechTrends,TECHTRENDS,4,,Q1
Tecnologia Ciencia y Educacion,TECNOLOGIA CIENCIA Y EDUCACION,,,Q4
Tecnologia en Marcha,TECNOLOGIA EN MARCHA,4,,Q4
Tecnologia y Ciencias del Agua,TECNOLOGIA Y CIENCIAS DEL AGUA,4,,Q4
Tecnoscienza-Italian Journal of Science & Technology Studies,TECNOSCIENZA ITALIAN JOURNAL OF SCIENCE AND TECHNOLOGY STUDIES,4,,Q3
TECTONICS,TECTONICS,2,Yes,Q1
TECTONOPHYSICS,TECTONOPHYSICS,2,,Q2
TEHNICKI GLASNIK-TECHNICAL JOURNAL,TEHNICKI GLASNIK TECHNICAL JOURNAL,4,,Q3
Tehnicki Vjesnik-Technical Gazette,TEHNICKI VJESNIK TECHNICAL GAZETTE,4,,Q3
Tejuelo-Didactica de la Lengua y la Literatura,TEJUELO DIDACTICA DE LA LENGUA Y LA LITERATURA,4,,
Teka Komisji Urbanistyki i Architektury,TEKA KOMISJI URBANISTYKI I ARCHITEKTURY,4,,
Teknokultura: Revista de Cultura Digital y Movimientos Sociales,TEKNOKULTURA REVISTA DE CULTURA DIGITAL Y MOVIMIENTOS SOCIALES,4,,Q4
Tekst Kniga Knigoizdanie-Text Book Publishing,TEKST KNIGA KNIGOIZDANIE TEXT BOOK PUBLISHING,4,,
Tekstil ve Konfeksiyon,TEKSTIL VE KONFEKSIYON,4,,Q4
Tekstilec,TEKSTILEC,4,,Q3
Teksty Drugie,TEKSTY DRUGIE,4,,
Tel Aviv-Journal of the Institute of Archaeology of Tel Aviv University,TEL AVIV JOURNAL OF INSTITUTE OF ARCHAEOLOGY OF TEL AVIV UNIVERSITY,1,Yes,
Telecom,TELECOM,4,,Q3
TELECOMMUNICATION SYSTEMS,TELECOMMUNICATION SYSTEMS,4,,Q3
TELECOMMUNICATIONS POLICY,TELECOMMUNICATIONS POLICY,2,,Q1
TELEMATICS AND INFORMATICS,TELEMATICS AND INFORMATICS,2,,Q1
Telematics and Informatics Reports,TELEMATICS AND INFORMATICS REPORTS,,,Q1
Telematique,TELEMATIQUE,4,,Q4
Telemedicine and e-Health,TELEMEDICINE AND E HEALTH,3,,Q3
Telemedicine Reports,TELEMEDICINE REPORTS,4,,Q3
Television & New Media,TELEVISION AND NEW MEDIA,2,,Q2
TELLUS SERIES A-DYNAMIC METEOROLOGY AND OCEANOGRAPHY,TELLUS SERIES A DYNAMIC METEOROLOGY AND OCEANOGRAPHY,4,,Q4
TELLUS SERIES B-CHEMICAL AND PHYSICAL METEOROLOGY,TELLUS SERIES B CHEMICAL AND PHYSICAL METEOROLOGY,4,,Q2
TELOPEA,TELOPEA,4,,Q4
