Journal,Journal_Normalized,CAS2025_Quartile,CAS2025_Top,JCR_BestQuartile
Uchenye Zapiski Kazanskogo Universiteta-Seriya Estestvennye Nauki,UCHENYE ZAPISKI KAZANSKOGO UNIVERSITETA SERIYA ESTESTVENNYE NAUKI,4,,Q4
Uchenye Zapiski Kazanskogo Universiteta-Seriya Fiziko-Matematicheskie Nauki,UCHENYE ZAPISKI KAZANSKOGO UNIVERSITETA SERIYA FIZIKO MATEMATICHESKIE NAUKI,4,,Q4
UCJC Business and Society Review,UCJC BUSINESS AND SOCIETY REVIEW,4,,Q4
UCLA LAW REVIEW,UCLA LAW REVIEW,2,,Q1
Ufa Mathematical Journal,UFA MATHEMATICAL JOURNAL,4,,Q4
UHOD-Uluslararasi Hematoloji-Onkoloji Dergisi,UHOD ULUSLARARASI HEMATOLOJI ONKOLOJI DERGISI,4,,Q4
UIS Ingenierias,UIS INGENIERIAS,4,,Q4
Ukrainian Food Journal,UKRAINIAN FOOD JOURNAL,4,,Q4
Ukrainian Journal of Physical Optics,UKRAINIAN JOURNAL OF PHYSICAL OPTICS,4,,Q1
Ukrainian Journal of Physics,UKRAINIAN JOURNAL OF PHYSICS,4,,Q4
Ukrainian Mathematical Journal,UKRAINIAN MATHEMATICAL JOURNAL,4,,Q3
Ukrainian Metrological Journal,UKRAINIAN METROLOGICAL JOURNAL,4,,Q4
Ukrainskyi Istorychnyi Zhurnal,UKRAINSKYI ISTORYCHNYI ZHURNAL,4,,Q2
Ultrafast Science,ULTRAFAST SCIENCE,,,Q1
ULTRAMICROSCOPY,ULTRAMICROSCOPY,3,,Q3
ULTRASCHALL IN DER MEDIZIN,ULTRASCHALL IN DER MEDIZIN,2,,Q1
ULTRASONIC IMAGING,ULTRASONIC IMAGING,3,,Q2
ULTRASONICS,ULTRASONICS,2,Yes,Q1
ULTRASONICS SONOCHEMISTRY,ULTRASONICS SONOCHEMISTRY,1,Yes,Q1
Ultrasonography,ULTRASONOGRAPHY,3,,Q2
Ultrasound,ULTRASOUND,4,,Q4
ULTRASOUND IN MEDICINE AND BIOLOGY,ULTRASOUND IN MEDICINE AND BIOLOGY,3,,Q2
ULTRASOUND IN OBSTETRICS & GYNECOLOGY,ULTRASOUND IN OBSTETRICS AND GYNECOLOGY,1,Yes,Q1
Ultrasound International Open,ULTRASOUND INTERNATIONAL OPEN,4,,Q3
Ultrasound Journal,ULTRASOUND JOURNAL,2,,Q2
Ultrasound Quarterly,ULTRASOUND QUARTERLY,4,,Q4
ULTRASTRUCTURAL PATHOLOGY,ULTRASTRUCTURAL PATHOLOGY,4,,Q3
Ulusal Travma ve Acil Cerrahi Dergisi-Turkish Journal of Trauma & Emergency Surgery,ULUSAL TRAVMA VE ACIL CERRAHI DERGISI TURKISH JOURNAL OF TRAUMA AND EMERGENCY SURGERY,4,,Q3
Uluslararasi Iliskiler-International Relations,ULUSLARARASI ILISKILER INTERNATIONAL RELATIONS,4,,Q3
Umeni-Art,UMENI ART,4,,
Unconventional Resources,UNCONVENTIONAL RESOURCES,4,,Q1
Underground Space,UNDERGROUND SPACE,1,Yes,Q1
Undersea and Hyperbaric Medicine,UNDERSEA AND HYPERBARIC MEDICINE,4,,Q4
Unfallchirurgie,UNFALLCHIRURGIE,4,,Q4
Uni-pluriversidad,UNI PLURIVERSIDAD,4,,Q4
Uniciencia,UNICIENCIA,4,,Q3
Uniform Law Review,UNIFORM LAW REVIEW,4,,Q3
United European Gastroenterology Journal,UNITED EUROPEAN GASTROENTEROLOGY JOURNAL,2,,Q1
Universa Medicina,UNIVERSA MEDICINA,4,,Q4
Universal Access in the Information Society,UNIVERSAL ACCESS IN INFORMATION SOCIETY,4,,Q2
Universe,UNIVERSE,3,,Q2
Universitas Medica,UNIVERSITAS MEDICA,4,,Q4
UNIVERSITAS-Monthly Review of Philosophy and Culture,UNIVERSITAS MONTHLY REVIEW OF PHILOSOPHY AND CULTURE,4,,
Universitas Psychologica,UNIVERSITAS PSYCHOLOGICA,4,,Q4
Universitas-Revista de Ciencias Sociales y Humanas,UNIVERSITAS REVISTA DE CIENCIAS SOCIALES Y HUMANAS,4,,Q3
University of Bologna Law Review,UNIVERSITY OF BOLOGNA LAW REVIEW,4,,Q3
UNIVERSITY OF CHICAGO LAW REVIEW,UNIVERSITY OF CHICAGO LAW REVIEW,3,,Q1
UNIVERSITY OF CINCINNATI LAW REVIEW,UNIVERSITY OF CINCINNATI LAW REVIEW,4,,Q3
UNIVERSITY OF ILLINOIS LAW REVIEW,UNIVERSITY OF ILLINOIS LAW REVIEW,4,,Q2
UNIVERSITY OF NEW SOUTH WALES LAW JOURNAL,UNIVERSITY OF NEW SOUTH WALES LAW JOURNAL,4,,Q2
University of Pennsylvania Journal of International Law,UNIVERSITY OF PENNSYLVANIA JOURNAL OF INTERNATIONAL LAW,4,,Q3
UNIVERSITY OF PENNSYLVANIA LAW REVIEW,UNIVERSITY OF PENNSYLVANIA LAW REVIEW,,,Q1
UNIVERSITY OF PITTSBURGH LAW REVIEW,UNIVERSITY OF PITTSBURGH LAW REVIEW,4,,Q3
University of Toronto Journal of Undergraduate Life Sciences,UNIVERSITY OF TORONTO JOURNAL OF UNDERGRADUATE LIFE SCIENCES,4,,Q4
UNIVERSITY OF TORONTO LAW JOURNAL,UNIVERSITY OF TORONTO LAW JOURNAL,4,,Q3
University of Toronto Medical Journal,UNIVERSITY OF TORONTO MEDICAL JOURNAL,4,,Q3
UNIVERSITY OF TORONTO QUARTERLY,UNIVERSITY OF TORONTO QUARTERLY,3,,
University of Western Australia Law Review,UNIVERSITY OF WESTERN AUSTRALIA LAW REVIEW,4,,Q3
University Politehnica of Bucharest Scientific Bulletin-Series A-Applied Mathematics and Physics,UNIVERSITY POLITEHNICA OF BUCHAREST SCIENTIFIC BULLETIN SERIES A APPLIED MATHEMATICS AND PHYSICS,4,,Q4
