Journal,Journal_Normalized,CAS2025_Quartile,CAS2025_Top,JCR_BestQuartile
Vaccine,VACCINE,3,,Q2
Vaccine: X,VACCINE X,4,,Q3
Vaccines,VACCINES,3,,Q2
Vacuum,VACUUM,3,,Q2
VADOSE ZONE JOURNAL,VADOSE ZONE JOURNAL,3,,Q2
Vakuum in Forschung und Praxis,VAKUUM IN FORSCHUNG UND PRAXIS,4,,Q4
Valenciana,VALENCIANA,4,,
VALUE IN HEALTH,VALUE IN HEALTH,2,,Q1
Value in Health Regional Issues,VALUE IN HEALTH REGIONAL ISSUES,4,,Q3
VANDERBILT LAW REVIEW,VANDERBILT LAW REVIEW,2,,Q1
Vasa-European Journal of Vascular Medicine,VASA EUROPEAN JOURNAL OF VASCULAR MEDICINE,3,,Q2
Vascular,VASCULAR,4,,Q4
Vascular and Endovascular Surgery,VASCULAR AND ENDOVASCULAR SURGERY,4,,Q4
Vascular Health and Risk Management,VASCULAR HEALTH AND RISK MANAGEMENT,3,,Q2
VASCULAR MEDICINE,VASCULAR MEDICINE,3,,Q2
VASCULAR PHARMACOLOGY,VASCULAR PHARMACOLOGY,3,,Q2
Vascular Specialist International,VASCULAR SPECIALIST INTERNATIONAL,4,,Q3
Vavilovskii Zhurnal Genetiki i Selektsii,VAVILOVSKII ZHURNAL GENETIKI I SELEKTSII,4,,Q3
VECTOR-BORNE AND ZOONOTIC DISEASES,VECTOR BORNE AND ZOONOTIC DISEASES,4,,Q2
Vegetable Research,VEGETABLE RESEARCH,,,Q1
Vegetation Classification and Survey,VEGETATION CLASSIFICATION AND SURVEY,,,Q2
VEGETATION HISTORY AND ARCHAEOBOTANY,VEGETATION HISTORY AND ARCHAEOBOTANY,2,,Q1
Vegueta-Anuario de la Facultad de Geografia e Historia,VEGUETA ANUARIO DE LA FACULTAD DE GEOGRAFIA E HISTORIA,4,,Q2
VEHICLE SYSTEM DYNAMICS,VEHICLE SYSTEM DYNAMICS,2,,Q1
Vehicles,VEHICLES,4,,Q2
Vehicular Communications,VEHICULAR COMMUNICATIONS,2,,Q1
Veleia,VELEIA,4,,
Venture Capital,VENTURE CAPITAL,4,,Q2
Verba-Anuario Galego de Filoloxia,VERBA ANUARIO GALEGO DE FILOLOXIA,4,,
Verbo de Minas,VERBO DE MINAS,4,,
Verbum,VERBUM,4,,Q3
Verbum Vitae,VERBUM VITAE,,,
Veredas do Direito,VEREDAS DO DIREITO,4,,Q4
Veredas-Revista da Associacao Internacional de Lusitanistas,VEREDAS REVISTA DA ASSOCIACAO INTERNACIONAL DE LUSITANISTAS,4,,
Verge-Studies in Global Asias,VERGE STUDIES IN GLOBAL ASIAS,,,Q4
VERHALTENSTHERAPIE,VERHALTENSTHERAPIE,4,,Q3
VERIFICHE,VERIFICHE,4,,
Vernacular Architecture,VERNACULAR ARCHITECTURE,,,
Versus-Quaderni di Studi Semiotici,VERSUS QUADERNI DI STUDI SEMIOTICI,4,,
Vertebrate Zoology,VERTEBRATE ZOOLOGY,2,,Q1
Vessel Plus,VESSEL PLUS,,,Q4
Vestnik Drevnei Istorii-Journal of Ancient History,VESTNIK DREVNEI ISTORII JOURNAL OF ANCIENT HISTORY,3,,
Vestnik Mezhdunarodnykh Organizatsii-International Organisations Research Journal,VESTNIK MEZHDUNARODNYKH ORGANIZATSII INTERNATIONAL ORGANISATIONS RESEARCH JOURNAL,4,,Q4
Vestnik Moskovskogo universiteta. Seriya 10. Zhurnalistika,VESTNIK MOSKOVSKOGO UNIVERSITETA SERIYA 10 ZHURNALISTIKA,4,,Q4
Vestnik of Saint Petersburg University Earth Sciences,VESTNIK OF SAINT PETERSBURG UNIVERSITY EARTH SCIENCES,4,,Q4
Vestnik of Saint Petersburg University-Law-Vestnik Sankt-Peterburgskogo Universiteta-Pravo,VESTNIK OF SAINT PETERSBURG UNIVERSITY LAW VESTNIK SANKT PETERBURGSKOGO UNIVERSITETA PRAVO,4,,Q4
Vestnik Permskogo Universiteta-Istoriya-Perm University Herald-History,VESTNIK PERMSKOGO UNIVERSITETA ISTORIYA PERM UNIVERSITY HERALD HISTORY,4,,Q3
Vestnik Permskogo Universiteta-Juridicheskie Nauki,VESTNIK PERMSKOGO UNIVERSITETA JURIDICHESKIE NAUKI,4,,Q3
Vestnik Pravoslavnogo Svyato-Tikhonovskogo Gumanitarnogo Universiteta-Seriya I-Bogoslovie-Filosofiya-Religiovedenie,VESTNIK PRAVOSLAVNOGO SVYATO TIKHONOVSKOGO GUMANITARNOGO UNIVERSITETA SERIYA I BOGOSLOVIE FILOSOFIYA RELIGIOVEDENIE,4,,
Vestnik Samarskogo Gosudarstvennogo Tekhnicheskogo Universiteta-Seriya-Fiziko-Matematicheskiye Nauki,VESTNIK SAMARSKOGO GOSUDARSTVENNOGO TEKHNICHESKOGO UNIVERSITETA SERIYA FIZIKO MATEMATICHESKIYE NAUKI,4,,Q4
Vestnik Sankt-Peterburgskogo Universiteta-Ekonomika-St Petersburg University Journal of Economic Studies,VESTNIK SANKT PETERBURGSKOGO UNIVERSITETA EKONOMIKA ST PETERSBURG UNIVERSITY JOURNAL OF ECONOMIC STUDIES,4,,Q4
Vestnik Sankt-Peterburgskogo Universiteta-Filosofiya i Konfliktologiya,VESTNIK SANKT PETERBURGSKOGO UNIVERSITETA FILOSOFIYA I KONFLIKTOLOGIYA,4,,
Vestnik Sankt-Peterburgskogo Universiteta-Iskusstvovedenie,VESTNIK SANKT PETERBURGSKOGO UNIVERSITETA ISKUSSTVOVEDENIE,3,,
Vestnik Sankt-Peterburgskogo Universiteta-Istoriya,VESTNIK SANKT PETERBURGSKOGO UNIVERSITETA ISTORIYA,4,,Q2
Vestnik Sankt-Peterburgskogo Universiteta Seriya 10 Prikladnaya Matematika Informatika Protsessy Upravleniya,VESTNIK SANKT PETERBURGSKOGO UNIVERSITETA SERIYA 10 PRIKLADNAYA MATEMATIKA INFORMATIKA PROTSESSY UPRAVLENIYA,4,,Q4
Vestnik Sankt-Peterburgskogo Universiteta-Yazyk i Literatura,VESTNIK SANKT PETERBURGSKOGO UNIVERSITETA YAZYK I LITERATURA,4,,
Vestnik Slavianskikh Kultur-Bulletin of Slavic Cultures-Scientific and Informational Journal,VESTNIK SLAVIANSKIKH KULTUR BULLETIN OF SLAVIC CULTURES SCIENTIFIC AND INFORMATIONAL JOURNAL,4,,
Vestnik St Petersburg University-Mathematics,VESTNIK ST PETERSBURG UNIVERSITY MATHEMATICS,4,,
Vestnik Tomskogo Gosudarstvennogo Universiteta-Biologiya,VESTNIK TOMSKOGO GOSUDARSTVENNOGO UNIVERSITETA BIOLOGIYA,4,,Q4
Vestnik Tomskogo Gosudarstvennogo Universiteta Filologiya-Tomsk State University Journal of Philology,VESTNIK TOMSKOGO GOSUDARSTVENNOGO UNIVERSITETA FILOLOGIYA TOMSK STATE UNIVERSITY JOURNAL OF PHILOLOGY,4,,
Vestnik Tomskogo Gosudarstvennogo Universiteta-Filosofiya-Sotsiologiya-Politologiya-Tomsk State University Journal of Philosophy Sociology and Political Science,VESTNIK TOMSKOGO GOSUDARSTVENNOGO UNIVERSITETA FILOSOFIYA SOTSIOLOGIYA POLITOLOGIYA TOMSK STATE UNIVERSITY JOURNAL OF PHILOSOPHY SOCIOLOGY AND POLITICAL SCIENCE,4,,Q4
Vestnik Tomskogo Gosudarstvennogo Universiteta Istoriya-Tomsk State University Journal of History,VESTNIK TOMSKOGO GOSUDARSTVENNOGO UNIVERSITETA ISTORIYA TOMSK STATE UNIVERSITY JOURNAL OF HISTORY,4,,Q3
Vestnik Tomskogo Gosudarstvennogo Universiteta-Kulturologiya i Iskusstvovedenie-Tomsk State University Journal of Cultural Studies and Art History,VESTNIK TOMSKOGO GOSUDARSTVENNOGO UNIVERSITETA KULTUROLOGIYA I ISKUSSTVOVEDENIE TOMSK STATE UNIVERSITY JOURNAL OF CULTURAL STUDIES AND ART HISTORY,4,,
Vestnik Tomskogo Gosudarstvennogo Universiteta-Matematika i Mekhanika-Tomsk State University Journal of Mathematics and Mechanics,VESTNIK TOMSKOGO GOSUDARSTVENNOGO UNIVERSITETA MATEMATIKA I MEKHANIKA TOMSK STATE UNIVERSITY JOURNAL OF MATHEMATICS AND MECHANICS,4,,Q4
Vestnik Tomskogo Gosudarstvennogo Universiteta-Pravo-Tomsk State University Journal of Law,VESTNIK TOMSKOGO GOSUDARSTVENNOGO UNIVERSITETA PRAVO TOMSK STATE UNIVERSITY JOURNAL OF LAW,4,,Q4
Vestnik Tomskogo Gosudarstvennogo Universiteta-Upravlenie Vychislitelnaja Tehnika i Informatika-Tomsk State University Journal of Control and Computer Science,VESTNIK TOMSKOGO GOSUDARSTVENNOGO UNIVERSITETA UPRAVLENIE VYCHISLITELNAJA TEHNIKA I INFORMATIKA TOMSK STATE UNIVERSITY JOURNAL OF CONTROL AND COMPUTER SCIENCE,4,,Q4
Vestnik Transplantologii i Iskusstvennyh Organov,VESTNIK TRANSPLANTOLOGII I ISKUSSTVENNYH ORGANOV,4,,Q4
Vestnik Udmurtskogo Universiteta-Matematika Mekhanika Kompyuternye Nauki,VESTNIK UDMURTSKOGO UNIVERSITETA MATEMATIKA MEKHANIKA KOMPYUTERNYE NAUKI,4,,Q2
Vestnik Ugrovedeniya-Bulletin of Ugric Studies,VESTNIK UGROVEDENIYA BULLETIN OF UGRIC STUDIES,4,,
Vestnik Volgogradskogo Gosudarstvennogo Universiteta-Seriya 2-Yazykoznanie,VESTNIK VOLGOGRADSKOGO GOSUDARSTVENNOGO UNIVERSITETA SERIYA 2 YAZYKOZNANIE,4,,
Veterinaria Italiana,VETERINARIA ITALIANA,4,,Q3
VETERINARIA MEXICO,VETERINARIA MEXICO,4,,Q4
VETERINARNI MEDICINA,VETERINARNI MEDICINA,4,,Q3
VETERINARSKI ARHIV,VETERINARSKI ARHIV,4,,Q4
VETERINARY ANAESTHESIA AND ANALGESIA,VETERINARY ANAESTHESIA AND ANALGESIA,2,,Q2
Veterinary and Animal Science,VETERINARY AND ANIMAL SCIENCE,3,,Q1
Veterinary and Comparative Oncology,VETERINARY AND COMPARATIVE ONCOLOGY,2,,Q2
VETERINARY AND COMPARATIVE ORTHOPAEDICS AND TRAUMATOLOGY,VETERINARY AND COMPARATIVE ORTHOPAEDICS AND TRAUMATOLOGY,3,,Q3
VETERINARY CLINICAL PATHOLOGY,VETERINARY CLINICAL PATHOLOGY,3,,Q3
VETERINARY CLINICS OF NORTH AMERICA-EQUINE PRACTICE,VETERINARY CLINICS OF NORTH AMERICA EQUINE PRACTICE,3,,Q2
VETERINARY CLINICS OF NORTH AMERICA-FOOD ANIMAL PRACTICE,VETERINARY CLINICS OF NORTH AMERICA FOOD ANIMAL PRACTICE,3,,Q2
VETERINARY CLINICS OF NORTH AMERICA-SMALL ANIMAL PRACTICE,VETERINARY CLINICS OF NORTH AMERICA SMALL ANIMAL PRACTICE,2,,Q2
VETERINARY DERMATOLOGY,VETERINARY DERMATOLOGY,2,,Q2
VETERINARY IMMUNOLOGY AND IMMUNOPATHOLOGY,VETERINARY IMMUNOLOGY AND IMMUNOPATHOLOGY,3,,Q2
VETERINARY JOURNAL,VETERINARY JOURNAL,2,,Q1
Veterinary Medicine and Science,VETERINARY MEDICINE AND SCIENCE,3,,Q2
Veterinary Medicine International,VETERINARY MEDICINE INTERNATIONAL,3,,Q2
Veterinary Medicine-Research and Reports,VETERINARY MEDICINE RESEARCH AND REPORTS,3,,Q1
VETERINARY MICROBIOLOGY,VETERINARY MICROBIOLOGY,2,,Q1
VETERINARY OPHTHALMOLOGY,VETERINARY OPHTHALMOLOGY,3,,Q2
VETERINARY PARASITOLOGY,VETERINARY PARASITOLOGY,3,,Q1
Veterinary Parasitology- Regional Studies and Reports,VETERINARY PARASITOLOGY REGIONAL STUDIES AND REPORTS,4,,Q2
VETERINARY PATHOLOGY,VETERINARY PATHOLOGY,2,,Q2
VETERINARY QUARTERLY,VETERINARY QUARTERLY,2,,Q1
VETERINARY RADIOLOGY & ULTRASOUND,VETERINARY RADIOLOGY AND ULTRASOUND,3,,Q2
VETERINARY RECORD,VETERINARY RECORD,3,,Q2
Veterinary Record Case Reports,VETERINARY RECORD CASE REPORTS,4,,Q4
