Journal,Journal_Normalized,CAS2025_Quartile,CAS2025_Top,JCR_BestQuartile
Wacana-Jurnal Ilmu Pengetahuan Budaya-Journal of the Humanities of Indonesia,WACANA JURNAL ILMU PENGETAHUAN BUDAYA JOURNAL OF HUMANITIES OF INDONESIA,4,,
Wacana Seni-Journal of Art Discourse,WACANA SENI JOURNAL OF ART DISCOURSE,2,,
WAFFEN-UND KOSTUMKUNDE,WAFFEN UND KOSTUMKUNDE,4,,
WALLACE STEVENS JOURNAL,WALLACE STEVENS JOURNAL,4,,
WALT WHITMAN QUARTERLY REVIEW,WALT WHITMAN QUARTERLY REVIEW,3,,
War & Society,WAR AND SOCIETY,4,,Q2
WAR IN HISTORY,WAR IN HISTORY,3,,Q2
Wasafiri,WASAFIRI,4,,
Washington International Law Journal,WASHINGTON INTERNATIONAL LAW JOURNAL,4,,Q3
WASHINGTON LAW REVIEW,WASHINGTON LAW REVIEW,4,,Q1
WASHINGTON QUARTERLY,WASHINGTON QUARTERLY,3,,Q1
WasserWirtschaft,WASSERWIRTSCHAFT,4,,Q4
Waste and Biomass Valorization,WASTE AND BIOMASS VALORIZATION,4,,Q3
Waste Disposal & Sustainable Energy,WASTE DISPOSAL AND SUSTAINABLE ENERGY,3,,Q2
Waste Management,WASTE MANAGEMENT,2,Yes,Q1
WASTE MANAGEMENT & RESEARCH,WASTE MANAGEMENT AND RESEARCH,4,,Q2
Water,WATER,4,,Q2
WATER AIR AND SOIL POLLUTION,WATER AIR AND SOIL POLLUTION,4,,Q2
Water Alternatives-An Interdisciplinary Journal on Water Politics and Development,WATER ALTERNATIVES AN INTERDISCIPLINARY JOURNAL ON WATER POLITICS AND DEVELOPMENT,3,,Q2
WATER AND ENVIRONMENT JOURNAL,WATER AND ENVIRONMENT JOURNAL,4,,Q2
Water Biology and Security,WATER BIOLOGY AND SECURITY,1,Yes,Q1
Water Conservation Science and Engineering,WATER CONSERVATION SCIENCE AND ENGINEERING,4,,Q3
Water Cycle,WATER CYCLE,4,,Q1
Water Economics and Policy,WATER ECONOMICS AND POLICY,4,,Q3
WATER ENVIRONMENT RESEARCH,WATER ENVIRONMENT RESEARCH,4,,Q2
WATER INTERNATIONAL,WATER INTERNATIONAL,4,,Q3
Water Policy,WATER POLICY,4,,Q3
Water Practice and Technology,WATER PRACTICE AND TECHNOLOGY,4,,Q3
Water Quality Research Journal,WATER QUALITY RESEARCH JOURNAL,4,,Q2
WATER RESEARCH,WATER RESEARCH,1,Yes,Q1
Water Research X,WATER RESEARCH X,2,,Q1
Water Resources,WATER RESOURCES,4,,Q4
Water Resources and Economics,WATER RESOURCES AND ECONOMICS,3,,Q2
Water Resources and Industry,WATER RESOURCES AND INDUSTRY,3,,Q1
Water Resources and Irrigation Management-WRIM,WATER RESOURCES AND IRRIGATION MANAGEMENT WRIM,,,Q3
WATER RESOURCES MANAGEMENT,WATER RESOURCES MANAGEMENT,2,,Q1
WATER RESOURCES RESEARCH,WATER RESOURCES RESEARCH,2,Yes,Q1
Water Reuse,WATER REUSE,3,,Q2
WATER SA,WATER SA,4,,Q4
Water Science and Engineering,WATER SCIENCE AND ENGINEERING,3,,Q1
WATER SCIENCE AND TECHNOLOGY,WATER SCIENCE AND TECHNOLOGY,4,,Q2
Water Security,WATER SECURITY,,,Q1
Water Waves,WATER WAVES,4,,Q3
WATERBIRDS,WATERBIRDS,4,,Q3
WAVE MOTION,WAVE MOTION,3,,Q2
WEAR,WEAR,2,Yes,Q1
Wearable Technologies,WEARABLE TECHNOLOGIES,4,,Q1
Weather,WEATHER,4,,Q3
Weather and Climate,WEATHER AND CLIMATE,4,,Q3
Weather and Climate Dynamics,WEATHER AND CLIMATE DYNAMICS,2,,Q1
Weather and Climate Extremes,WEATHER AND CLIMATE EXTREMES,1,Yes,Q1
WEATHER AND FORECASTING,WEATHER AND FORECASTING,3,,Q2
Weather Climate and Society,WEATHER CLIMATE AND SOCIETY,4,,Q3
WEB ECOLOGY,WEB ECOLOGY,3,,Q2
Web Intelligence,WEB INTELLIGENCE,4,,Q4
WEED BIOLOGY AND MANAGEMENT,WEED BIOLOGY AND MANAGEMENT,4,,Q3
WEED RESEARCH,WEED RESEARCH,3,,Q2
WEED SCIENCE,WEED SCIENCE,2,,Q1
WEED TECHNOLOGY,WEED TECHNOLOGY,3,,Q2
Weimarer Beitrage,WEIMARER BEITRAGE,4,,
Welding in the World,WELDING IN WORLD,3,,Q2
Welding International,WELDING INTERNATIONAL,,,Q3
WELDING JOURNAL,WELDING JOURNAL,4,,Q3
Wellbeing Space and Society,WELLBEING SPACE AND SOCIETY,3,,Q2
WELSH HISTORY REVIEW,WELSH HISTORY REVIEW,4,,Q2
WELT DER SLAVEN-HALBJAHRESSCHRIFT FUR SLAVISTIK,WELT DER SLAVEN HALBJAHRESSCHRIFT FUR SLAVISTIK,3,,
Welt des Islams,WELT DES ISLAMS,2,,
Welt des Orients,WELT DES ORIENTS,4,,
Wenshan Review of Literature and Culture,WENSHAN REVIEW OF LITERATURE AND CULTURE,4,,
Wesley and Methodist Studies,WESLEY AND METHODIST STUDIES,4,,
West 86th-A Journal of Decorative Arts Design History and Material Culture,WEST 86TH A JOURNAL OF DECORATIVE ARTS DESIGN HISTORY AND MATERIAL CULTURE,4,,
West African Journal of Radiology,WEST AFRICAN JOURNAL OF RADIOLOGY,4,,Q4
WEST EUROPEAN POLITICS,WEST EUROPEAN POLITICS,1,Yes,Q1
WEST INDIAN MEDICAL JOURNAL,WEST INDIAN MEDICAL JOURNAL,4,,Q4
WESTERLY,WESTERLY,4,,
WESTERN AMERICAN LITERATURE,WESTERN AMERICAN LITERATURE,4,,
WESTERN FOLKLORE,WESTERN FOLKLORE,4,,
WESTERN HISTORICAL QUARTERLY,WESTERN HISTORICAL QUARTERLY,3,,Q1
WESTERN JOURNAL OF COMMUNICATION,WESTERN JOURNAL OF COMMUNICATION,3,,Q3
Western Journal of Emergency Medicine,WESTERN JOURNAL OF EMERGENCY MEDICINE,4,,Q2
Western Journal of Legal Studies,WESTERN JOURNAL OF LEGAL STUDIES,,,Q4
WESTERN JOURNAL OF NURSING RESEARCH,WESTERN JOURNAL OF NURSING RESEARCH,4,,Q2
WESTERN NORTH AMERICAN NATURALIST,WESTERN NORTH AMERICAN NATURALIST,4,,Q4
Western Pacific Surveillance and Response,WESTERN PACIFIC SURVEILLANCE AND RESPONSE,4,,Q4
Westminster Papers in Communication & Culture,WESTMINSTER PAPERS IN COMMUNICATION AND CULTURE,,,
WETLANDS,WETLANDS,4,,Q3
WETLANDS ECOLOGY AND MANAGEMENT,WETLANDS ECOLOGY AND MANAGEMENT,4,,Q3
WIENER KLINISCHE WOCHENSCHRIFT,WIENER KLINISCHE WOCHENSCHRIFT,4,,Q2
WIENER MEDIZINISCHE WOCHENSCHRIFT,WIENER MEDIZINISCHE WOCHENSCHRIFT,4,,Q2
WIENER TIERARZTLICHE MONATSSCHRIFT,WIENER TIERARZTLICHE MONATSSCHRIFT,4,,Q4
WILDERNESS & ENVIRONMENTAL MEDICINE,WILDERNESS AND ENVIRONMENTAL MEDICINE,4,,Q4
WILDFOWL,WILDFOWL,4,,Q4
WILDLIFE BIOLOGY,WILDLIFE BIOLOGY,3,,Q2
WILDLIFE MONOGRAPHS,WILDLIFE MONOGRAPHS,2,,Q1
WILDLIFE RESEARCH,WILDLIFE RESEARCH,3,,Q2
WILDLIFE SOCIETY BULLETIN,WILDLIFE SOCIETY BULLETIN,4,,
Wiley Interdisciplinary Reviews-Climate Change,WILEY INTERDISCIPLINARY REVIEWS CLIMATE CHANGE,1,Yes,Q1
Wiley Interdisciplinary Reviews-Cognitive Science,WILEY INTERDISCIPLINARY REVIEWS COGNITIVE SCIENCE,2,,Q1
Wiley Interdisciplinary Reviews-Computational Molecular Science,WILEY INTERDISCIPLINARY REVIEWS COMPUTATIONAL MOLECULAR SCIENCE,2,,Q1
Wiley Interdisciplinary Reviews-Computational Statistics,WILEY INTERDISCIPLINARY REVIEWS COMPUTATIONAL STATISTICS,2,,Q1
Wiley Interdisciplinary Reviews-Data Mining and Knowledge Discovery,WILEY INTERDISCIPLINARY REVIEWS DATA MINING AND KNOWLEDGE DISCOVERY,3,,Q1
Wiley Interdisciplinary Reviews-Energy and Environment,WILEY INTERDISCIPLINARY REVIEWS ENERGY AND ENVIRONMENT,3,,Q2
Wiley Interdisciplinary Reviews: Forensic Science,WILEY INTERDISCIPLINARY REVIEWS FORENSIC SCIENCE,3,,Q1
Wiley Interdisciplinary Reviews-Nanomedicine and Nanobiotechnology,WILEY INTERDISCIPLINARY REVIEWS NANOMEDICINE AND NANOBIOTECHNOLOGY,2,,Q1
Wiley Interdisciplinary Reviews-RNA,WILEY INTERDISCIPLINARY REVIEWS RNA,2,,Q2
Wiley Interdisciplinary Reviews-Water,WILEY INTERDISCIPLINARY REVIEWS WATER,1,Yes,Q1
Willdenowia,WILLDENOWIA,2,,Q3
WILLIAM AND MARY QUARTERLY,WILLIAM AND MARY QUARTERLY,1,Yes,Q1
WILLIAM CARLOS WILLIAMS REVIEW,WILLIAM CARLOS WILLIAMS REVIEW,3,,
Wilson Journal of Ornithology,WILSON JOURNAL OF ORNITHOLOGY,4,,Q4
Wind,WIND,,,Q4
WIND AND STRUCTURES,WIND AND STRUCTURES,4,,Q3
WIND ENERGY,WIND ENERGY,3,,Q2
Wind Energy Science,WIND ENERGY SCIENCE,3,,Q2
Wind Engineering,WIND ENGINEERING,4,,Q4
Wine Economics and Policy,WINE ECONOMICS AND POLICY,,,Q2
WINTERTHUR PORTFOLIO-A JOURNAL OF AMERICAN MATERIAL CULTURE,WINTERTHUR PORTFOLIO A JOURNAL OF AMERICAN MATERIAL CULTURE,3,,
WIRELESS NETWORKS,WIRELESS NETWORKS,4,,Q3
WIRELESS PERSONAL COMMUNICATIONS,WIRELESS PERSONAL COMMUNICATIONS,4,,Q3
Wireless Power Transfer,WIRELESS POWER TRANSFER,4,,Q4
WIREs Mechanisms of Disease,WIRES MECHANISMS OF DISEASE,2,,Q1
WISCONSIN LAW REVIEW,WISCONSIN LAW REVIEW,4,,Q1
