Journal,Journal_Normalized,CAS2025_Quartile,CAS2025_Top,JCR_BestQuartile
YAKUGAKU ZASSHI-JOURNAL OF THE PHARMACEUTICAL SOCIETY OF JAPAN,YAKUGAKU ZASSHI JOURNAL OF PHARMACEUTICAL SOCIETY OF JAPAN,4,,Q4
Yakut Medical Journal,YAKUT MEDICAL JOURNAL,4,,Q4
YALE FRENCH STUDIES,YALE FRENCH STUDIES,4,,
YALE JOURNAL OF BIOLOGY AND MEDICINE,YALE JOURNAL OF BIOLOGY AND MEDICINE,4,,Q1
Yale Journal on Regulation,YALE JOURNAL ON REGULATION,3,,Q1
YALE LAW JOURNAL,YALE LAW JOURNAL,1,Yes,Q1
YALE REVIEW,YALE REVIEW,4,,
Yazyk i Kultura-Language and Culture,YAZYK I KULTURA LANGUAGE AND CULTURE,4,,
YEARBOOK FOR TRADITIONAL MUSIC,YEARBOOK FOR TRADITIONAL MUSIC,1,Yes,
Yearbook of Comparative Literature,YEARBOOK OF COMPARATIVE LITERATURE,4,,
Yearbook of Phraseology,YEARBOOK OF PHRASEOLOGY,4,,
YEAST,YEAST,4,,Q3
YONAGO ACTA MEDICA,YONAGO ACTA MEDICA,4,,Q4
YONSEI MEDICAL JOURNAL,YONSEI MEDICAL JOURNAL,3,,Q1
Yorkshire Archaeological Journal,YORKSHIRE ARCHAEOLOGICAL JOURNAL,4,,
Young,YOUNG,2,,Q2
Young Consumers,YOUNG CONSUMERS,3,,Q1
Youth,YOUTH,,,Q2
YOUTH & SOCIETY,YOUTH AND SOCIETY,3,,Q1
Youth Justice-An International Journal,YOUTH JUSTICE AN INTERNATIONAL JOURNAL,3,,Q1
Youth Violence and Juvenile Justice,YOUTH VIOLENCE AND JUVENILE JUSTICE,3,,Q3
Yuksekogretim Dergisi,YUKSEKOGRETIM DERGISI,4,,Q4
Yuyan Kexue-Linguistic Sciences,YUYAN KEXUE LINGUISTIC SCIENCES,3,,
