Journal,Journal_Normalized,CAS2025_Quartile,CAS2025_Top,JCR_BestQuartile
Zagadnienia Ekonomiki Rolnej,ZAGADNIENIA EKONOMIKI ROLNEJ,4,,Q4
Zagadnienia Filozoficzne w Nauce-Philosophical Problems in Science,ZAGADNIENIA FILOZOFICZNE W NAUCE PHILOSOPHICAL PROBLEMS IN SCIENCE,4,,Q4
Zagreb International Review of Economics & Business,ZAGREB INTERNATIONAL REVIEW OF ECONOMICS AND BUSINESS,4,,Q4
ZAMM-Zeitschrift fur Angewandte Mathematik und Mechanik,ZAMM ZEITSCHRIFT FUR ANGEWANDTE MATHEMATIK UND MECHANIK,4,,Q1
Zaporozhye Medical Journal,ZAPOROZHYE MEDICAL JOURNAL,4,,Q4
Zbornik Instituta za Pedagoska Istrazivanja,ZBORNIK INSTITUTA ZA PEDAGOSKA ISTRAZIVANJA,4,,Q4
Zbornik Matice Srpske za Likovne Umetnosti-Matica Srpska Journal for Fine Arts,ZBORNIK MATICE SRPSKE ZA LIKOVNE UMETNOSTI MATICA SRPSKA JOURNAL FOR FINE ARTS,3,,
Zbornik Matice Srpske za Slavistiku-Matica Srpska Journal of Slavic Studies,ZBORNIK MATICE SRPSKE ZA SLAVISTIKU MATICA SRPSKA JOURNAL OF SLAVIC STUDIES,4,,
ZBORNIK PRAVNOG FAKULTETA SVEUCILISTA U RIJECI,ZBORNIK PRAVNOG FAKULTETA SVEUCILISTA U RIJECI,4,,Q4
Zbornik Radova Ekonomskog Fakulteta u Rijeci-Proceedings of Rijeka Faculty of Economics,ZBORNIK RADOVA EKONOMSKOG FAKULTETA U RIJECI PROCEEDINGS OF RIJEKA FACULTY OF ECONOMICS,4,,Q3
Zbornik Radova Vizantoloskog Instituta,ZBORNIK RADOVA VIZANTOLOSKOG INSTITUTA,4,,
Zbornik Veleucilista u Rijeci-Journal of the Polytechnics of Rijeka,ZBORNIK VELEUCILISTA U RIJECI JOURNAL OF POLYTECHNICS OF RIJEKA,4,,Q3
ZDM-Mathematics Education,ZDM MATHEMATICS EDUCATION,3,,Q1
Zdravstveno Varstvo,ZDRAVSTVENO VARSTVO,4,,Q2
Zebrafish,ZEBRAFISH,4,,Q2
ZEITGESCHICHTE,ZEITGESCHICHTE,3,,Q2
