Journal_Normalized,CAS2025_Quartile,CAS2025_Top,JCR_BestQuartile
ACADEMIC MEDICINE,1,Yes,Q1
ACADEMY OF MANAGEMENT ANNALS,1,Yes,Q1
ACADEMY OF MANAGEMENT JOURNAL,1,Yes,Q1
ACADEMY OF MANAGEMENT REVIEW,1,Yes,Q1
ACCIDENT ANALYSIS AND PREVENTION,1,Yes,Q1
ACCOUNTS OF CHEMICAL RESEARCH,1,Yes,Q1
ACCOUNTS OF MATERIALS RESEARCH,1,Yes,Q1
ACM COMPUTING SURVEYS,1,Yes,Q1
ACM TRANSACTIONS ON COMPUTER HUMAN INTERACTION,1,Yes,Q1
ACM TRANSACTIONS ON GRAPHICS,1,Yes,Q1
ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,1,Yes,Q1
ACS CATALYSIS,1,Yes,Q1
ACS CENTRAL SCIENCE,1,Yes,Q1
ACS ENERGY LETTERS,1,Yes,Q1
ACS MACRO LETTERS,1,Yes,Q1
ACS NANO,1,Yes,Q1
ACS PHOTONICS,1,Yes,Q1
ACS SENSORS,1,Yes,Q1
ACS SUSTAINABLE CHEMISTRY AND ENGINEERING,1,Yes,Q1
ACTA BIOMATERIALIA,1,Yes,Q1
ACTA GEOTECHNICA,1,Yes,Q1
ACTA MATERIALIA,1,Yes,Q1
ACTA MATHEMATICA,1,Yes,Q1
ACTA NEUROPATHOLOGICA,1,Yes,Q1
ACTA NEUROPATHOLOGICA COMMUNICATIONS,1,Yes,Q1
ACTA NUMERICA,1,Yes,Q1
ACTA PHARMACEUTICA SINICA B,1,Yes,Q1
ACTA PHYSIOLOGICA,1,Yes,Q1
ACTIVE LEARNING IN HIGHER EDUCATION,1,Yes,Q1
ADDITIVE MANUFACTURING,1,Yes,Q1
ADMINISTRATIVE SCIENCE QUARTERLY,1,Yes,Q1
ADVANCED COMPOSITES AND HYBRID MATERIALS,1,Yes,Q1
ADVANCED DRUG DELIVERY REVIEWS,1,Yes,Q1
ADVANCED ENERGY MATERIALS,1,Yes,Q1
ADVANCED ENGINEERING INFORMATICS,1,Yes,Q1
ADVANCED FIBER MATERIALS,1,Yes,Q1
ADVANCED FUNCTIONAL MATERIALS,1,Yes,Q1
ADVANCED INDUSTRIAL AND ENGINEERING POLYMER RESEARCH,1,Yes,Q1
ADVANCED MATERIALS,1,Yes,Q1
ADVANCED NONLINEAR STUDIES,1,Yes,Q1
ADVANCED PHOTONICS,1,Yes,Q1
ADVANCED POWDER MATERIALS,1,Yes,Q1
ADVANCED SCIENCE,1,Yes,Q1
ADVANCES IN APPLIED ENERGY,1,Yes,Q1
ADVANCES IN ATMOSPHERIC SCIENCES,1,Yes,Q1
ADVANCES IN CLIMATE CHANGE RESEARCH,1,Yes,Q1
ADVANCES IN COLLOID AND INTERFACE SCIENCE,1,Yes,Q1
ADVANCES IN GEO ENERGY RESEARCH,1,Yes,Q1
ADVANCES IN MATHEMATICS,1,Yes,Q1
