Journal_Normalized,CAS2025_Quartile,CAS2025_Top,JCR_BestQuartile
BASIC RESEARCH IN CARDIOLOGY,1,Yes,Q1
BAYESIAN ANALYSIS,1,Yes,Q1
BEHAVIORAL AND BRAIN SCIENCES,1,Yes,Q1
BEHAVIOUR RESEARCH AND THERAPY,1,Yes,Q1
BIG DATA AND SOCIETY,1,Yes,Q1
BIG DATA MINING AND ANALYTICS,1,Yes,Q1
BIG EARTH DATA,1,Yes,Q1
BIO DESIGN AND MANUFACTURING,1,Yes,Q1
BIOACTIVE MATERIALS,1,Yes,Q1
BIOCHAR,1,Yes,Q1
BIOFUEL RESEARCH JOURNAL BRJ,1,Yes,Q1
BIOLOGICAL CONSERVATION,1,Yes,Q1
BIOLOGICAL PSYCHIATRY,1,Yes,Q1
BIOLOGICAL REVIEWS,1,Yes,Q1
BIOMACROMOLECULES,1,Yes,Q1
BIOMATERIALS,1,Yes,Q1
BIOMETRIKA,1,Yes,Q1
BIORESOURCE TECHNOLOGY,1,Yes,Q1
BIOSCIENCE,1,Yes,Q1
BIOSENSORS AND BIOELECTRONICS,1,Yes,Q1
BIOTECHNOLOGY ADVANCES,1,Yes,Q1
BLOOD,1,Yes,Q1
BLOOD ADVANCES,1,Yes,Q1
BLOOD CANCER DISCOVERY,1,Yes,Q1
BLOOD CANCER JOURNAL,1,Yes,Q1
BMC MEDICAL ETHICS,1,Yes,Q1
BMC MEDICINE,1,Yes,Q1
BMJ BRITISH MEDICAL JOURNAL,1,Yes,Q1
BMJ GLOBAL HEALTH,1,Yes,Q1
BMJ MEDICINE,1,Yes,Q1
BMJ MENTAL HEALTH,1,Yes,Q1
BMJ QUALITY AND SAFETY,1,Yes,Q1
BODY IMAGE,1,Yes,Q1
BONE AND JOINT JOURNAL,1,Yes,Q1
BONE AND JOINT RESEARCH,1,Yes,Q1
BONE RESEARCH,1,Yes,Q1
BOTTOM LINE,1,Yes,Q1
BRAIN,1,Yes,Q1
BRAIN BEHAVIOR AND IMMUNITY,1,Yes,Q1
BRAIN STIMULATION,1,Yes,Q1
BRITISH JOURNAL FOR HISTORY OF PHILOSOPHY,1,Yes,
BRITISH JOURNAL FOR HISTORY OF SCIENCE,1,Yes,Q1
BRITISH JOURNAL FOR PHILOSOPHY OF SCIENCE,1,Yes,Q1
BRITISH JOURNAL OF AESTHETICS,1,Yes,
BRITISH JOURNAL OF ANAESTHESIA,1,Yes,Q1
BRITISH JOURNAL OF DERMATOLOGY,1,Yes,Q1
BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY,1,Yes,Q1
BRITISH JOURNAL OF POLITICAL SCIENCE,1,Yes,Q1
BRITISH JOURNAL OF PSYCHIATRY,1,Yes,Q1
BRITISH JOURNAL OF SOCIAL PSYCHOLOGY,1,Yes,Q1
BRITISH JOURNAL OF SOCIOLOGY,1,Yes,Q1
BRITISH JOURNAL OF SPORTS MEDICINE,1,Yes,Q1
BRITISH JOURNAL OF SURGERY,1,Yes,
BUILDING AND ENVIRONMENT,1,Yes,Q1
BUILDING SIMULATION,1,Yes,Q1
BULLETIN OF HISTORY OF ARCHAEOLOGY,1,Yes,
BULLETIN OF PEABODY MUSEUM OF NATURAL HISTORY,1,Yes,Q4
BUSINESS ETHICS QUARTERLY,1,Yes,Q1
BUSINESS STRATEGY AND ENVIRONMENT,1,Yes,Q1
BANACH JOURNAL OF MATHEMATICAL ANALYSIS,2,,Q1
BASIC AND APPLIED ECOLOGY,2,,Q1
BASIN RESEARCH,2,,Q2
BDJ OPEN,2,,Q2
BEHAVIOR RESEARCH METHODS,2,,Q1
BEHAVIOR THERAPY,2,Yes,Q1
BEHAVIORAL AND BRAIN FUNCTIONS,2,,Q1
BEHAVIORAL ECOLOGY,2,,Q1
BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,2,,Q1
BEHAVIOURAL PUBLIC POLICY,2,,Q1
BERICHTE ZUR WISSENSCHAFTSGESCHICHTE,2,,Q3
BERNOULLI,2,,Q2
BEST PRACTICE AND RESEARCH CLINICAL ANAESTHESIOLOGY,2,,Q1
BEST PRACTICE AND RESEARCH CLINICAL ENDOCRINOLOGY AND METABOLISM,2,,Q1
BEST PRACTICE AND RESEARCH CLINICAL GASTROENTEROLOGY,2,,Q1
BEST PRACTICE AND RESEARCH CLINICAL OBSTETRICS AND GYNAECOLOGY,2,,Q1
BEST PRACTICE AND RESEARCH IN CLINICAL RHEUMATOLOGY,2,,Q1
BILINGUAL RESEARCH JOURNAL,2,,Q2
BILINGUALISM LANGUAGE AND COGNITION,2,,Q1
BIOCHEMICAL PHARMACOLOGY,2,,Q1
BIOCHEMICAL SOCIETY TRANSACTIONS,2,,Q2
BIOCHIMICA ET BIOPHYSICA ACTA MOLECULAR AND CELL BIOLOGY OF LIPIDS,2,,Q2
BIOCHIMICA ET BIOPHYSICA ACTA MOLECULAR BASIS OF DISEASE,2,,Q1
BIOCHIMICA ET BIOPHYSICA ACTA REVIEWS ON CANCER,2,Yes,Q1
BIOCHIP JOURNAL,2,,Q1
BIOCONJUGATE CHEMISTRY,2,,Q1
BIOCONTROL,2,,Q1
BIOCYBERNETICS AND BIOMEDICAL ENGINEERING,2,,Q1
BIODIVERSITY AND CONSERVATION,2,,Q1
BIODRUGS,2,,Q1
BIOELECTROCHEMISTRY,2,,Q1
BIOENGINEERING AND TRANSLATIONAL MEDICINE,2,,Q1
BIOFABRICATION,2,,Q1
BIOFILM,2,,Q1
BIOGEOCHEMISTRY,2,,Q1
BIOGEOSCIENCES,2,,Q1
BIOLOGICAL CONTROL,2,Yes,Q1
BIOLOGICAL INVASIONS,2,,Q2
BIOLOGICAL PSYCHIATRY COGNITIVE NEUROSCIENCE AND NEUROIMAGING,2,,Q1
BIOLOGICAL PSYCHIATRY GLOBAL OPEN SCIENCE,2,,Q1
BIOLOGICAL RESEARCH,2,,Q1
BIOLOGICAL THEORY,2,,Q1
BIOLOGY AND FERTILITY OF SOILS,2,,Q1
BIOLOGY BASEL,2,,Q1
BIOLOGY DIRECT,2,,Q1
BIOLOGY LETTERS,2,,Q2
