Journal_Normalized,CAS2025_Quartile,CAS2025_Top,JCR_BestQuartile
CA A CANCER JOURNAL FOR CLINICIANS,1,Yes,Q1
CAAI TRANSACTIONS ON INTELLIGENCE TECHNOLOGY,1,Yes,Q1
CALCULUS OF VARIATIONS AND PARTIAL DIFFERENTIAL EQUATIONS,1,Yes,Q1
CAMBRIDGE JOURNAL OF MATHEMATICS,1,Yes,Q1
CAMBRIDGE JOURNAL OF REGIONS ECONOMY AND SOCIETY,1,Yes,Q1
CANADIAN MEDICAL ASSOCIATION JOURNAL,1,Yes,Q1
CANCER,1,Yes,Q1
CANCER CELL,1,Yes,Q1
CANCER COMMUNICATIONS,1,Yes,Q1
CANCER DISCOVERY,1,Yes,Q1
CANCER IMMUNOLOGY RESEARCH,1,Yes,Q1
CANCER LETTERS,1,Yes,Q1
CANCER RESEARCH,1,Yes,Q1
CANCER TREATMENT REVIEWS,1,Yes,Q1
CARBOHYDRATE POLYMERS,1,Yes,Q1
CARBON ENERGY,1,Yes,Q1
CARDIOVASCULAR DIABETOLOGY,1,Yes,Q1
CARDIOVASCULAR RESEARCH,1,Yes,Q1
CATENA,1,Yes,Q1
CCS CHEMISTRY,1,Yes,Q1
CELL,1,Yes,Q1
CELL CHEMICAL BIOLOGY,1,Yes,Q1
CELL DEATH AND DIFFERENTIATION,1,Yes,Q1
CELL DEATH AND DISEASE,1,Yes,Q1
CELL DISCOVERY,1,Yes,Q1
CELL GENOMICS,1,Yes,Q1
CELL HOST AND MICROBE,1,Yes,Q1
CELL METABOLISM,1,Yes,Q1
CELL REPORTS,1,Yes,Q1
CELL REPORTS MEDICINE,1,Yes,Q1
CELL RESEARCH,1,Yes,Q1
CELL STEM CELL,1,Yes,Q1
CELL SYSTEMS,1,Yes,Q1
CELLULAR AND MOLECULAR BIOLOGY LETTERS,1,Yes,Q1
CELLULAR AND MOLECULAR GASTROENTEROLOGY AND HEPATOLOGY,1,Yes,Q1
CELLULAR AND MOLECULAR IMMUNOLOGY,1,Yes,Q1
CEMENT AND CONCRETE COMPOSITES,1,Yes,Q1
CEMENT AND CONCRETE RESEARCH,1,Yes,Q1
CHAOS SOLITONS AND FRACTALS,1,Yes,Q1
CHEM,1,Yes,Q1
CHEM CATALYSIS,1,Yes,Q1
CHEMICAL ENGINEERING JOURNAL,1,Yes,Q1
CHEMICAL REVIEWS,1,Yes,Q1
CHEMICAL SCIENCE,1,Yes,Q1
CHEMICAL SOCIETY REVIEWS,1,Yes,Q1
CHEST,1,Yes,Q1
CHILD DEVELOPMENT,1,Yes,Q1
CHILD DEVELOPMENT PERSPECTIVES,1,Yes,Q1
CHINA FINANCE REVIEW INTERNATIONAL,1,Yes,Q1
CHINESE CHEMICAL LETTERS,1,Yes,Q1
CHINESE JOURNAL OF AERONAUTICS,1,Yes,Q1
CHINESE JOURNAL OF CATALYSIS,1,Yes,Q1
CHINESE JOURNAL OF INTERNATIONAL POLITICS,1,Yes,Q1
CHINESE PHYSICS LETTERS,1,Yes,Q1
CHINESE POLITICAL SCIENCE REVIEW,1,Yes,Q1
CIRCULATION,1,Yes,Q1
CIRCULATION ARRHYTHMIA AND ELECTROPHYSIOLOGY,1,Yes,Q1
CIRCULATION CARDIOVASCULAR IMAGING,1,Yes,Q1
CIRCULATION CARDIOVASCULAR INTERVENTIONS,1,Yes,Q1
CIRCULATION CARDIOVASCULAR QUALITY AND OUTCOMES,1,Yes,Q1
CIRCULATION HEART FAILURE,1,Yes,Q1
CIRCULATION RESEARCH,1,Yes,Q1
CITIES,1,Yes,Q1
CLADISTICS,1,Yes,Q1
CLIMATE RISK MANAGEMENT,1,Yes,Q1
CLINICAL AND MOLECULAR HEPATOLOGY,1,Yes,Q1
CLINICAL CANCER RESEARCH,1,Yes,Q1
CLINICAL CHILD AND FAMILY PSYCHOLOGY REVIEW,1,Yes,Q1
CLINICAL GASTROENTEROLOGY AND HEPATOLOGY,1,Yes,Q1
CLINICAL JOURNAL OF AMERICAN SOCIETY OF NEPHROLOGY,1,Yes,Q1
CLINICAL MICROBIOLOGY REVIEWS,1,Yes,Q1
CLINICAL NUTRITION,1,Yes,Q1
CLINICAL ORAL IMPLANTS RESEARCH,1,Yes,Q1
CLINICAL PSYCHOLOGY REVIEW,1,Yes,Q1
CLINICAL REVIEWS IN ALLERGY AND IMMUNOLOGY,1,Yes,Q1
CLIOMETRICA,1,Yes,Q1
CNS DRUGS,1,Yes,Q1
COGNITIVE PSYCHOLOGY,1,Yes,Q1
COLD SPRING HARBOR PERSPECTIVES IN BIOLOGY,1,Yes,Q1
