Journal_Normalized,CAS2025_Quartile,CAS2025_Top,JCR_BestQuartile
DANCE RESEARCH JOURNAL,1,Yes,
DATA SCIENCE AND ENGINEERING,1,Yes,Q1
DEAD SEA DISCOVERIES,1,Yes,
DEFENCE TECHNOLOGY,1,Yes,Q1
DEMOCRATIZATION,1,Yes,Q1
DEMOGRAPHY,1,Yes,Q1
DENTAL MATERIALS,1,Yes,Q1
DESIGN STUDIES,1,Yes,Q1
DEVELOPMENTAL CELL,1,Yes,Q1
DEVELOPMENTAL REVIEW,1,Yes,Q1
DEVELOPMENTAL SCIENCE,1,Yes,Q1
DIABETES CARE,1,Yes,Q1
DIABETOLOGIA,1,Yes,Q1
DIALOGUES IN HUMAN GEOGRAPHY,1,Yes,Q1
DIGITAL JOURNALISM,1,Yes,Q1
DISCOURSE AND SOCIETY,1,Yes,Q1
DISCOURSE CONTEXT AND MEDIA,1,Yes,Q1
DIVERSITY AND DISTRIBUTIONS,1,Yes,Q1
DRUG RESISTANCE UPDATES,1,Yes,Q1
DRUGS,1,Yes,Q1
DUKE MATHEMATICAL JOURNAL,1,Yes,Q1
DATA INTELLIGENCE,2,,Q3
DECISION SUPPORT SYSTEMS,2,Yes,Q1
DEEP SEA RESEARCH PART I OCEANOGRAPHIC RESEARCH PAPERS,2,,Q2
DEMONSTRATIO MATHEMATICA,2,,Q1
DENDROCHRONOLOGIA,2,,Q2
DEPRESSION AND ANXIETY,2,,Q1
DERMATITIS,2,,Q1
DESALINATION,2,Yes,Q1
DEUTSCHE ENTOMOLOGISCHE ZEITSCHRIFT,2,,Q3
DEUTSCHE VIERTELJAHRSSCHRIFT FUR LITERATURWISSENSCHAFT UND GEISTESGESCHICHTE,2,,
DEUTSCHES ARZTEBLATT INTERNATIONAL,2,,Q1
DEVELOPMENT,2,,Q1
DEVELOPMENT AND CHANGE,2,,Q1
DEVELOPMENT AND PSYCHOPATHOLOGY,2,,Q1
DEVELOPMENTAL COGNITIVE NEUROSCIENCE,2,Yes,Q1
DEVELOPMENTAL MEDICINE AND CHILD NEUROLOGY,2,,Q1
DEVELOPMENTAL PSYCHOLOGY,2,Yes,Q2
DEVELOPMENTS IN BUILT ENVIRONMENT,2,,Q1
DIABETES,2,Yes,Q1
DIABETES AND METABOLISM,2,,Q1
DIABETES AND METABOLISM JOURNAL,2,,Q1
DIABETES OBESITY AND METABOLISM,2,,Q1
DIABETES TECHNOLOGY AND THERAPEUTICS,2,,Q1
DIACHRONICA,2,,Q3
DIAGNOSTIC AND INTERVENTIONAL IMAGING,2,,Q1
DIALOGUES IN CLINICAL NEUROSCIENCE,2,,Q1
DIGESTIVE AND LIVER DISEASE,2,,Q2
DIGESTIVE ENDOSCOPY,2,,Q1
DIGITAL COMMUNICATIONS AND NETWORKS,2,,Q1
DIGITAL DISCOVERY,2,,Q1
DISABILITY AND HEALTH JOURNAL,2,,Q1
DISCOURSE AND COMMUNICATION,2,Yes,Q2
DISCOURSE PROCESSES,2,,Q2
DISCOURSE STUDIES,2,Yes,Q2
DISEASES OF COLON AND RECTUM,2,,Q1
DISPLAYS,2,,Q2
DISTANCE EDUCATION,2,,Q1
DNA RESEARCH,2,,Q2
DOCUMENTA MATHEMATICA,2,,Q3
DOMESTIC ANIMAL ENDOCRINOLOGY,2,,Q2
DRUG AND ALCOHOL DEPENDENCE,2,,Q1
DRUG DELIVERY,2,,Q1
DRUG DESIGN DEVELOPMENT AND THERAPY,2,,Q1
DRUG DISCOVERY TODAY,2,,Q1
DRUG METABOLISM AND DISPOSITION,2,,Q1
DRUG SAFETY,2,,Q1
DUKE LAW JOURNAL,2,,Q1
DUTCH CROSSING JOURNAL OF LOW COUNTRIES STUDIES,2,,Q2
DYES AND PIGMENTS,2,,Q1
DAEDALUS,3,,Q1
DALTON TRANSACTIONS,3,,Q1
DANCE CHRONICLE,3,,
DANCE RESEARCH,3,,
DANZA E RICERCA LABORATORIO DI STUDI SCRITTURE VISIONI,3,,
DAO A JOURNAL OF COMPARATIVE PHILOSOPHY,3,,
DAPHNIS ZEITSCHRIFT FUR MITTLERE DEUTSCHE LITERATUR,3,,
DATA AND KNOWLEDGE ENGINEERING,3,,Q3
DATA CENTRIC ENGINEERING,3,,Q2
DATA MINING AND KNOWLEDGE DISCOVERY,3,,Q2
DE MEDIO AEVO,3,,
DECISION WASHINGTON,3,,Q3
DEEP SEA RESEARCH PART II TOPICAL STUDIES IN OCEANOGRAPHY,3,,Q1
DEFENCE AND PEACE ECONOMICS,3,,Q2
DELEUZE AND GUATTARI STUDIES,3,,
DEMENTIA INTERNATIONAL JOURNAL OF SOCIAL RESEARCH AND PRACTICE,3,,Q2
DEMOGRAPHIC RESEARCH,3,,Q2
DENDROBIOLOGY,3,,Q2
DENTAL AND MEDICAL PROBLEMS,3,,Q1
DENTAL TRAUMATOLOGY,3,,Q1
DENTISTRY JOURNAL,3,,Q1
DENTOMAXILLOFACIAL RADIOLOGY,3,,Q1
DERMATOLOGIC CLINICS,3,,Q2
DERMATOLOGIC SURGERY,3,,Q2
DERMATOLOGIC THERAPY,3,,Q1
DERMATOLOGY,3,,Q2
DERMATOLOGY AND THERAPY,3,,Q1
DERRIDA TODAY,3,,
DESIGN AND CULTURE,3,,
DESIGN SCIENCE,3,,Q3
DESIGNS CODES AND CRYPTOGRAPHY,3,,Q2
DEVELOPMENT POLICY REVIEW,3,,Q3
DEVELOPMENTAL AND COMPARATIVE IMMUNOLOGY,3,,Q1
DEVELOPMENTAL BIOLOGY,3,,Q3
DEVIANT BEHAVIOR,3,,Q2
DIABETES AND METABOLIC SYNDROME CLINICAL RESEARCH AND REVIEWS,3,,Q2
DIABETES METABOLIC SYNDROME AND OBESITY,3,,Q2
DIABETES METABOLISM RESEARCH AND REVIEWS,3,,Q1
DIABETES RESEARCH AND CLINICAL PRACTICE,3,,Q1
DIABETES THERAPY,3,,Q3
DIABETIC MEDICINE,3,,Q2
DIABETOLOGY AND METABOLIC SYNDROME,3,,Q2
DIAGNOSTIC PATHOLOGY,3,,Q2
DIAGNOSTICS,3,,Q1
DIAMOND AND RELATED MATERIALS,3,,Q1
DIATOM RESEARCH,3,,Q3
DICKENS QUARTERLY,3,,
DIFFERENTIAL AND INTEGRAL EQUATIONS,3,,Q1
DIFFERENTIATION,3,,Q2
DIGITAL CREATIVITY,3,,
DIGITAL HEALTH,3,,Q1
DIGITAL SCHOLARSHIP IN HUMANITIES,3,,Q2
DIGITAL SIGNAL PROCESSING,3,,Q2
DIPLOMATIC HISTORY,3,,Q1
DISABILITY AND SOCIETY,3,,Q1
DISASTERS,3,,Q1
DISCOURS REVUE DE LINGUISTIQUE PSYCHOLINGUISTIQUE ET INFORMATIQUE,3,,Q3
DISCOURSE STUDIES IN CULTURAL POLITICS OF EDUCATION,3,,Q2
DISCOVER NANO,3,,Q2
DISCRETE AND CONTINUOUS DYNAMICAL SYSTEMS,3,,Q1
DISCRETE APPLIED MATHEMATICS,3,,Q2
DISCRETE MATHEMATICS,3,,Q2
DISEASE MODELS AND MECHANISMS,3,,Q1
DISPUTATIO INTERNATIONAL JOURNAL OF PHILOSOPHY,3,,
DISSERTATIONES MATHEMATICAE,3,,Q2
DISTINKTION JOURNAL OF SOCIAL THEORY,3,,Q2
DIVERSITY BASEL,3,,Q2
DIX NEUF,3,,
DM DISEASE A MONTH,3,,Q1
DNA REPAIR,3,,Q2
DOCUMENTA ET INSTRUMENTA,3,,Q3
DRAMA THERAPY REVIEW,3,,
DRESS JOURNAL OF COSTUME SOCIETY OF AMERICA,3,,
DREVNYAYA RUS VOPROSY MEDIEVISTIKI,3,,
DRONES,3,,Q1
DRUG AND ALCOHOL REVIEW,3,,Q2
