Journal_Normalized,CAS2025_Quartile,CAS2025_Top,JCR_BestQuartile
EARLY CHILDHOOD RESEARCH QUARTERLY,1,Yes,Q1
EARTH AND PLANETARY SCIENCE LETTERS,1,Yes,Q1
EARTH SCIENCE REVIEWS,1,Yes,Q1
EARTH SYSTEM GOVERNANCE,1,Yes,Q1
EARTH SYSTEM SCIENCE DATA,1,Yes,Q1
EARTHS FUTURE,1,Yes,Q1
EBIOMEDICINE,1,Yes,Q1
ECLINICALMEDICINE,1,Yes,Q1
ECOGRAPHY,1,Yes,Q1
ECOLOGICAL INDICATORS,1,Yes,Q1
ECOLOGY LETTERS,1,Yes,Q1
ECONOMETRICA,1,Yes,Q1
ECONOMIC GEOGRAPHY,1,Yes,Q1
ECONOMIC GEOLOGY,1,Yes,Q1
ECONOMIC HISTORY REVIEW,1,Yes,Q1
EDUCATIONAL PSYCHOLOGIST,1,Yes,Q1
EDUCATIONAL PSYCHOLOGY REVIEW,1,Yes,Q1
EDUCATIONAL RESEARCH REVIEW,1,Yes,Q1
EDUCATIONAL RESEARCHER,1,Yes,Q1
ELECTROCHEMICAL ENERGY REVIEWS,1,Yes,Q1
ELIGHT,1,Yes,Q1
EMBO JOURNAL,1,Yes,Q1
EMBO MOLECULAR MEDICINE,1,Yes,Q1
EMBO REPORTS,1,Yes,Q1
EMERGING MICROBES AND INFECTIONS,1,Yes,Q1
ENDOCRINE PATHOLOGY,1,Yes,Q1
ENDOCRINE REVIEWS,1,Yes,Q1
ENDOSCOPIC ULTRASOUND,1,Yes,Q1
ENDOSCOPY,1,Yes,Q1
ENERGY,1,Yes,Q1
ENERGY AND ENVIRONMENTAL MATERIALS,1,Yes,Q1
ENERGY AND ENVIRONMENTAL SCIENCE,1,Yes,Q1
ENERGY CONVERSION AND MANAGEMENT,1,Yes,Q1
ENERGY ECONOMICS,1,Yes,Q1
ENERGY MATERIAL ADVANCES,1,Yes,Q1
ENERGY STORAGE MATERIALS,1,Yes,Q1
ENERGYCHEM,1,Yes,Q1
ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,1,Yes,Q1
ENGINEERING APPLICATIONS OF COMPUTATIONAL FLUID MECHANICS,1,Yes,Q1
ENGINEERING GEOLOGY,1,Yes,Q1
ENGINEERING STRUCTURES,1,Yes,Q1
ENGLISH FOR SPECIFIC PURPOSES,1,Yes,Q1
ENTOMOLOGIA GENERALIS,1,Yes,Q1
ENVIRONMENT AND PLANNING A ECONOMY AND SPACE,1,Yes,Q1
ENVIRONMENT AND PLANNING D SOCIETY AND SPACE,1,Yes,Q1
ENVIRONMENT INTERNATIONAL,1,Yes,Q1
ENVIRONMENTAL CHEMISTRY AND ECOTOXICOLOGY,1,Yes,Q1
ENVIRONMENTAL HEALTH PERSPECTIVES,1,Yes,Q1
ENVIRONMENTAL IMPACT ASSESSMENT REVIEW,1,Yes,Q1
ENVIRONMENTAL POLITICS,1,Yes,Q1
ENVIRONMENTAL SCIENCE AND ECOTECHNOLOGY,1,Yes,Q1
ENVIRONMENTAL SCIENCE AND TECHNOLOGY,1,Yes,Q1
EPILEPSIA,1,Yes,Q1
ESCIENCE,1,Yes,Q1
ESMO OPEN,1,Yes,Q1
ETHICS,1,Yes,Q1
ETRANSPORTATION,1,Yes,Q1
EUROINTERVENTION,1,Yes,Q1
EUROPACE,1,Yes,Q1
EUROPEAN HEART JOURNAL,1,Yes,Q1
EUROPEAN HEART JOURNAL CARDIOVASCULAR IMAGING,1,Yes,Q1
EUROPEAN JOURNAL OF AGRONOMY,1,Yes,Q1
EUROPEAN JOURNAL OF CANCER,1,Yes,Q1
EUROPEAN JOURNAL OF HEART FAILURE,1,Yes,Q1
EUROPEAN JOURNAL OF INTERNATIONAL RELATIONS,1,Yes,Q1
EUROPEAN JOURNAL OF INTERNATIONAL SECURITY,1,Yes,Q1
EUROPEAN JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING,1,Yes,Q1
EUROPEAN JOURNAL OF PERSONALITY,1,Yes,Q1
EUROPEAN JOURNAL OF POLITICAL RESEARCH,1,Yes,Q1
EUROPEAN JOURNAL OF PREVENTIVE CARDIOLOGY,1,Yes,Q1
EUROPEAN JOURNAL OF PSYCHOLOGY APPLIED TO LEGAL CONTEXT,1,Yes,Q1
EUROPEAN JOURNAL OF VASCULAR AND ENDOVASCULAR SURGERY,1,Yes,Q1
EUROPEAN PHYSICAL EDUCATION REVIEW,1,Yes,Q1
EUROPEAN POLITICAL SCIENCE REVIEW,1,Yes,Q1
EUROPEAN RESPIRATORY JOURNAL,1,Yes,Q1
EUROPEAN RESPIRATORY REVIEW,1,Yes,Q1
EUROPEAN REVIEW OF SOCIAL PSYCHOLOGY,1,Yes,Q1
EUROPEAN SECURITY,1,Yes,Q1
EUROPEAN SOCIOLOGICAL REVIEW,1,Yes,Q1
EUROPEAN UROLOGY,1,Yes,Q1
EUROPEAN UROLOGY ONCOLOGY,1,Yes,Q1
EVOLUTION AND HUMAN BEHAVIOR,1,Yes,Q1
EVOLUTION LETTERS,1,Yes,Q1
EVOLUTIONARY ANTHROPOLOGY,1,Yes,Q1
EXPERIMENTAL AND COMPUTATIONAL MULTIPHASE FLOW,1,Yes,Q1
EXPERIMENTAL AND MOLECULAR MEDICINE,1,Yes,Q1
EXPERT SYSTEMS WITH APPLICATIONS,1,Yes,Q1
EXPLORATIONS IN ECONOMIC HISTORY,1,Yes,Q1
ENVIRONMENTAL VALUES,1,Yes,Q2
EUROPEAN UNION POLITICS,1,Yes,Q2
EARLY MEDIEVAL EUROPE,1,Yes,
EARLY MUSIC,1,Yes,
ELIFE,1,Yes,
ENGINEERED SCIENCE,1,Yes,
EPISTEME A JOURNAL OF INDIVIDUAL AND SOCIAL EPISTEMOLOGY,1,Yes,
ESTETIKA EUROPEAN JOURNAL OF AESTHETICS,1,Yes,
ETHNOARCHAEOLOGY,1,Yes,
EAR AND HEARING,2,,Q1
EARTH SYSTEM DYNAMICS,2,,Q1
EARTHQUAKE ENGINEERING AND STRUCTURAL DYNAMICS,2,,Q1
EAST EUROPEAN POLITICS,2,,Q1
ECOLOGICAL APPLICATIONS,2,Yes,Q1
ECOLOGICAL ECONOMICS,2,,Q1
ECOLOGICAL ENGINEERING,2,,Q1
ECOLOGICAL INFORMATICS,2,,Q1
ECOLOGICAL MONOGRAPHS,2,,Q1
ECOLOGICAL PROCESSES,2,,Q1
ECOLOGY,2,Yes,Q1
ECOMAT,2,,Q1
ECONOMIC ANALYSIS AND POLICY,2,Yes,Q1
ECONOMIC JOURNAL,2,Yes,Q1
ECONOMIC MODELLING,2,,Q1
ECONOMIC POLICY,2,,Q1
ECONOMY AND SOCIETY,2,,Q1
ECOSYSTEM SERVICES,2,,Q1
ECOSYSTEMS AND PEOPLE,2,,Q1
ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,2,,Q1
EDUCACION XX1,2,,Q1
EDUCATION AND INFORMATION TECHNOLOGIES,2,,Q1
EDUCATIONAL ADMINISTRATION QUARTERLY,2,,Q1
EDUCATIONAL EVALUATION AND POLICY ANALYSIS,2,,Q1
EDUCATIONAL PSYCHOLOGY,2,,Q1
EDUCATIONAL REVIEW,2,,Q1
EDUCATIONAL TECHNOLOGY AND SOCIETY,2,,Q1
EFORT OPEN REVIEWS,2,,Q1
EJNMMI PHYSICS,2,,Q1
EJSO,2,,Q1
ELECTORAL STUDIES,2,,Q1
ELECTROCHIMICA ACTA,2,,Q1
ELT JOURNAL,2,,Q1
EMERGENCIAS,2,,Q1
EMERGING CONTAMINANTS,2,,Q1
EMERGING INFECTIOUS DISEASES,2,Yes,Q1
EMERGING MARKETS REVIEW,2,Yes,Q1
EMOTION,2,Yes,Q1
EMPIRICAL SOFTWARE ENGINEERING,2,,Q1
ENDOCRINE RELATED CANCER,2,,Q1
ENERGY AND AI,2,,Q1
ENERGY AND BUILDINGS,2,Yes,Q1
ENERGY CONVERSION AND MANAGEMENT X,2,,Q1
ENERGY MATERIALS,2,,Q1
ENERGY NEXUS,2,,Q1
ENERGY POLICY,2,Yes,Q1
ENERGY RESEARCH AND SOCIAL SCIENCE,2,,Q1
ENERGY STRATEGY REVIEWS,2,,Q1
ENGINEERING,2,,Q1
ENGINEERING ANALYSIS WITH BOUNDARY ELEMENTS,2,,Q1
ENGINEERING CONSTRUCTION AND ARCHITECTURAL MANAGEMENT,2,,Q1
ENGINEERING FAILURE ANALYSIS,2,,Q1
ENGINEERING FRACTURE MECHANICS,2,,Q1
ENGINEERING SCIENCE AND TECHNOLOGY AN INTERNATIONAL JOURNAL JESTECH,2,,Q1
ENGINEERING WITH COMPUTERS,2,Yes,Q1
ENGLISH HISTORICAL REVIEW,2,,Q1
ENTREPRENEURSHIP AND REGIONAL DEVELOPMENT,2,,Q1
ENTREPRENEURSHIP THEORY AND PRACTICE,2,,Q1
ENVIRONMENT AND BEHAVIOR,2,,Q1
ENVIRONMENT AND PLANNING E NATURE AND SPACE,2,,Q1
ENVIRONMENTAL AND EXPERIMENTAL BOTANY,2,,Q1
ENVIRONMENTAL AND SUSTAINABILITY INDICATORS,2,,Q1
ENVIRONMENTAL CHEMISTRY LETTERS,2,,Q1
ENVIRONMENTAL DEVELOPMENT,2,,Q1
ENVIRONMENTAL HEALTH,2,,Q1
ENVIRONMENTAL INNOVATION AND SOCIETAL TRANSITIONS,2,,Q1
ENVIRONMENTAL MICROBIOME,2,,Q1
ENVIRONMENTAL MODELLING AND SOFTWARE,2,,Q1
ENVIRONMENTAL POLLUTION,2,,Q1
ENVIRONMENTAL RESEARCH,2,,Q1
ENVIRONMENTAL RESEARCH LETTERS,2,,Q1
ENVIRONMENTAL REVIEWS,2,,Q1
ENVIRONMENTAL SCIENCE AND POLICY,2,,Q1
ENVIRONMENTAL SCIENCE AND TECHNOLOGY LETTERS,2,,Q1
ENVIRONMENTAL TECHNOLOGY AND INNOVATION,2,,Q1
EPIDEMIOLOGIC REVIEWS,2,,Q1
EPIDEMIOLOGY,2,,Q1
EPIDEMIOLOGY AND PSYCHIATRIC SCIENCES,2,,Q1
EPJ DATA SCIENCE,2,,Q1
EPJ QUANTUM TECHNOLOGY,2,,Q1
EPMA JOURNAL,2,,Q1
EQUILIBRIUM QUARTERLY JOURNAL OF ECONOMICS AND ECONOMIC POLICY,2,,Q1
EQUINE VETERINARY JOURNAL,2,,Q1
ERJ OPEN RESEARCH,2,,Q1
ESP TODAY JOURNAL OF ENGLISH FOR SPECIFIC PURPOSES AT TERTIARY LEVEL,2,,Q1
ESSAYS IN BIOCHEMISTRY,2,,Q1
ETHICS AND INFORMATION TECHNOLOGY,2,,Q1
ETHNIC AND RACIAL STUDIES,2,Yes,Q1
EURASIAN BUSINESS REVIEW,2,,Q1
EUROPEAN ARCHIVES OF PSYCHIATRY AND CLINICAL NEUROSCIENCE,2,,Q1
EUROPEAN CELLS AND MATERIALS,2,,Q1
EUROPEAN CHILD AND ADOLESCENT PSYCHIATRY,2,,Q1
EUROPEAN CONSTITUTIONAL LAW REVIEW,2,,Q1
EUROPEAN EATING DISORDERS REVIEW,2,,Q1
EUROPEAN HEART JOURNAL ACUTE CARDIOVASCULAR CARE,2,,Q1
EUROPEAN HEART JOURNAL CARDIOVASCULAR PHARMACOTHERAPY,2,,Q1
EUROPEAN HEART JOURNAL QUALITY OF CARE AND CLINICAL OUTCOMES,2,,Q1
EUROPEAN HISTORY QUARTERLY,2,,Q1
EUROPEAN JOURNAL FOR PHILOSOPHY OF SCIENCE,2,Yes,Q1
EUROPEAN JOURNAL OF AGEING,2,,Q1
EUROPEAN JOURNAL OF ANAESTHESIOLOGY,2,,Q1
EUROPEAN JOURNAL OF CARDIO THORACIC SURGERY,2,,Q1
EUROPEAN JOURNAL OF COMMUNICATION,2,,Q1
EUROPEAN JOURNAL OF CULTURAL STUDIES,2,,Q1
EUROPEAN JOURNAL OF EDUCATION,2,,Q1
EUROPEAN JOURNAL OF ENDOCRINOLOGY,2,Yes,Q1
