Journal_Normalized,CAS2025_Quartile,CAS2025_Top,JCR_BestQuartile
FACTA UNIVERSITATIS SERIES MECHANICAL ENGINEERING,1,Yes,Q1
FEMS MICROBIOLOGY REVIEWS,1,Yes,Q1
FERTILITY AND STERILITY,1,Yes,Q1
FIELD CROPS RESEARCH,1,Yes,Q1
FILM PHILOSOPHY,1,Yes,
FINANCIAL INNOVATION,1,Yes,Q1
FISH AND FISHERIES,1,Yes,Q1
FOOD CHEMISTRY,1,Yes,Q1
FOOD CHEMISTRY X,1,Yes,Q1
FOOD CONTROL,1,Yes,Q1
FOOD FRONTIERS,1,Yes,Q1
FOOD HYDROCOLLOIDS,1,Yes,Q1
FOOD MICROBIOLOGY,1,Yes,Q1
FOOD PACKAGING AND SHELF LIFE,1,Yes,Q1
FOOD POLICY,1,Yes,Q1
FOOD QUALITY AND PREFERENCE,1,Yes,Q1
FOOD RESEARCH INTERNATIONAL,1,Yes,Q1
FOOD SCIENCE AND HUMAN WELLNESS,1,Yes,Q1
FOREST ECOSYSTEMS,1,Yes,Q1
FOREST POLICY AND ECONOMICS,1,Yes,Q1
FORUM OF MATHEMATICS PI,1,Yes,Q1
FOUNDATIONS AND TRENDS IN INFORMATION RETRIEVAL,1,Yes,Q1
FOUNDATIONS AND TRENDS IN MACHINE LEARNING,1,Yes,Q1
FOUNDATIONS AND TRENDS IN SYSTEMS AND CONTROL,1,Yes,Q4
FOUNDATIONS OF COMPUTATIONAL MATHEMATICS,1,Yes,Q1
FRICTION,1,Yes,Q1
FRONTIERS IN ECOLOGY AND ENVIRONMENT,1,Yes,Q1
FRONTIERS OF ARCHITECTURAL RESEARCH,1,Yes,
FRONTIERS OF ENGINEERING MANAGEMENT,1,Yes,Q1
FUDAN JOURNAL OF HUMANITIES AND SOCIAL SCIENCES,1,Yes,Q2
FUNCTIONAL ECOLOGY,1,Yes,Q1
FUNGAL DIVERSITY,1,Yes,Q1
FUZZY SETS AND SYSTEMS,1,Yes,Q1
FACIAL PLASTIC SURGERY CLINICS OF NORTH AMERICA,2,,Q2
FAMILY BUSINESS REVIEW,2,,Q1
FARADAY DISCUSSIONS,2,,Q3
FASCISM,2,,
FASEB JOURNAL,2,,Q1
FEBS JOURNAL,2,,Q2
FEMINISM AND PSYCHOLOGY,2,,Q1
FEMINIST ECONOMICS,2,,Q1
FEMINIST MEDIA HISTORIES,2,,Q3
FEMINIST MEDIA STUDIES,2,,Q2
FEMINIST THEORY,2,,Q3
FILM FASHION AND CONSUMPTION,2,,
FINANCE RESEARCH LETTERS,2,,Q1
FINITE FIELDS AND THEIR APPLICATIONS,2,,Q1
FISH AND SHELLFISH IMMUNOLOGY,2,Yes,Q1
FISHERIES RESEARCH,2,,Q2
FLUIDS AND BARRIERS OF CNS,2,,Q1
FOCAAL JOURNAL OF GLOBAL AND HISTORICAL ANTHROPOLOGY,2,,Q1
FONTES ARTIS MUSICAE,2,,
FOOD AND BIOPROCESS TECHNOLOGY,2,Yes,Q1
FOOD AND BIOPRODUCTS PROCESSING,2,,Q2
FOOD AND ENERGY SECURITY,2,,Q1
FOOD AND FUNCTION,2,Yes,Q1
FOOD AND WATERBORNE PARASITOLOGY,2,,Q1
FOOD BIOSCIENCE,2,Yes,Q1
FOOD CHEMISTRY MOLECULAR SCIENCES,2,,Q2
FOOD ENGINEERING REVIEWS,2,,Q1
