Journal_Normalized,CAS2025_Quartile,CAS2025_Top,JCR_BestQuartile
GASTROENTEROLOGY,1,Yes,Q1
GASTROINTESTINAL ENDOSCOPY,1,Yes,Q1
GENDER AND SOCIETY,1,Yes,Q1
GENDER WORK AND ORGANIZATION,1,Yes,Q1
GENES AND DEVELOPMENT,1,Yes,Q1
GENETICS IN MEDICINE,1,Yes,Q1
GENETICS SELECTION EVOLUTION,1,Yes,Q1
GENOME BIOLOGY,1,Yes,Q1
GENOME MEDICINE,1,Yes,Q1
GENOME RESEARCH,1,Yes,Q1
GEOCHIMICA ET COSMOCHIMICA ACTA,1,Yes,Q1
GEODERMA,1,Yes,Q1
GEOGRAPHY AND SUSTAINABILITY,1,Yes,Q1
GEOLOGICAL SOCIETY OF AMERICA BULLETIN,1,Yes,Q1
GEOLOGY,1,Yes,Q1
GEOMETRIC AND FUNCTIONAL ANALYSIS,1,Yes,Q1
GEOMETRY AND TOPOLOGY,1,Yes,Q1
GEOPOLITICS,1,Yes,Q1
GEOSCIENCE FRONTIERS,1,Yes,Q1
GESTA INTERNATIONAL CENTER OF MEDIEVAL ART,1,Yes,
GISCIENCE AND REMOTE SENSING,1,Yes,Q1
GLOBAL AND PLANETARY CHANGE,1,Yes,Q1
GLOBAL BIOGEOCHEMICAL CYCLES,1,Yes,Q1
GLOBAL CHANGE BIOLOGY,1,Yes,Q1
GLOBAL ECOLOGY AND BIOGEOGRAPHY,1,Yes,Q1
GLOBAL ENVIRONMENTAL CHANGE HUMAN AND POLICY DIMENSIONS,1,Yes,Q1
GLOBAL FOOD SECURITY AGRICULTURE POLICY ECONOMICS AND ENVIRONMENT,1,Yes,Q1
GLOBAL MEDIA AND CHINA,1,Yes,Q1
GONDWANA RESEARCH,1,Yes,Q1
GOVERNMENT AND OPPOSITION,1,Yes,Q1
GOVERNMENT INFORMATION QUARTERLY,1,Yes,Q1
GPS SOLUTIONS,1,Yes,Q2
GREEN CHEMISTRY,1,Yes,Q1
GREEN ENERGY AND ENVIRONMENT,1,Yes,Q1
GREEN SYNTHESIS AND CATALYSIS,1,Yes,Q1
GUT,1,Yes,Q1
GUT MICROBES,1,Yes,Q1
GAMES AND CULTURE,2,,Q1
GAS SCIENCE AND ENGINEERING,2,,Q1
GASTRIC CANCER,2,,Q1
GELS,2,,Q1
GENERAL HOSPITAL PSYCHIATRY,2,,Q1
GENERAL PSYCHIATRY,2,,Q1
GENES AND DISEASES,2,,Q1
GENES CHROMOSOMES AND CANCER,2,,Q2
GENOMICS,2,,Q2
GENOMICS PROTEOMICS AND BIOINFORMATICS,2,,Q1
GEO SPATIAL INFORMATION SCIENCE,2,,Q1
GEOCHEMICAL PERSPECTIVES LETTERS,2,,Q1
GEOCHEMISTRY GEOPHYSICS GEOSYSTEMS,2,,Q2
GEOENVIRONMENTAL DISASTERS,2,,Q1
GEOFORUM,2,Yes,Q1
GEOGRAPHICAL JOURNAL,2,,Q1
GEOGRAPHY COMPASS,2,,Q1
GEOHERITAGE,2,,Q2
GEOMATICS NATURAL HAZARDS AND RISK,2,,Q1
GEOMECHANICS AND GEOPHYSICS FOR GEO ENERGY AND GEO RESOURCES,2,,Q1
GEOMORPHOLOGY,2,,Q2
GEOPHYSICAL JOURNAL INTERNATIONAL,2,,Q2
GEOPHYSICAL RESEARCH LETTERS,2,Yes,Q1
GEOPHYSICS,2,,Q1
GEORGETOWN LAW JOURNAL,2,,Q1
GEORISK ASSESSMENT AND MANAGEMENT OF RISK FOR ENGINEERED SYSTEMS AND GEOHAZARDS,2,,Q1
GEOSCIENTIFIC MODEL DEVELOPMENT,2,,Q1
GEOTECHNIQUE,2,,Q1
GEOTEXTILES AND GEOMEMBRANES,2,,Q1
GERMAN HISTORY,2,,Q2
GERMAN LAW JOURNAL,2,,Q2
GERONTOLOGIST,2,,Q1
GEROSCIENCE,2,,Q1
GIANT,2,,Q1
GIGASCIENCE,2,,Q1
GLIA,2,,Q1
GLOBAL CHANGE BIOLOGY BIOENERGY,2,,Q1
