Journal_Normalized,CAS2025_Quartile,CAS2025_Top,JCR_BestQuartile
HABITAT INTERNATIONAL,1,Yes,Q1
HAEMATOLOGICA,1,Yes,Q1
HAGUE JOURNAL ON RULE OF LAW,1,Yes,Q1
HEALTH AFFAIRS,1,Yes,Q1
HEART RHYTHM,1,Yes,Q1
HEPATOBILIARY SURGERY AND NUTRITION,1,Yes,Q1
HEPATOLOGY,1,Yes,Q1
HEPATOLOGY INTERNATIONAL,1,Yes,Q1
HESPERIA,1,Yes,
HIGH POWER LASER SCIENCE AND ENGINEERING,1,Yes,Q1
HIGHER EDUCATION,1,Yes,Q1
HISTORICAL JOURNAL,1,Yes,Q1
HISTORICAL METHODS,1,Yes,Q1
HISTORY OF SCIENCE,1,Yes,Q2
HORTICULTURAL PLANT JOURNAL,1,Yes,Q1
HORTICULTURE RESEARCH,1,Yes,Q1
HUMAN COMMUNICATION RESEARCH,1,Yes,Q1
HUMAN DEVELOPMENT,1,Yes,Q1
HUMAN REPRODUCTION,1,Yes,Q1
HUMAN REPRODUCTION UPDATE,1,Yes,Q1
HUMAN RESOURCE MANAGEMENT REVIEW,1,Yes,Q1
HUSSERL STUDIES,1,Yes,
HYDROLOGY AND EARTH SYSTEM SCIENCES,1,Yes,Q1
HYPERTENSION,1,Yes,Q1
HAEMOPHILIA,2,,Q2
HAHR HISPANIC AMERICAN HISTORICAL REVIEW,2,,Q1
HARM REDUCTION JOURNAL,2,,Q1
HARMFUL ALGAE,2,Yes,Q1
HAROLD PINTER REVIEW ESSAYS ON CONTEMPORARY DRAMA,2,,
HARVARD EDUCATIONAL REVIEW,2,,Q1
HARVARD LAW REVIEW,2,,Q1
HARVARD THEOLOGICAL REVIEW,2,,
HEAD AND FACE MEDICINE,2,,Q2
HEAD AND NECK PATHOLOGY,2,,Q1
HEADACHE,2,,Q1
HEALTH AND JUSTICE,2,,Q1
HEALTH AND PLACE,2,,Q1
HEALTH AND QUALITY OF LIFE OUTCOMES,2,,Q1
HEALTH ECONOMICS POLICY AND LAW,2,,Q1
HEALTH EXPECTATIONS,2,,Q1
