Journal_Normalized,CAS2025_Quartile,CAS2025_Top,JCR_BestQuartile
IEEE ASME TRANSACTIONS ON MECHATRONICS,1,Yes,Q1
IEEE CAA JOURNAL OF AUTOMATICA SINICA,1,Yes,Q1
IEEE COMMUNICATIONS SURVEYS AND TUTORIALS,1,Yes,Q1
IEEE GEOSCIENCE AND REMOTE SENSING MAGAZINE,1,Yes,Q1
IEEE JOURNAL OF SOLID STATE CIRCUITS,1,Yes,Q1
IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,1,Yes,Q1
IEEE REVIEWS IN BIOMEDICAL ENGINEERING,1,Yes,Q1
IEEE TRANSACTIONS ON AFFECTIVE COMPUTING,1,Yes,Q1
IEEE TRANSACTIONS ON ANTENNAS AND PROPAGATION,1,Yes,Q1
IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS FOR VIDEO TECHNOLOGY,1,Yes,Q1
IEEE TRANSACTIONS ON COGNITIVE COMMUNICATIONS AND NETWORKING,1,Yes,Q1
IEEE TRANSACTIONS ON CYBERNETICS,1,Yes,Q1
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,1,Yes,Q1
IEEE TRANSACTIONS ON FUZZY SYSTEMS,1,Yes,Q1
IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,1,Yes,Q1
IEEE TRANSACTIONS ON IMAGE PROCESSING,1,Yes,Q1
IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,1,Yes,Q1
IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS,1,Yes,Q1
IEEE TRANSACTIONS ON INFORMATION FORENSICS AND SECURITY,1,Yes,Q1
IEEE TRANSACTIONS ON INTELLIGENT VEHICLES,1,Yes,Q1
IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,1,Yes,Q1
IEEE TRANSACTIONS ON MEDICAL IMAGING,1,Yes,Q1
IEEE TRANSACTIONS ON MOBILE COMPUTING,1,Yes,Q1
IEEE TRANSACTIONS ON MULTIMEDIA,1,Yes,Q1
