Journal_Normalized,CAS2025_Quartile,CAS2025_Top,JCR_BestQuartile
KADIM,,,Q3
KAFKAS UNIVERSITESI VETERINER FAKULTESI DERGISI,4,,Q3
KAGAKU KOGAKU RONBUNSHU,4,,Q4
KAJIAN MALAYSIA,4,,Q3
KALAGATOS REVISTA DE FILOSOFIA,4,,
KAMCHATKA REVISTA DE ANALISIS CULTURAL,4,,
KANT STUDIEN,2,,
KANT YEARBOOK,3,,
KANTIAN REVIEW,2,Yes,
KAOHSIUNG JOURNAL OF MEDICAL SCIENCES,4,,Q2
KARDIOCHIRURGIA I TORAKOCHIRURGIA POLSKA POLISH JOURNAL OF THORACIC AND CARDIOVASCULAR SURGERY,4,,Q3
KARDIOLOGIA POLSKA,3,,
KARDIOLOGIE,4,,Q4
KARDIOLOGIYA,4,,Q4
KASTAMONU UNIVERSITY JOURNAL OF FORESTRY FACULTY,4,,Q4
KEATS SHELLEY JOURNAL,3,,
KEATS SHELLEY REVIEW,4,,
KEDI JOURNAL OF EDUCATIONAL POLICY,4,,Q3
KEIO JOURNAL OF MEDICINE,4,,Q3
KEMIJA U INDUSTRIJI JOURNAL OF CHEMISTS AND CHEMICAL ENGINEERS,4,,Q4
KENNEDY INSTITUTE OF ETHICS JOURNAL,3,,Q2
KENYON REVIEW,4,,
KERNTECHNIK,4,,Q4
KESMAS NATIONAL PUBLIC HEALTH JOURNAL,4,,Q4
KEW BULLETIN,4,,Q4
KGK KAUTSCHUK GUMMI KUNSTSTOFFE,4,,
KHAZAR JOURNAL OF HUMANITIES AND SOCIAL SCIENCES,4,,Q4
KHYBER MEDICAL UNIVERSITY JOURNAL KMUJ,4,,Q4
KIDNEY AND BLOOD PRESSURE RESEARCH,3,,Q2
KIDNEY AND DIALYSIS,,,Q2
KIDNEY CANCER,4,,Q3
KIDNEY DISEASES,4,,Q1
KIDNEY INTERNATIONAL,1,Yes,Q1
KIDNEY INTERNATIONAL REPORTS,2,Yes,Q1
KIDNEY INTERNATIONAL SUPPLEMENTS,2,,Q1
KIDNEY MEDICINE,3,,Q1
KIDNEY RESEARCH AND CLINICAL PRACTICE,3,,Q1
KIDNEY360,3,,Q1
KIERKEGAARD STUDIES YEARBOOK,3,,
KINDHEIT UND ENTWICKLUNG,4,,Q4
KINEMATICS AND PHYSICS OF CELESTIAL BODIES,4,,Q4
KINESIOLOGIA SLOVENICA,4,,Q4
KINESIOLOGY,4,,Q4
KINESIOLOGY REVIEW,,,Q3
KINETIC AND RELATED MODELS,4,,Q1
KINETICS AND CATALYSIS,4,,Q4
KINO WESTERN UNDERGRADUATE JOURNAL OF FILM STUDIES,,,
KIVA JOURNAL OF SOUTHWESTERN ANTHROPOLOGY AND HISTORY,4,,
KLEINTIERPRAXIS,4,,Q4
KLIMIK JOURNAL,4,,Q3
KLINIK PSIKIYATRI DERGISI TURKISH JOURNAL OF CLINICAL PSYCHIATRY,4,,Q4
KLINISCHE MONATSBLATTER FUR AUGENHEILKUNDE,4,,Q4
KLINISCHE NEUROPHYSIOLOGIE,4,,Q4
KLINISCHE PADIATRIE,4,,Q3
KNEE,4,,Q2
KNEE SURGERY AND RELATED RESEARCH,1,Yes,Q1
KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY,2,,Q1
KNJIZEVNA SMOTRA,4,,
KNOWLEDGE AND INFORMATION SYSTEMS,4,,Q2
KNOWLEDGE AND MANAGEMENT OF AQUATIC ECOSYSTEMS,4,,Q2
KNOWLEDGE AND PROCESS MANAGEMENT,4,,Q3
KNOWLEDGE BASED SYSTEMS,1,Yes,Q1
KNOWLEDGE ENGINEERING REVIEW,3,,Q3
KNOWLEDGE MANAGEMENT AND E LEARNING AN INTERNATIONAL JOURNAL,3,,Q1
KNOWLEDGE MANAGEMENT RESEARCH AND PRACTICE,4,,Q1
KNOWLEDGE ORGANIZATION,4,,Q3
KNYGOTYRA,,,Q2
KOCATEPE ISLAMI ILIMLER DERGISI,,,
KODAI MATHEMATICAL JOURNAL,4,,Q3
KOEDOE,4,,Q3
KOLNER ZEITSCHRIFT FUR SOZIOLOGIE UND SOZIALPSYCHOLOGIE,4,,Q3
