Journal_Normalized,CAS2025_Quartile,CAS2025_Top,JCR_BestQuartile
L1 EDUCATIONAL STUDIES IN LANGUAGE AND LITERATURE,4,,Q3
LAB ANIMAL,2,,Q1
LAB ON A CHIP,2,,Q1
LABOR HISTORY,4,,Q1
LABOR STUDIES IN WORKING CLASS HISTORY OF AMERICAS,4,,Q4
LABORATOIRE ITALIEN POLITIQUE ET SOCIETE,4,,Q4
LABORATORIO DE ARTE,4,,
LABORATORIUM RUSSIAN REVIEW OF SOCIAL RESEARCH,4,,Q3
LABORATORY ANIMAL RESEARCH,4,,Q1
LABORATORY ANIMALS,4,,Q2
LABORATORY INVESTIGATION,2,,Q1
LABORATORY MEDICINE,4,,Q4
LABORATORY PHONOLOGY,2,,Q2
LABORHISTORICO,4,,
LABOUR AND INDUSTRY,4,,Q2
LABOUR ECONOMICS,2,,Q1
LABOUR ENGLAND,4,,Q4
LABOUR HISTORY,4,,Q2
LABOUR HISTORY REVIEW,3,,Q3
LABOUR LE TRAVAIL,4,,Q1
LAEKNABLADID,4,,Q3
LAKE AND RESERVOIR MANAGEMENT,4,,Q4
LANCET,1,Yes,Q1
LANCET CHILD AND ADOLESCENT HEALTH,1,Yes,Q1
LANCET DIABETES AND ENDOCRINOLOGY,1,Yes,Q1
LANCET DIGITAL HEALTH,1,Yes,Q1
LANCET GASTROENTEROLOGY AND HEPATOLOGY,1,Yes,Q1
LANCET GLOBAL HEALTH,1,Yes,Q1
LANCET HAEMATOLOGY,1,Yes,Q1
LANCET HEALTHY LONGEVITY,1,Yes,Q1
LANCET HIV,1,Yes,Q1
LANCET INFECTIOUS DISEASES,1,Yes,Q1
LANCET MICROBE,1,Yes,Q1
LANCET NEUROLOGY,1,Yes,Q1
LANCET ONCOLOGY,1,Yes,Q1
LANCET PLANETARY HEALTH,1,Yes,Q1
LANCET PSYCHIATRY,1,Yes,Q1
LANCET PUBLIC HEALTH,1,Yes,Q1
LANCET REGIONAL HEALTH AMERICAS,2,,Q1
LANCET REGIONAL HEALTH EUROPE,1,Yes,Q1
LANCET REGIONAL HEALTH SOUTHEAST ASIA,2,,Q1
LANCET REGIONAL HEALTH WESTERN PACIFIC,1,Yes,Q1
