Journal_Normalized,CAS2025_Quartile,CAS2025_Top,JCR_BestQuartile
M A REVISTA ELECTRONICA DE MEDIO AMBIENTE,4,,Q4
M AND SOM MANUFACTURING AND SERVICE OPERATIONS MANAGEMENT,3,,Q2
M S MEDECINE SCIENCES,4,,Q4
MABS,2,,Q1
MACEDONIAN JOURNAL OF CHEMISTRY AND CHEMICAL ENGINEERING,4,,Q4
MACEDONIAN VETERINARY REVIEW,4,,Q4
MACHINE INTELLIGENCE RESEARCH,2,,Q1
MACHINE LEARNING,4,,Q2
MACHINE LEARNING AND KNOWLEDGE EXTRACTION,4,,Q1
MACHINE LEARNING SCIENCE AND TECHNOLOGY,2,,Q1
MACHINE LEARNING WITH APPLICATIONS,,,Q1
MACHINE TRANSLATION,4,,
MACHINE VISION AND APPLICATIONS,4,,Q3
MACHINES,3,,Q2
MACHINING SCIENCE AND TECHNOLOGY,3,,Q2
MACROECONOMIC DYNAMICS,4,,Q3
MACROECONOMICS AND FINANCE IN EMERGING MARKET ECONOMIES,4,,Q3
MACROHETEROCYCLES,4,,Q3
MACROMOL,,,Q2
MACROMOLECULAR BIOSCIENCE,4,,Q2
MACROMOLECULAR CHEMISTRY AND PHYSICS,4,,Q3
MACROMOLECULAR MATERIALS AND ENGINEERING,3,,Q2
MACROMOLECULAR RAPID COMMUNICATIONS,3,,Q2
MACROMOLECULAR REACTION ENGINEERING,4,,Q4
MACROMOLECULAR RESEARCH,4,,Q2
MACROMOLECULAR THEORY AND SIMULATIONS,4,,Q3
MACROMOLECULES,1,Yes,Q1
MADERA Y BOSQUES,4,,Q4
MADERAS CIENCIA Y TECNOLOGIA,4,,Q2
MADRYGAL REVISTA DE ESTUDIOS GALLEGOS,4,,
MAEJO INTERNATIONAL JOURNAL OF SCIENCE AND TECHNOLOGY,4,,Q4
MAGALLANIA,4,,Q3
MAGALLANICA REVISTA DE HISTORIA MODERNA,4,,Q3
MAGAZINE OF CIVIL ENGINEERING,4,,Q4
MAGAZINE OF CONCRETE RESEARCH,4,,Q3
MAGIC RITUAL AND WITCHCRAFT,3,,
MAGIS REVISTA INTERNACIONAL DE INVESTIGACION EN EDUCACION,4,,Q4
MAGNESIUM RESEARCH,4,,Q4
MAGNETIC RESONANCE IMAGING,4,,Q3
MAGNETIC RESONANCE IMAGING CLINICS OF NORTH AMERICA,4,,Q3
MAGNETIC RESONANCE IN CHEMISTRY,3,,Q3
MAGNETIC RESONANCE IN MEDICAL SCIENCES,4,,Q1
MAGNETIC RESONANCE IN MEDICINE,3,,Q2
MAGNETIC RESONANCE IN SOLIDS,4,,Q4
MAGNETIC RESONANCE LETTERS,4,,Q3
MAGNETIC RESONANCE MATERIALS IN PHYSICS BIOLOGY AND MEDICINE,4,,Q2
MAGNETOCHEMISTRY,3,,Q2
MAGNETOHYDRODYNAMICS,4,,Q4
MAGNIFICAT CULTURA I LITERATURA MEDIEVALS,3,,
MAGYAR ALLATORVOSOK LAPJA,4,,Q4
