Journal_Normalized,CAS2025_Quartile,CAS2025_Top,JCR_BestQuartile
NACC NOVA ACTA CIENTIFICA COMPOSTELANA BIOLOXIA,4,,Q4
NAFTA GAZ,4,,Q4
NAGOYA JOURNAL OF MEDICAL SCIENCE,4,,Q4
NAGOYA MATHEMATICAL JOURNAL,2,,Q2
NAHARAIM,4,,
NAIS NATIVE AMERICAN AND INDIGENOUS STUDIES ASSOCIATION,3,,Q2
NAMES A JOURNAL OF ONOMASTICS,3,,Q3
NAMIK KEMAL MEDICAL JOURNAL,,,Q4
NAN NU MEN WOMEN AND GENDER IN CHINA,4,,
NANKAI BUSINESS REVIEW INTERNATIONAL,4,,Q3
NANO,4,,Q4
NANO COMMUNICATION NETWORKS,4,,Q2
NANO CONVERGENCE,2,,Q1
NANO ENERGY,2,Yes,Q1
NANO EXPRESS,4,,Q3
NANO FUTURES,4,,Q2
NANO HYBRIDS AND COMPOSITES,4,,Q4
NANO LETTERS,2,Yes,Q1
NANO LIFE,4,,Q4
NANO MATERIALS SCIENCE,1,Yes,Q1
NANO MICRO LETTERS,1,Yes,Q1
NANO RESEARCH,1,Yes,Q1
NANO RESEARCH ENERGY,1,Yes,
NANO SELECT,4,,Q2
NANO TODAY,2,Yes,Q1
NANOBIOTECHNOLOGY REPORTS,4,,Q4
NANOCOMPOSITES,3,,Q2
NANOETHICS,4,,Q1
NANOFABRICATION,4,,Q4
NANOIMPACT,3,,Q1
NANOMANUFACTURING AND METROLOGY,4,,Q1
NANOMATERIALS,3,,Q2
NANOMATERIALS AND ENERGY,4,,Q4
NANOMATERIALS AND NANOTECHNOLOGY,4,,Q2
NANOMEDICINE,4,,Q2
NANOMEDICINE JOURNAL,4,,Q4
NANOMEDICINE NANOTECHNOLOGY BIOLOGY AND MEDICINE,3,,Q2
NANOPHOTONICS,2,,Q1
NANOSCALE,3,,Q1
NANOSCALE ADVANCES,3,,Q2
NANOSCALE AND MICROSCALE THERMOPHYSICAL ENGINEERING,4,,Q2
NANOSCALE HORIZONS,2,,Q1
NANOSCALE RESEARCH LETTERS,,,Q2
NANOSCIENCE AND TECHNOLOGY AN INTERNATIONAL JOURNAL,4,,Q4
NANOSYSTEMS PHYSICS CHEMISTRY MATHEMATICS,4,,Q4
NANOTECHNOLOGIES IN CONSTRUCTION A SCIENTIFIC INTERNET JOURNAL,4,,Q4
NANOTECHNOLOGY,4,,Q2
NANOTECHNOLOGY AND PRECISION ENGINEERING,3,,Q3
NANOTECHNOLOGY REVIEWS,3,,Q1
NANOTECHNOLOGY SCIENCE AND APPLICATIONS,4,,Q4
NANOTOXICOLOGY,4,,Q2
NAR CANCER,4,,Q2
NAR GENOMICS AND BIOINFORMATICS,4,,Q2
NARRATIVE,3,,
NARRATIVE CULTURE,4,,
NARRATIVE INQUIRY,3,,Q3
NARRATIVE WORKS ISSUES INVESTIGATIONS AND INTERVENTIONS,4,,
NASE MORE,4,,Q3
NASHIM A JOURNAL OF JEWISH WOMENS STUDIES AND GENDER ISSUES,4,,
NASLEDE,4,,
NATION,4,,Q2
NATIONAL ACADEMY SCIENCE LETTERS INDIA,4,,Q3
NATIONAL ACCOUNTING REVIEW,2,,Q2
NATIONAL IDENTITIES,3,,Q3
NATIONAL INSTITUTE ECONOMIC REVIEW,4,,Q3
NATIONAL MEDICAL JOURNAL OF INDIA,4,,Q3
NATIONAL SCIENCE REVIEW,1,Yes,Q1
