Journal_Normalized,CAS2025_Quartile,CAS2025_Top,JCR_BestQuartile
OASIS OBSERVATORIO DE ANALISIS DE LOS SISTEMAS INTERNACIONALES,4,,Q4
OBERE EXTREMITAET SCHULTER ELLENBOGEN HAND UPPER EXTREMITY SHOULDER ELBOW HAND,4,,Q4
OBESITIES,,,Q4
OBESITY,2,,Q1
OBESITY FACTS,3,,Q1
OBESITY RESEARCH AND CLINICAL PRACTICE,4,,Q3
OBESITY REVIEWS,2,Yes,Q1
OBESITY SCIENCE AND PRACTICE,4,,Q3
OBESITY SURGERY,3,,Q1
OBETS REVISTA DE CIENCIAS SOCIALES,4,,Q3
OBRA DIGITAL REVISTA DE COMUNICACION,4,,Q4
OBRABOTKA METALLOV METAL WORKING AND MATERIAL SCIENCE,4,,Q4
OBRADOIRO DE HISTORIA MODERNA,4,,Q2
OBRANA A STRATEGIE DEFENCE AND STRATEGY,4,,Q3
OBRAZOVANIE I NAUKA EDUCATION AND SCIENCE,4,,Q4
OBSERVAR,4,,
OBSERVATORIO MEDIOAMBIENTAL,4,,Q4
OBSERVATORY,4,,Q3
OBSTETRIC MEDICINE,4,,Q4
OBSTETRICAL AND GYNECOLOGICAL SURVEY,4,,Q1
OBSTETRICIAN AND GYNAECOLOGIST,4,,Q3
OBSTETRICS AND GYNECOLOGY,2,Yes,Q1
OBSTETRICS AND GYNECOLOGY CLINICS OF NORTH AMERICA,3,,Q2
OBSTETRICS AND GYNECOLOGY INTERNATIONAL,4,,Q3
OBSTETRICS AND GYNECOLOGY SCIENCE,4,,Q2
OCCASIONAL PAPERS ON RELIGION IN EASTERN EUROPE,4,,
OCCUPATIONAL AND ENVIRONMENTAL MEDICINE,2,,Q1
OCCUPATIONAL HEALTH SCIENCE,4,,Q2
OCCUPATIONAL MEDICINE OXFORD,4,,Q3
OCCUPATIONAL THERAPY IN HEALTH CARE,4,,Q4
OCCUPATIONAL THERAPY IN MENTAL HEALTH,4,,Q4
OCCUPATIONAL THERAPY INTERNATIONAL,4,,Q4
OCEAN AND COASTAL MANAGEMENT,2,,Q1
OCEAN AND COASTAL RESEARCH,4,,Q3
OCEAN DEVELOPMENT AND INTERNATIONAL LAW,3,,Q1
OCEAN DYNAMICS,3,,Q3
OCEAN ENGINEERING,2,Yes,Q1
OCEAN MODELLING,2,,Q1
OCEAN SCIENCE,3,,Q1
OCEAN SCIENCE JOURNAL,4,,Q3
OCEAN SYSTEMS ENGINEERING AN INTERNATIONAL JOURNAL,4,,Q4
OCEAN YEARBOOK,4,,Q4
OCEANIA,4,,Q3
OCEANIC LINGUISTICS,3,,
OCEANOGRAPHY,4,,Q2
OCEANOLOGIA,3,,Q2
OCEANOLOGICAL AND HYDROBIOLOGICAL STUDIES,4,,Q4
OCEANOLOGY,4,,Q4
OCEANS SWITZERLAND,4,,Q3
OCHRONA PRZED KOROZJA,4,,Q4
OCHSNER JOURNAL,4,,Q2
OCL OILSEEDS AND FATS CROPS AND LIPIDS,4,,Q2
OCNOS JOURNAL OF READING RESEARCH,4,,Q3
OCTOBER,3,,
OCULAR IMMUNOLOGY AND INFLAMMATION,4,,Q2
OCULAR ONCOLOGY AND PATHOLOGY,4,,Q3
OCULAR SURFACE,1,Yes,Q1
ODONATOLOGICA,4,,Q4
ODONTOESTOMATOLOGIA,4,,Q4
ODONTOLOGY,4,,Q2
ODOVTOS INTERNATIONAL JOURNAL OF DENTAL SCIENCES,4,,Q4
OECOLOGIA,3,,Q2
OECONOMIA COPERNICANA,1,Yes,Q1
OECONOMIA HISTORY METHODOLOGY PHILOSOPHY,4,,Q4
OENO ONE,3,,Q2
OFIOLITI,4,,Q2
OGIGIA REVISTA ELECTRONICA DE ESTUDIOS HISPANICOS,4,,
OIDO PENSANTE,2,,
OIKOS,2,,Q2
OIL SHALE,4,,Q2
OLBA,4,,
OLHO D AGUA,4,,
OMEGA INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE,2,,Q1
OMEGA JOURNAL OF DEATH AND DYING,4,,Q3
OMICS A JOURNAL OF INTEGRATIVE BIOLOGY,4,,Q3
ON HORIZON,4,,Q2
ON WATERFRONT,4,,
ONATI SOCIO LEGAL SERIES,4,,Q3
ONCOGENE,1,Yes,Q1
ONCOGENESIS,2,,Q1
ONCOIMMUNOLOGY,2,,Q1
ONCOLOGIE,4,,Q3
ONCOLOGIST,2,,Q2
ONCOLOGY,4,,Q4
ONCOLOGY AND THERAPY,4,,Q2
ONCOLOGY IN CLINICAL PRACTICE,4,,Q4
ONCOLOGY LETTERS,4,,Q3
ONCOLOGY NEW YORK,4,,Q4
ONCOLOGY NURSING FORUM,4,,Q3
ONCOLOGY REPORTS,3,,Q2
ONCOLOGY RESEARCH,4,,Q2
ONCOLOGY RESEARCH AND TREATMENT,4,,Q4
ONCOLOGY REVIEWS,4,,Q1
ONCOTARGETS AND THERAPY,4,,Q2
ONDERSTEPOORT JOURNAL OF VETERINARY RESEARCH,4,,Q2
ONE EARTH,1,Yes,Q1
ONE ECOSYSTEM,4,,Q3
ONE HEALTH,2,,Q1
ONE HEALTH OUTLOOK,3,,Q1
ONKOLOGIE,4,,Q4
ONKOLOGIJA,4,,Q4
ONKOUROLOGIYA,4,,Q4
ONLINE INFORMATION REVIEW,3,,Q1
ONLINE JOURNAL OF COMMUNICATION AND MEDIA TECHNOLOGIES,4,,Q2
ONLINE JOURNAL OF PUBLIC HEALTH INFORMATICS,,,Q4
ONLINE LEARNING,3,,Q1
ONLINE SOCIAL NETWORKS AND MEDIA,,,Q1
ONOMAZEIN,4,,Q4
OPEC ENERGY REVIEW,4,,Q2
OPEN ACCESS EMERGENCY MEDICINE,4,,Q2
OPEN ACCESS JOURNAL OF CLINICAL TRIALS,4,,Q4
OPEN ACCESS JOURNAL OF CONTRACEPTION,3,,Q2
OPEN ACCESS JOURNAL OF SPORTS MEDICINE,4,,Q3
OPEN ACCESS RHEUMATOLOGY RESEARCH AND REVIEWS,4,,Q3
OPEN ACCESS SURGERY,4,,Q4
OPEN AGRICULTURE,4,,Q2
OPEN ARCHAEOLOGY,3,,
OPEN ASTRONOMY,4,,Q4
OPEN BIOLOGY,2,,Q2
OPEN CARDIOVASCULAR MEDICINE JOURNAL,4,,Q4
OPEN CERAMICS,4,,Q1
OPEN CHEMISTRY,4,,Q3
OPEN COMPUTER SCIENCE,4,,Q3
OPEN CULTURAL STUDIES,4,,Q3
OPEN DENTISTRY JOURNAL,4,,Q4
OPEN ECONOMIES REVIEW,4,,Q3
OPEN ENGINEERING,4,,Q2
OPEN FORUM INFECTIOUS DISEASES,4,,Q1
OPEN GEOSCIENCES,4,,Q3
OPEN HEART,3,,Q2
OPEN HOUSE INTERNATIONAL,4,,
OPEN HOUSE INTERNATIONAL SUSTAINABLE AND SMART ARCHITECTURE AND URBAN STUDIES,,,Q3
OPEN INSIGHT,4,,
OPEN LEARNING,4,,Q1
OPEN LIBRARY OF HUMANITIES,2,,
OPEN LIFE SCIENCES,4,,Q2
OPEN LINGUISTICS,2,,Q3
OPEN MATHEMATICS,4,,Q2
OPEN MEDICINE,4,,Q2
OPEN OPHTHALMOLOGY JOURNAL,4,,Q4
OPEN PHILOSOPHY,3,,
OPEN PHYSICS,4,,Q2
OPEN PRAXIS,4,,Q2
OPEN SYSTEMS AND INFORMATION DYNAMICS,4,,Q2
OPEN THEOLOGY,3,,
OPEN VETERINARY JOURNAL,4,,Q3
OPERA,4,,
OPERA COLOMBIA,4,,Q4
OPERA NEWS,4,,
OPERA QUARTERLY,1,Yes,
OPERATIONAL RESEARCH,4,,Q2
OPERATIONS AND SUPPLY CHAIN MANAGEMENT AN INTERNATIONAL JOURNAL,4,,Q3
OPERATIONS MANAGEMENT RESEARCH,4,,Q1
OPERATIONS RESEARCH,4,,Q2
OPERATIONS RESEARCH AND DECISIONS,4,,Q4
OPERATIONS RESEARCH FOR HEALTH CARE,4,,Q3
OPERATIONS RESEARCH LETTERS,4,,Q4
OPERATIONS RESEARCH PERSPECTIVES,4,,Q2
OPERATIVE DENTISTRY,4,,Q2
OPERATIVE NEUROSURGERY,4,,Q3
OPERATIVE ORTHOPADIE UND TRAUMATOLOGIE,4,,Q3
OPERATIVE TECHNIQUES IN ORTHOPAEDICS,4,,Q4
OPERATIVE TECHNIQUES IN SPORTS MEDICINE,4,,Q4
OPERATORS AND MATRICES,4,,Q3
OPHTHALMIC AND PHYSIOLOGICAL OPTICS,2,,Q2
OPHTHALMIC EPIDEMIOLOGY,4,,Q3
OPHTHALMIC GENETICS,4,,Q4
OPHTHALMIC PLASTIC AND RECONSTRUCTIVE SURGERY,4,,Q3
OPHTHALMIC RESEARCH,4,,Q2
OPHTHALMIC SURGERY LASERS AND IMAGING RETINA,4,,Q3
OPHTHALMOLOGICA,4,,Q2
OPHTHALMOLOGIE,4,,Q4
OPHTHALMOLOGY,1,Yes,Q1
OPHTHALMOLOGY AND THERAPY,3,,Q1
OPHTHALMOLOGY GLAUCOMA,3,,Q1
OPHTHALMOLOGY RETINA,2,,Q1
OPHTHALMOLOGY SCIENCE,3,,Q1
OPIR MATERIALIV I TEORIA SPORUD STRENGTH OF MATERIALS AND THEORY OF STRUCTURES,4,,Q4
OPSEARCH,4,,Q3
OPTICA,1,Yes,Q1
OPTICA APPLICATA,4,,Q4
OPTICA PURA Y APLICADA,4,,Q4
OPTICAL AND QUANTUM ELECTRONICS,3,,Q1
OPTICAL ENGINEERING,4,,Q4
OPTICAL FIBER TECHNOLOGY,3,,Q2
OPTICAL MATERIALS,3,,Q1
OPTICAL MATERIALS EXPRESS,3,,Q2
OPTICAL MEMORY AND NEURAL NETWORKS,4,,Q4
OPTICAL REVIEW,4,,Q4
OPTICAL SWITCHING AND NETWORKING,4,,Q2
OPTICS,4,,Q3
OPTICS AND LASER TECHNOLOGY,2,Yes,Q1
OPTICS AND LASERS IN ENGINEERING,2,,Q2
OPTICS AND SPECTROSCOPY,4,,Q4
OPTICS COMMUNICATIONS,3,,Q2
OPTICS CONTINUUM,4,,Q3
OPTICS EXPRESS,2,,Q2
OPTICS LETTERS,2,,Q2
OPTIMAL CONTROL APPLICATIONS AND METHODS,4,,Q2
OPTIMIZATION,3,,Q1
OPTIMIZATION AND ENGINEERING,3,,Q2
OPTIMIZATION LETTERS,4,,Q2
OPTIMIZATION METHODS AND SOFTWARE,4,,Q2
OPTO ELECTRONIC ADVANCES,1,Yes,Q1
OPTO ELECTRONICS REVIEW,4,,Q4
OPTOELECTRONICS AND ADVANCED MATERIALS RAPID COMMUNICATIONS,4,,Q4
OPTOELECTRONICS INSTRUMENTATION AND DATA PROCESSING,4,,Q4
OPTOELECTRONICS LETTERS,4,,Q4
OPTOMETRY AND VISION SCIENCE,4,,Q3
OPUS,4,,
OPUSCULA ANNUAL OF SWEDISH INSTITUTES AT ATHENS AND ROME,2,,
OPUSCULA MATHEMATICA,4,,Q1
OR SPECTRUM,4,,Q3
ORAL,,,Q3
ORAL AND MAXILLOFACIAL PATHOLOGY JOURNAL,4,,Q4
ORAL AND MAXILLOFACIAL SURGERY CLINICS OF NORTH AMERICA,4,,Q3
ORAL AND MAXILLOFACIAL SURGERY HEIDELBERG,4,,Q3
ORAL DISEASES,3,,Q1
