Journal_Normalized,CAS2025_Quartile,CAS2025_Top,JCR_BestQuartile
PAIN,1,Yes,Q1
PARTICLE AND FIBRE TOXICOLOGY,1,Yes,Q1
PAST AND PRESENT,1,Yes,Q1
PATTERN RECOGNITION,1,Yes,Q1
PERIODONTOLOGY 2000,1,Yes,Q1
PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,1,Yes,Q1
PERSONNEL PSYCHOLOGY,1,Yes,Q1
PERSOONIA,1,Yes,Q1
PERSPECTIVES ON MEDICAL EDUCATION,1,Yes,Q1
PERSPECTIVES ON POLITICS,1,Yes,Q1
PERSPECTIVES ON PSYCHOLOGICAL SCIENCE,1,Yes,Q1
PEST MANAGEMENT SCIENCE,1,Yes,Q1
PESTICIDE BIOCHEMISTRY AND PHYSIOLOGY,1,Yes,Q1
PETROLEUM EXPLORATION AND DEVELOPMENT,1,Yes,Q1
PETROLEUM SCIENCE,1,Yes,Q1
PHARMACOLOGICAL REVIEWS,1,Yes,Q1
PHARMACOLOGY AND THERAPEUTICS,1,Yes,Q1
PHILOSOPHICAL TRANSACTIONS OF ROYAL SOCIETY B BIOLOGICAL SCIENCES,1,Yes,Q1
PHOTOACOUSTICS,1,Yes,Q1
PHOTONICS RESEARCH,1,Yes,Q1
PHOTONIX,1,Yes,Q1
PHYSICAL REVIEW LETTERS,1,Yes,Q1
PHYSICAL REVIEW X,1,Yes,Q1
PHYSICS OF LIFE REVIEWS,1,Yes,Q1
PHYSICS REPORTS REVIEW SECTION OF PHYSICS LETTERS,1,Yes,Q1
PHYSIOLOGICAL REVIEWS,1,Yes,Q1
PHYTOMEDICINE,1,Yes,Q1
PLANT BIOTECHNOLOGY JOURNAL,1,Yes,Q1
PLANT CELL,1,Yes,Q1
PLANT CELL AND ENVIRONMENT,1,Yes,Q1
PLANT COMMUNICATIONS,1,Yes,Q1
PLANT DIVERSITY,1,Yes,Q1
PLANT JOURNAL,1,Yes,Q1
PLANT PHENOMICS,1,Yes,Q1
PLANT PHYSIOLOGY,1,Yes,Q1
PLOS BIOLOGY,1,Yes,Q1
PLOS MEDICINE,1,Yes,Q1
PLOS PATHOGENS,1,Yes,Q1
POLICY AND INTERNET,1,Yes,Q1
POLICY INSIGHTS FROM BEHAVIORAL AND BRAIN SCIENCES,1,Yes,Q1
POLITICAL ANALYSIS,1,Yes,Q1
POLITICAL BEHAVIOR,1,Yes,Q1
POLITICAL COMMUNICATION,1,Yes,Q1
POLITICAL GEOGRAPHY,1,Yes,Q1
POLITICAL PSYCHOLOGY,1,Yes,Q1
POLITICS AND SOCIETY,1,Yes,Q1
POLYMER DEGRADATION AND STABILITY,1,Yes,Q1
POPULATION AND DEVELOPMENT REVIEW,1,Yes,Q1
POSTHARVEST BIOLOGY AND TECHNOLOGY,1,Yes,Q1
PROCEEDINGS OF IEEE,1,Yes,Q1
PROCEEDINGS OF LONDON MATHEMATICAL SOCIETY,1,Yes,Q1
PROCEEDINGS OF NATIONAL ACADEMY OF SCIENCES OF UNITED STATES OF AMERICA,1,Yes,Q1
PROGRESS IN AEROSPACE SCIENCES,1,Yes,Q1
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,1,Yes,Q1
PROGRESS IN HUMAN GEOGRAPHY,1,Yes,Q1
PROGRESS IN LIPID RESEARCH,1,Yes,Q1
PROGRESS IN MATERIALS SCIENCE,1,Yes,Q1
PROGRESS IN PARTICLE AND NUCLEAR PHYSICS,1,Yes,Q1
PROGRESS IN PLANNING,1,Yes,Q1
PROGRESS IN POLYMER SCIENCE,1,Yes,Q1
PROGRESS IN RETINAL AND EYE RESEARCH,1,Yes,Q1
PROGRESS IN SURFACE SCIENCE,1,Yes,Q1
PROTECTION AND CONTROL OF MODERN POWER SYSTEMS,1,Yes,Q1
PROTEIN AND CELL,1,Yes,Q1
PRX QUANTUM,1,Yes,Q1
PSYCHOLOGICAL BULLETIN,1,Yes,Q1
PSYCHOLOGICAL METHODS,1,Yes,Q1
PSYCHOLOGICAL REVIEW,1,Yes,Q1
PSYCHOLOGICAL SCIENCE,1,Yes,Q1
PSYCHOLOGICAL SCIENCE IN PUBLIC INTEREST,1,Yes,Q1
PSYCHOTHERAPY AND PSYCHOSOMATICS,1,Yes,Q1
PUBLIC ADMINISTRATION REVIEW,1,Yes,Q1
PUBLICATIONS MATHEMATIQUES DE L IHES,1,Yes,Q1
PHILOSOPHIA MATHEMATICA,1,Yes,Q2
PHILOSOPHY AND PUBLIC AFFAIRS,1,Yes,Q2
PHOTONIC SENSORS,1,Yes,Q2
PLANNING THEORY,1,Yes,Q2
POLITICS AND RELIGION,1,Yes,Q2
POLITICS PHILOSOPHY AND ECONOMICS,1,Yes,Q2
PROCEEDINGS OF ACM ON PROGRAMMING LANGUAGES PACMPL,1,Yes,Q2
PHENOMENOLOGY AND COGNITIVE SCIENCES,1,Yes,
PHILOSOPHERS IMPRINT,1,Yes,
PHILOSOPHICAL PERSPECTIVES,1,Yes,
PHILOSOPHICAL QUARTERLY,1,Yes,
PHILOSOPHICAL REVIEW,1,Yes,
PHILOSOPHICAL STUDIES,1,Yes,
PHILOSOPHY AND PHENOMENOLOGICAL RESEARCH,1,Yes,
PHILOSOPHY COMPASS,1,Yes,
PLAINSONG AND MEDIEVAL MUSIC,1,Yes,
POPULAR MUSIC AND SOCIETY,1,Yes,
PROJECTIONS JOURNAL FOR MOVIES AND MIND,1,Yes,
PACIFIC BASIN FINANCE JOURNAL,2,,Q1
PACIFIC REVIEW,2,Yes,Q1
PAEDIATRIC AND PERINATAL EPIDEMIOLOGY,2,,Q1
PAKISTAN VETERINARY JOURNAL,2,,Q1
PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY,2,,Q1
PALAEONTOLOGY,2,,Q1
PALEOAMERICA,2,,Q1
PALEOBIOLOGY,2,,Q1
PALEOCEANOGRAPHY AND PALEOCLIMATOLOGY,2,,Q1
PALESTINE EXPLORATION QUARTERLY,2,,Q1
PALLIATIVE MEDICINE,2,,Q1
PAPERS IN PALAEONTOLOGY,2,,Q1
PARASITES AND VECTORS,2,,Q1
PATTERNS,2,,Q1
PEDIATRIC ALLERGY AND IMMUNOLOGY,2,,Q1
PEDIATRIC CRITICAL CARE MEDICINE,2,,Q1
PEDIATRIC DIABETES,2,,Q1
PEDIATRICS,2,Yes,Q1
PEDOSPHERE,2,,Q1
PEOPLE AND NATURE,2,,Q1
PERFORMANCE ENHANCEMENT AND HEALTH,2,,Q1
PERSONALITY DISORDERS THEORY RESEARCH AND TREATMENT,2,,Q1
PERSPECTIVES IN ECOLOGY AND CONSERVATION,2,,Q1
PERSPECTIVES ON BEHAVIOR SCIENCE,2,,Q1
PERSPECTIVES ON SEXUAL AND REPRODUCTIVE HEALTH,2,,Q1
PETROLEUM,2,,Q1
PHARMACOLOGICAL RESEARCH,2,Yes,Q1
PHENOMICS,2,,Q1
PHILOSOPHY OF SCIENCE,2,,Q1
PHYSICAL EDUCATION AND SPORT PEDAGOGY,2,,Q1
PHYSICAL REVIEW D,2,,Q1
PHYSICAL REVIEW PHYSICS EDUCATION RESEARCH,2,,Q1
PHYSICAL REVIEW RESEARCH,2,,Q1
PHYSICS AND IMAGING IN RADIATION ONCOLOGY,2,,Q1
PHYSICS LETTERS B,2,,Q1
PHYSICS OF DARK UNIVERSE,2,,Q1
PHYSICS OF FLUIDS,2,,Q1
PHYSIOLOGIA PLANTARUM,2,,Q1
PHYSIOLOGY,2,,Q1
PHYTOCHEMISTRY,2,,Q1
PHYTOCHEMISTRY REVIEWS,2,,Q1
PHYTOPATHOLOGY RESEARCH,2,,Q1
PHYTOTHERAPY RESEARCH,2,,Q1
PLANNING THEORY AND PRACTICE,2,,Q1
PLANT AND CELL PHYSIOLOGY,2,,Q1
PLANT AND SOIL,2,,Q1
PLANT BIOLOGY,2,,Q1
PLANT CELL REPORTS,2,,Q1
PLANT DISEASE,2,,Q1
PLANT FOODS FOR HUMAN NUTRITION,2,,Q1
PLANT GENOME,2,,Q1
PLANT METHODS,2,,Q1
PLANT PHYSIOLOGY AND BIOCHEMISTRY,2,Yes,Q1
PLANT SCIENCE,2,,Q1
PLANT STRESS,2,,Q1
PLANTS BASEL,2,,Q1
PLANTS PEOPLE PLANET,2,,Q1
PLASMA SOURCES SCIENCE AND TECHNOLOGY,2,,Q1
PLASTIC AND RECONSTRUCTIVE SURGERY,2,,Q1
PLOS COMPUTATIONAL BIOLOGY,2,,Q1
PLOS NEGLECTED TROPICAL DISEASES,2,,Q1
POLICE QUARTERLY,2,,Q1
POLICY AND POLITICS,2,,Q1
POLICY AND SOCIETY,2,,Q1
POLICY SCIENCES,2,,Q1
POLICY STUDIES JOURNAL,2,,Q1
POLITICAL SCIENCE RESEARCH AND METHODS,2,,Q1
POLITICAL STUDIES,2,Yes,Q1
POLITICS,2,,Q1
POLITICS AND GENDER,2,Yes,Q1
POLYMER COMPOSITES,2,,Q1
POLYMER REVIEWS,2,,Q1
POLYMER TESTING,2,,Q1
POPULATION SPACE AND PLACE,2,,Q1
PORCINE HEALTH MANAGEMENT,2,,Q1
POST SOVIET AFFAIRS,2,,Q1
POULTRY SCIENCE,2,Yes,Q1
PRECISION AGRICULTURE,2,,Q1
PRECISION CLINICAL MEDICINE,2,,Q1
PRECISION ENGINEERING JOURNAL OF INTERNATIONAL SOCIETIES FOR PRECISION ENGINEERING AND NANOTECHNOLOGY,2,,Q1
PRENATAL DIAGNOSIS,2,,Q1
PREVENTIVE MEDICINE,2,,Q1
PREVENTIVE VETERINARY MEDICINE,2,,Q1
PROBIOTICS AND ANTIMICROBIAL PROTEINS,2,,Q1
PROCEEDINGS OF COMBUSTION INSTITUTE,2,,Q1
PROCEEDINGS OF JAPAN ACADEMY SERIES B PHYSICAL AND BIOLOGICAL SCIENCES,2,,Q1
PROCEEDINGS OF NUTRITION SOCIETY,2,,Q1
PROCEEDINGS OF ROYAL SOCIETY B BIOLOGICAL SCIENCES,2,Yes,Q1
PROCESS SAFETY AND ENVIRONMENTAL PROTECTION,2,Yes,Q1
PROFESSIONAL DEVELOPMENT IN EDUCATION,2,,Q1
PROGRESS IN CARDIOVASCULAR DISEASES,2,,Q1
