Journal_Normalized,CAS2025_Quartile,CAS2025_Top,JCR_BestQuartile
QED A JOURNAL IN GLBTQ WORLDMAKING,4,,Q3
QJM AN INTERNATIONAL JOURNAL OF MEDICINE,3,,Q1
QME QUANTITATIVE MARKETING AND ECONOMICS,4,,Q3
QUADERNI D ITALIANISTICA,4,,
QUADERNI DI GEOFISICA,4,,Q4
QUADERNI STORICI,4,,Q3
QUADERNI URBINATI DI CULTURA CLASSICA,3,,
QUADERNS DE FILOLOGIA ESTUDIS LINGUISTICS,4,,
QUADERNS DE FILOLOGIA ESTUDIS LITERARIS,4,,
QUADERNS DE PSICOLOGIA,4,,Q4
QUADERNS REVISTA DE TRADUCCIO,3,,
QUAERENDO A JOURNAL DEVOTED TO MANUSCRIPTS AND PRINTED BOOKS,2,,
QUAESTIO IURIS,4,,Q4
QUAESTIO ROSSICA,4,,
QUAESTIONES DISPUTATAE,4,,
QUAESTIONES GEOGRAPHICAE,4,,Q3
QUAESTIONES MATHEMATICAE,4,,Q2
QUALITATIVE AND QUANTITATIVE METHODS IN LIBRARIES,4,,Q4
QUALITATIVE HEALTH RESEARCH,2,,Q1
QUALITATIVE INQUIRY,3,,Q2
QUALITATIVE MARKET RESEARCH,4,,Q3
QUALITATIVE PSYCHOLOGY,1,Yes,Q1
QUALITATIVE REPORT,4,,Q2
QUALITATIVE RESEARCH,1,Yes,Q1
QUALITATIVE RESEARCH IN ACCOUNTING AND MANAGEMENT,4,,Q2
QUALITATIVE RESEARCH IN EDUCATION,4,,Q3
QUALITATIVE RESEARCH IN FINANCIAL MARKETS,4,,Q2
QUALITATIVE RESEARCH IN ORGANIZATIONS AND MANAGEMENT,4,,Q3
QUALITATIVE RESEARCH IN PSYCHOLOGY,2,,Q1
QUALITATIVE RESEARCH IN SPORT EXERCISE AND HEALTH,2,,Q1
QUALITATIVE RESEARCH JOURNAL,4,,Q2
QUALITATIVE SOCIAL WORK,3,,Q2
QUALITATIVE SOCIOLOGY,2,,Q1
QUALITATIVE THEORY OF DYNAMICAL SYSTEMS,2,,Q1
QUALITY AND RELIABILITY ENGINEERING INTERNATIONAL,3,,Q2
QUALITY ASSURANCE AND SAFETY OF CROPS AND FOODS,3,,Q1
QUALITY ASSURANCE IN EDUCATION,4,,Q2
QUALITY ENGINEERING,3,,Q1
QUALITY IN AGEING AND OLDER ADULTS,4,,Q4
QUALITY IN HIGHER EDUCATION,4,,Q2
QUALITY INNOVATION PROSPERITY KVALITA INOVACIA PROSPERITA,4,,Q4
QUALITY MANAGEMENT IN HEALTH CARE,4,,Q4
QUALITY MANAGEMENT JOURNAL,,,Q2
QUALITY OF LIFE RESEARCH,3,,Q2
QUALITY TECHNOLOGY AND QUANTITATIVE MANAGEMENT,2,,Q1
QUANTITATIVE BIOLOGY,4,,Q4
QUANTITATIVE ECONOMICS,2,,Q2
QUANTITATIVE FINANCE,4,,Q3
QUANTITATIVE FINANCE AND ECONOMICS,2,,Q2
QUANTITATIVE IMAGING IN MEDICINE AND SURGERY,3,,Q2
QUANTITATIVE INFRARED THERMOGRAPHY JOURNAL,2,,Q1
QUANTITATIVE METHODS FOR PSYCHOLOGY,4,,Q2
QUANTITATIVE PLANT BIOLOGY,,,Q2
QUANTITATIVE SCIENCE STUDIES,3,,Q1
QUANTUM,3,,Q1
QUANTUM BEAM SCIENCE,4,,Q3
QUANTUM INFORMATION AND COMPUTATION,4,,Q4
QUANTUM INFORMATION PROCESSING,3,,Q1
QUANTUM MACHINE INTELLIGENCE,3,,Q2
QUANTUM REPORTS,,,Q4
QUANTUM SCIENCE AND TECHNOLOGY,2,Yes,Q1
QUANTUM STUDIES MATHEMATICS AND FOUNDATIONS,4,,Q3
QUANTUM TOPOLOGY,3,,Q2
QUARTERLY JOURNAL OF ECONOMICS,1,Yes,Q1
QUARTERLY JOURNAL OF ENGINEERING GEOLOGY AND HYDROGEOLOGY,4,,Q3
QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY,4,,Q3
QUARTERLY JOURNAL OF FINANCE,4,,Q4
QUARTERLY JOURNAL OF MATHEMATICS,4,,Q3
QUARTERLY JOURNAL OF MECHANICS AND APPLIED MATHEMATICS,4,,Q3
QUARTERLY JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING,4,,Q3
QUARTERLY JOURNAL OF POLITICAL SCIENCE,3,,Q2
QUARTERLY JOURNAL OF ROYAL METEOROLOGICAL SOCIETY,3,,Q2
QUARTERLY JOURNAL OF SPEECH,1,Yes,Q2
QUARTERLY OF APPLIED MATHEMATICS,4,,Q3
QUARTERLY REVIEW OF BIOLOGY,2,,Q1
QUARTERLY REVIEW OF ECONOMICS AND FINANCE,3,,Q1
QUARTERLY REVIEWS OF BIOPHYSICS,2,,Q1
QUATERNAIRE,4,,Q4
QUATERNARY,3,,Q3
QUATERNARY GEOCHRONOLOGY,3,,Q2
QUATERNARY INTERNATIONAL,3,,Q3
QUATERNARY RESEARCH,3,,Q3
QUATERNARY SCIENCE ADVANCES,3,,Q2
QUATERNARY SCIENCE REVIEWS,2,Yes,Q2
QUEEN MARY JOURNAL OF INTELLECTUAL PROPERTY,4,,Q3
QUEENS LAW JOURNAL,4,,Q4
QUEENS QUARTERLY,4,,
QUEENSLAND REVIEW,4,,
QUEST,4,,Q2
QUEST ISSUES IN CONTEMPORARY JEWISH HISTORY,4,,Q3
QUESTION,4,,Q4
QUETES LITTERAIRES,4,,
QUEUEING SYSTEMS,3,,Q4
QUIMICA NOVA,4,,Q4
QUINTANA REVISTA DO DEPARTAMENTO DE HISTORIA DA ARTE,4,,
QUINTESSENCE INTERNATIONAL,4,,Q3
QUIROGA REVISTA DE PATRIMONIO IBEROAMERICANO,4,,
QWERTY,4,,Q4
