Journal_Normalized,CAS2025_Quartile,CAS2025_Top,JCR_BestQuartile
R AND D MANAGEMENT,2,,Q1
R JOURNAL,4,,Q3
RA REVISTA DE ARQUITECTURA,4,,
RABELS ZEITSCHRIFT FUR AUSLANDISCHES UND INTERNATIONALES PRIVATRECHT,4,,Q2
RACAR REVUE D ART CANADIENNE CANADIAN ART REVIEW,3,,
RACE AND CLASS,3,,Q1
RACE AND JUSTICE,2,,Q1
RACE AND SOCIAL PROBLEMS,2,,Q2
RACE ETHNICITY AND EDUCATION,3,,Q1
RAD HRVATSKE AKADEMIJE ZNANOSTI I UMJETNOSTI MATEMATICKE ZNANOSTI,4,,Q4
RADIATION AND ENVIRONMENTAL BIOPHYSICS,4,,Q2
RADIATION DETECTION TECHNOLOGY AND METHODS,3,,Q2
RADIATION EFFECTS AND DEFECTS IN SOLIDS,4,,Q3
RADIATION MEASUREMENTS,3,,Q1
RADIATION ONCOLOGY,2,,Q1
RADIATION ONCOLOGY JOURNAL,4,,Q3
RADIATION PHYSICS AND CHEMISTRY,3,,Q1
RADIATION PROTECTION DOSIMETRY,4,,Q4
RADIATION RESEARCH,3,,Q2
RADICAL HISTORY REVIEW,3,,Q1
RADICAL PHILOSOPHY,2,,Q3
RADICAL TEACHER,4,,Q4
RADIO ELECTRONICS COMPUTER SCIENCE CONTROL,4,,Q4
RADIO SCIENCE,4,,Q3
RADIOCARBON,3,,Q3
RADIOCHEMISTRY,4,,Q4
RADIOCHIMICA ACTA,4,,Q2
RADIOENGINEERING,4,,Q4
RADIOGRAPHICS,1,Yes,Q1
RADIOGRAPHY,3,,Q2
RADIOLOGIA,4,,Q4
RADIOLOGIA MEDICA,2,,Q1
RADIOLOGIC CLINICS OF NORTH AMERICA,4,,Q3
RADIOLOGIC TECHNOLOGY,4,,Q4
RADIOLOGICAL PHYSICS AND TECHNOLOGY,4,,Q3
RADIOLOGIE,4,,Q4
RADIOLOGY,1,Yes,Q1
RADIOLOGY AND ONCOLOGY,4,,Q2
RADIOLOGY ARTIFICIAL INTELLIGENCE,1,Yes,Q1
RADIOLOGY CARDIOTHORACIC IMAGING,3,,Q1
RADIOLOGY IMAGING CANCER,2,,Q1
RADIOLOGY RESEARCH AND PRACTICE,4,,Q3
RADIOPHYSICS AND QUANTUM ELECTRONICS,4,,Q4
RADIOPROTECTION,4,,Q2
RADIOTHERAPY AND ONCOLOGY,2,Yes,Q1
RADOVI INSTITUTA ZA POVIJEST UMJETNOSTI JOURNAL OF INSTITUTE OF ART HISTORY,4,,
RADOVI ZAVODA ZA HRVATSKU POVIJEST,4,,Q3
RADOVI ZAVODA ZA POVIJESNE ZNANOSTI HAZU U ZADRU,4,,Q4
RAE REVISTA DE ADMINISTRACAO DE EMPRESAS,4,,Q4
RAEL REVISTA ELECTRONICA DE LINGUISTICA APLICADA,4,,Q4
RAFFLES BULLETIN OF ZOOLOGY,4,,Q3
RAGION PRATICA,4,,
RAILWAY ENGINEERING SCIENCE,2,,Q1
RAIRO OPERATIONS RESEARCH,4,,Q2
RAIRO THEORETICAL INFORMATICS AND APPLICATIONS,4,,Q4
RAMANUJAN JOURNAL,3,,Q2
RAMBAM MAIMONIDES MEDICAL JOURNAL,4,,Q2
RAND JOURNAL OF ECONOMICS,2,,Q1
RANDOM MATRICES THEORY AND APPLICATIONS,4,,Q4
RANDOM OPERATORS AND STOCHASTIC EQUATIONS,4,,Q4
RANDOM STRUCTURES AND ALGORITHMS,3,,Q2
RANGE MANAGEMENT AND AGROFORESTRY,4,,Q4
RANGELAND ECOLOGY AND MANAGEMENT,3,,Q2
RANGELAND JOURNAL,4,,Q4
RAPID COMMUNICATIONS IN MASS SPECTROMETRY,4,,Q3
RAPID PROTOTYPING JOURNAL,4,,Q1
RARE METAL MATERIALS AND ENGINEERING,4,,Q3
RARE METALS,1,Yes,Q1
RARE TUMORS,4,,Q4
RARITAN A QUARTERLY REVIEW,4,,
RASP RESEARCH ON AGEING AND SOCIAL POLICY,4,,Q4
RASPRAVE,4,,
RASSEGNA DELLA LETTERATURA ITALIANA,4,,
RATIO,3,,
RATIO JURIS,4,,Q3
RATIONAL PHARMACOTHERAPY IN CARDIOLOGY,4,,Q4
RATIONALITY AND SOCIETY,3,,Q3
RAUMFORSCHUNG UND RAUMORDNUNG SPATIAL RESEARCH AND PLANNING,4,,Q3
RAUSP MANAGEMENT JOURNAL,4,,Q3
RAWAL MEDICAL JOURNAL,4,,Q4
RAZON HISTORICA REVISTA HISPANOAMERICANA DE HISTORIA DE LAS IDEAS,4,,Q4
