Journal_Normalized,CAS2025_Quartile,CAS2025_Top,JCR_BestQuartile
S AND F SCIENZAEFILOSOFIA IT,4,,Q4
SA JOURNAL OF HUMAN RESOURCE MANAGEMENT,4,,Q3
SA JOURNAL OF INDUSTRIAL PSYCHOLOGY,4,,Q3
SA JOURNAL OF RADIOLOGY,4,,Q4
SA PHARMACEUTICAL JOURNAL,4,,Q4
SABERES,4,,Q4
SABRAO JOURNAL OF BREEDING AND GENETICS,4,,Q2
SADHANA ACADEMY PROCEEDINGS IN ENGINEERING SCIENCES,4,,Q3
SAE INTERNATIONAL JOURNAL OF AEROSPACE,4,,Q4
SAE INTERNATIONAL JOURNAL OF COMMERCIAL VEHICLES,4,,Q4
SAE INTERNATIONAL JOURNAL OF CONNECTED AND AUTOMATED VEHICLES,,,Q4
SAE INTERNATIONAL JOURNAL OF ELECTRIFIED VEHICLES,4,,Q3
SAE INTERNATIONAL JOURNAL OF ENGINES,4,,Q4
SAE INTERNATIONAL JOURNAL OF FUELS AND LUBRICANTS,4,,Q4
SAE INTERNATIONAL JOURNAL OF MATERIALS AND MANUFACTURING,4,,Q4
SAE INTERNATIONAL JOURNAL OF PASSENGER VEHICLE SYSTEMS,4,,Q4
SAE INTERNATIONAL JOURNAL OF TRANSPORTATION SAFETY,4,,Q4
SAE INTERNATIONAL JOURNAL OF VEHICLE DYNAMICS STABILITY AND NVH,2,,Q1
SAECULUM,4,,Q2
SAFER COMMUNITIES,4,,Q4
SAFETY,4,,Q3
SAFETY AND HEALTH AT WORK,3,,Q2
SAFETY SCIENCE,2,Yes,Q1
SAFUNDI,4,,Q4
SAGE OPEN,4,,Q1
SAGE OPEN MEDICAL CASE REPORTS,4,,Q3
SAGE OPEN MEDICINE,4,,Q2
SAGE OPEN NURSING,3,,Q1
SAGGIATORE MUSICALE,3,,
SAGVNTVM PAPELES DEL LABORATORIO DE ARQUEOLOGIA DE VALENCIA,4,,
SAHAND COMMUNICATIONS IN MATHEMATICAL ANALYSIS,4,,Q3
SAHARA J JOURNAL OF SOCIAL ASPECTS OF HIV AIDS,4,,Q3
SAIEE AFRICA RESEARCH JOURNAL,4,,Q4
SAINS MALAYSIANA,4,,Q3
SAINS TANAH,4,,Q4
SAJOG SOUTH AFRICAN JOURNAL OF OBSTETRICS AND GYNAECOLOGY,4,,Q4
SAKARYA UNIVERSITESI ILAHIYAT FAKULTESI DERGISI JOURNAL OF SAKARYA UNIVERSITY FACULTY OF THEOLOGY,4,,
SALA PRETA,4,,
SALAMANDRA,4,,Q2
SALMAGUNDI A QUARTERLY OF HUMANITIES AND SOCIAL SCIENCES,4,,
SALMAND IRANIAN JOURNAL OF AGEING,4,,Q4
SALUD ARTE Y CUIDADO,4,,Q4
SALUD COLECTIVA,4,,Q4
SALUD MENTAL,4,,Q4
SALUD PUBLICA DE MEXICO,4,,Q1
SALUS JOURNAL,4,,Q4
