Journal_Normalized,CAS2025_Quartile,CAS2025_Top,JCR_BestQuartile
TAIDA JOURNAL OF ART HISTORY,3,,
TAIWAN JOURNAL OF EAST ASIAN STUDIES,4,,
TAIWAN JOURNAL OF LINGUISTICS,3,,
TAIWAN JOURNAL OF OPHTHALMOLOGY,4,,Q3
TAIWAN JOURNAL OF TESOL,4,,
TAIWANESE JOURNAL OF MATHEMATICS,4,,Q3
TAIWANESE JOURNAL OF OBSTETRICS AND GYNECOLOGY,4,,Q2
TAIWANIA,4,,Q3
TALANTA,2,Yes,Q1
TALANTA OPEN,3,,Q2
TALIA DIXIT REVISTA INTERDISCIPLINAR DE RETORICA E HISTORIOGRAFIA,,,
TALLER DE LA HISTORIA,4,,Q3
TALLER DE LETRAS,4,,
TALTECH JOURNAL OF EUROPEAN STUDIES,4,,Q2
TAMKANG JOURNAL OF MATHEMATICS,4,,Q2
TANG STUDIES,,,
TANGENCE,4,,
TANZ,4,,
TAPPI JOURNAL,4,,Q4
TAPUYA LATIN AMERICAN SCIENCE TECHNOLOGY AND SOCIETY,4,,Q1
TARGET INTERNATIONAL JOURNAL OF TRANSLATION STUDIES,1,Yes,Q3
TARGETED ONCOLOGY,3,,Q2
TARIH INCELEMELERI DERGISI,4,,Q2
TAXON,2,,Q2
TAXONOMY,,,Q2
TD JOURNAL FOR TRANSDISCIPLINARY RESEARCH IN SOUTHERN AFRICA,4,,Q3
TDR DRAMA REVIEW JOURNAL OF PERFORMANCE STUDIES,2,,
TEACHER DEVELOPMENT,4,,Q3
TEACHER EDUCATION AND SPECIAL EDUCATION,3,,Q1
TEACHERS AND TEACHING,3,,Q2
TEACHERS COLLEGE RECORD,4,,Q2
TEACHING AND LEARNING IN MEDICINE,3,,Q2
TEACHING AND LEARNING IN NURSING,3,,Q2
TEACHING AND LEARNING INQUIRY ISSOTL JOURNAL,4,,Q3
TEACHING AND TEACHER EDUCATION,1,Yes,Q1
TEACHING EDUCATION,3,,Q3
TEACHING EXCEPTIONAL CHILDREN,4,,Q4
TEACHING IN HIGHER EDUCATION,3,,Q1
TEACHING MATHEMATICS AND ITS APPLICATIONS,4,,Q3
TEACHING OF MATHEMATICS,4,,Q4
TEACHING OF PSYCHOLOGY,4,,Q3
TEACHING PHILOSOPHY,4,,
TEACHING PUBLIC ADMINISTRATION,4,,Q2
TEACHING SOCIOLOGY,4,,Q3
TEACHING STATISTICS,4,,Q3
TEACHING THEOLOGY AND RELIGION,4,,Q4
TEAM PERFORMANCE MANAGEMENT,4,,Q3
TEATRO E STORIA,4,,
TEC EMPRESARIAL,4,,Q3
TECCIENCIA,4,,
TECHNE JOURNAL OF TECHNOLOGY FOR ARCHITECTURE AND ENVIRONMENT,4,,
TECHNICAL COMMUNICATION,3,,Q1
TECHNICAL COMMUNICATION QUARTERLY,2,,Q2
TECHNICAL INNOVATIONS AND PATIENT SUPPORT IN RADIATION ONCOLOGY,,,Q2
TECHNICAL PHYSICS,4,,Q4
TECHNICAL PHYSICS LETTERS,4,,Q4
TECHNICAL SERVICES QUARTERLY,4,,Q2
TECHNIQUES AND INNOVATIONS IN GASTROINTESTINAL ENDOSCOPY,4,,Q4
TECHNIQUES IN COLOPROCTOLOGY,3,,Q1
TECHNIQUES IN FOOT AND ANKLE SURGERY,4,,Q4
TECHNIQUES IN ORTHOPAEDICS,4,,Q4
TECHNIQUES IN VASCULAR AND INTERVENTIONAL RADIOLOGY,4,,Q3
TECHNOETIC ARTS,4,,
TECHNOLOGICAL AND ECONOMIC DEVELOPMENT OF ECONOMY,3,,Q1
TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,1,Yes,Q1
TECHNOLOGIES,3,,Q1
TECHNOLOGY ANALYSIS AND STRATEGIC MANAGEMENT,4,,Q2
TECHNOLOGY AND CULTURE,2,,Q2
TECHNOLOGY AND DISABILITY,4,,Q4
TECHNOLOGY AND ECONOMICS OF SMART GRIDS AND SUSTAINABLE ENERGY,,,Q3
TECHNOLOGY AND HEALTH CARE,4,,Q3
TECHNOLOGY AND INNOVATION,4,,Q3
TECHNOLOGY ARCHITECTURE DESIGN,4,,Q4
TECHNOLOGY IN CANCER RESEARCH AND TREATMENT,4,,Q2
TECHNOLOGY IN HORTICULTURE,,,Q3
TECHNOLOGY IN SOCIETY,2,Yes,Q1
TECHNOLOGY INNOVATION MANAGEMENT REVIEW,4,,
TECHNOLOGY KNOWLEDGE AND LEARNING,3,,Q1
TECHNOLOGY MIND AND BEHAVIOR,,,Q1
TECHNOLOGY PEDAGOGY AND EDUCATION,3,,Q1
TECHNOMETRICS,2,,Q1
TECHNOVATION,1,Yes,Q1
TECHTRENDS,4,,Q1
TECNOLOGIA CIENCIA Y EDUCACION,,,Q4
TECNOLOGIA EN MARCHA,4,,Q4
TECNOLOGIA Y CIENCIAS DEL AGUA,4,,Q4
TECNOSCIENZA ITALIAN JOURNAL OF SCIENCE AND TECHNOLOGY STUDIES,4,,Q3
TECTONICS,2,Yes,Q1
TECTONOPHYSICS,2,,Q2
TEHNICKI GLASNIK TECHNICAL JOURNAL,4,,Q3
TEHNICKI VJESNIK TECHNICAL GAZETTE,4,,Q3
TEJUELO DIDACTICA DE LA LENGUA Y LA LITERATURA,4,,
TEKA KOMISJI URBANISTYKI I ARCHITEKTURY,4,,
TEKNOKULTURA REVISTA DE CULTURA DIGITAL Y MOVIMIENTOS SOCIALES,4,,Q4
TEKST KNIGA KNIGOIZDANIE TEXT BOOK PUBLISHING,4,,
TEKSTIL VE KONFEKSIYON,4,,Q4
TEKSTILEC,4,,Q3
TEKSTY DRUGIE,4,,
TEL AVIV JOURNAL OF INSTITUTE OF ARCHAEOLOGY OF TEL AVIV UNIVERSITY,1,Yes,
TELECOM,4,,Q3
TELECOMMUNICATION SYSTEMS,4,,Q3
TELECOMMUNICATIONS POLICY,2,,Q1
TELEMATICS AND INFORMATICS,2,,Q1
TELEMATICS AND INFORMATICS REPORTS,,,Q1
TELEMATIQUE,4,,Q4
TELEMEDICINE AND E HEALTH,3,,Q3
TELEMEDICINE REPORTS,4,,Q3
TELEVISION AND NEW MEDIA,2,,Q2
TELLUS SERIES A DYNAMIC METEOROLOGY AND OCEANOGRAPHY,4,,Q4
TELLUS SERIES B CHEMICAL AND PHYSICAL METEOROLOGY,4,,Q2
TELOPEA,4,,Q4
TELOS,4,,Q4
TELOS REVISTA DE ESTUDIOS INTERDISCIPLINARIOS EN CIENCIAS SOCIALES,4,,Q3
TEM JOURNAL TECHNOLOGY EDUCATION MANAGEMENT INFORMATICS,4,,Q4
TEMA JOURNAL OF LAND USE MOBILITY AND ENVIRONMENT,4,,
TEMAS AGRARIOS,4,,Q4
TEMAS AMERICANISTAS,4,,Q2
TEMAS DE NUESTRA AMERICA REVISTA DE ESTUDIOS LATINOAMERICANOS,4,,Q4
TEMAS Y DEBATES,4,,Q4
TEMENOS,4,,
TEMIDA,4,,Q4
TEMPO,3,,
TEMPO E ARGUMENTO,4,,Q3
TEMPO NITEROI,4,,Q3
TEMPO SOCIAL,4,,Q4
TENSIDE SURFACTANTS DETERGENTS,4,,Q4
TEOLITERARIA REVISTA BRASILEIRA DE LITERATURAS E TEOLOGIAS,4,,
TEOLOGIA,4,,
TEOLOGIA Y VIDA,3,,
TEOREMA,4,,
TEORIA DE LA EDUCACION,4,,Q2
TEORIA E PRATICA EM ADMINISTRACAO TPA,4,,Q4
TEORIA RIVISTA DI FILOSOFIA,4,,
TEORIA Y REALIDAD CONSTITUCIONAL,4,,Q3
TEORIJA IN PRAKSA,4,,Q3
TER ES TARSADALOM,4,,Q3
TERAPEVTICHESKII ARKHIV,4,,Q4
TERAPIA PSICOLOGICA,4,,Q4
