Journal_Normalized,CAS2025_Quartile,CAS2025_Top,JCR_BestQuartile
UCHENYE ZAPISKI KAZANSKOGO UNIVERSITETA SERIYA ESTESTVENNYE NAUKI,4,,Q4
UCHENYE ZAPISKI KAZANSKOGO UNIVERSITETA SERIYA FIZIKO MATEMATICHESKIE NAUKI,4,,Q4
UCJC BUSINESS AND SOCIETY REVIEW,4,,Q4
UCLA LAW REVIEW,2,,Q1
UFA MATHEMATICAL JOURNAL,4,,Q4
UHOD ULUSLARARASI HEMATOLOJI ONKOLOJI DERGISI,4,,Q4
UIS INGENIERIAS,4,,Q4
UKRAINIAN FOOD JOURNAL,4,,Q4
UKRAINIAN JOURNAL OF PHYSICAL OPTICS,4,,Q1
UKRAINIAN JOURNAL OF PHYSICS,4,,Q4
UKRAINIAN MATHEMATICAL JOURNAL,4,,Q3
UKRAINIAN METROLOGICAL JOURNAL,4,,Q4
UKRAINSKYI ISTORYCHNYI ZHURNAL,4,,Q2
ULTRAFAST SCIENCE,,,Q1
ULTRAMICROSCOPY,3,,Q3
ULTRASCHALL IN DER MEDIZIN,2,,Q1
ULTRASONIC IMAGING,3,,Q2
ULTRASONICS,2,Yes,Q1
ULTRASONICS SONOCHEMISTRY,1,Yes,Q1
ULTRASONOGRAPHY,3,,Q2
ULTRASOUND,4,,Q4
ULTRASOUND IN MEDICINE AND BIOLOGY,3,,Q2
ULTRASOUND IN OBSTETRICS AND GYNECOLOGY,1,Yes,Q1
ULTRASOUND INTERNATIONAL OPEN,4,,Q3
ULTRASOUND JOURNAL,2,,Q2
ULTRASOUND QUARTERLY,4,,Q4
ULTRASTRUCTURAL PATHOLOGY,4,,Q3
ULUSAL TRAVMA VE ACIL CERRAHI DERGISI TURKISH JOURNAL OF TRAUMA AND EMERGENCY SURGERY,4,,Q3
ULUSLARARASI ILISKILER INTERNATIONAL RELATIONS,4,,Q3
UMENI ART,4,,
UNCONVENTIONAL RESOURCES,4,,Q1
UNDERGROUND SPACE,1,Yes,Q1
UNDERSEA AND HYPERBARIC MEDICINE,4,,Q4
UNFALLCHIRURGIE,4,,Q4
UNI PLURIVERSIDAD,4,,Q4
UNICIENCIA,4,,Q3
UNIFORM LAW REVIEW,4,,Q3
UNITED EUROPEAN GASTROENTEROLOGY JOURNAL,2,,Q1
UNIVERSA MEDICINA,4,,Q4
UNIVERSAL ACCESS IN INFORMATION SOCIETY,4,,Q2
UNIVERSE,3,,Q2
UNIVERSITAS MEDICA,4,,Q4
UNIVERSITAS MONTHLY REVIEW OF PHILOSOPHY AND CULTURE,4,,
UNIVERSITAS PSYCHOLOGICA,4,,Q4
