Journal_Normalized,CAS2025_Quartile,CAS2025_Top,JCR_BestQuartile
VACCINE,3,,Q2
VACCINE X,4,,Q3
VACCINES,3,,Q2
VACUUM,3,,Q2
VADOSE ZONE JOURNAL,3,,Q2
VAKUUM IN FORSCHUNG UND PRAXIS,4,,Q4
VALENCIANA,4,,
VALUE IN HEALTH,2,,Q1
VALUE IN HEALTH REGIONAL ISSUES,4,,Q3
VANDERBILT LAW REVIEW,2,,Q1
VASA EUROPEAN JOURNAL OF VASCULAR MEDICINE,3,,Q2
VASCULAR,4,,Q4
VASCULAR AND ENDOVASCULAR SURGERY,4,,Q4
VASCULAR HEALTH AND RISK MANAGEMENT,3,,Q2
VASCULAR MEDICINE,3,,Q2
VASCULAR PHARMACOLOGY,3,,Q2
VASCULAR SPECIALIST INTERNATIONAL,4,,Q3
VAVILOVSKII ZHURNAL GENETIKI I SELEKTSII,4,,Q3
VECTOR BORNE AND ZOONOTIC DISEASES,4,,Q2
VEGETABLE RESEARCH,,,Q1
VEGETATION CLASSIFICATION AND SURVEY,,,Q2
VEGETATION HISTORY AND ARCHAEOBOTANY,2,,Q1
VEGUETA ANUARIO DE LA FACULTAD DE GEOGRAFIA E HISTORIA,4,,Q2
VEHICLE SYSTEM DYNAMICS,2,,Q1
VEHICLES,4,,Q2
VEHICULAR COMMUNICATIONS,2,,Q1
VELEIA,4,,
VENTURE CAPITAL,4,,Q2
VERBA ANUARIO GALEGO DE FILOLOXIA,4,,
VERBO DE MINAS,4,,
VERBUM,4,,Q3
VERBUM VITAE,,,
VEREDAS DO DIREITO,4,,Q4
VEREDAS REVISTA DA ASSOCIACAO INTERNACIONAL DE LUSITANISTAS,4,,
VERGE STUDIES IN GLOBAL ASIAS,,,Q4
VERHALTENSTHERAPIE,4,,Q3
VERIFICHE,4,,
VERNACULAR ARCHITECTURE,,,
VERSUS QUADERNI DI STUDI SEMIOTICI,4,,
VERTEBRATE ZOOLOGY,2,,Q1
VESSEL PLUS,,,Q4
VESTNIK DREVNEI ISTORII JOURNAL OF ANCIENT HISTORY,3,,
VESTNIK MEZHDUNARODNYKH ORGANIZATSII INTERNATIONAL ORGANISATIONS RESEARCH JOURNAL,4,,Q4
VESTNIK MOSKOVSKOGO UNIVERSITETA SERIYA 10 ZHURNALISTIKA,4,,Q4
VESTNIK OF SAINT PETERSBURG UNIVERSITY EARTH SCIENCES,4,,Q4
VESTNIK OF SAINT PETERSBURG UNIVERSITY LAW VESTNIK SANKT PETERBURGSKOGO UNIVERSITETA PRAVO,4,,Q4
VESTNIK PERMSKOGO UNIVERSITETA ISTORIYA PERM UNIVERSITY HERALD HISTORY,4,,Q3
VESTNIK PERMSKOGO UNIVERSITETA JURIDICHESKIE NAUKI,4,,Q3
VESTNIK PRAVOSLAVNOGO SVYATO TIKHONOVSKOGO GUMANITARNOGO UNIVERSITETA SERIYA I BOGOSLOVIE FILOSOFIYA RELIGIOVEDENIE,4,,
VESTNIK SAMARSKOGO GOSUDARSTVENNOGO TEKHNICHESKOGO UNIVERSITETA SERIYA FIZIKO MATEMATICHESKIYE NAUKI,4,,Q4
VESTNIK SANKT PETERBURGSKOGO UNIVERSITETA EKONOMIKA ST PETERSBURG UNIVERSITY JOURNAL OF ECONOMIC STUDIES,4,,Q4
VESTNIK SANKT PETERBURGSKOGO UNIVERSITETA FILOSOFIYA I KONFLIKTOLOGIYA,4,,
VESTNIK SANKT PETERBURGSKOGO UNIVERSITETA ISKUSSTVOVEDENIE,3,,
VESTNIK SANKT PETERBURGSKOGO UNIVERSITETA ISTORIYA,4,,Q2
VESTNIK SANKT PETERBURGSKOGO UNIVERSITETA SERIYA 10 PRIKLADNAYA MATEMATIKA INFORMATIKA PROTSESSY UPRAVLENIYA,4,,Q4
VESTNIK SANKT PETERBURGSKOGO UNIVERSITETA YAZYK I LITERATURA,4,,
VESTNIK SLAVIANSKIKH KULTUR BULLETIN OF SLAVIC CULTURES SCIENTIFIC AND INFORMATIONAL JOURNAL,4,,
VESTNIK ST PETERSBURG UNIVERSITY MATHEMATICS,4,,
VESTNIK TOMSKOGO GOSUDARSTVENNOGO UNIVERSITETA BIOLOGIYA,4,,Q4
VESTNIK TOMSKOGO GOSUDARSTVENNOGO UNIVERSITETA FILOLOGIYA TOMSK STATE UNIVERSITY JOURNAL OF PHILOLOGY,4,,
VESTNIK TOMSKOGO GOSUDARSTVENNOGO UNIVERSITETA FILOSOFIYA SOTSIOLOGIYA POLITOLOGIYA TOMSK STATE UNIVERSITY JOURNAL OF PHILOSOPHY SOCIOLOGY AND POLITICAL SCIENCE,4,,Q4
VESTNIK TOMSKOGO GOSUDARSTVENNOGO UNIVERSITETA ISTORIYA TOMSK STATE UNIVERSITY JOURNAL OF HISTORY,4,,Q3
VESTNIK TOMSKOGO GOSUDARSTVENNOGO UNIVERSITETA KULTUROLOGIYA I ISKUSSTVOVEDENIE TOMSK STATE UNIVERSITY JOURNAL OF CULTURAL STUDIES AND ART HISTORY,4,,
VESTNIK TOMSKOGO GOSUDARSTVENNOGO UNIVERSITETA MATEMATIKA I MEKHANIKA TOMSK STATE UNIVERSITY JOURNAL OF MATHEMATICS AND MECHANICS,4,,Q4
VESTNIK TOMSKOGO GOSUDARSTVENNOGO UNIVERSITETA PRAVO TOMSK STATE UNIVERSITY JOURNAL OF LAW,4,,Q4
VESTNIK TOMSKOGO GOSUDARSTVENNOGO UNIVERSITETA UPRAVLENIE VYCHISLITELNAJA TEHNIKA I INFORMATIKA TOMSK STATE UNIVERSITY JOURNAL OF CONTROL AND COMPUTER SCIENCE,4,,Q4
VESTNIK TRANSPLANTOLOGII I ISKUSSTVENNYH ORGANOV,4,,Q4
VESTNIK UDMURTSKOGO UNIVERSITETA MATEMATIKA MEKHANIKA KOMPYUTERNYE NAUKI,4,,Q2
VESTNIK UGROVEDENIYA BULLETIN OF UGRIC STUDIES,4,,
VESTNIK VOLGOGRADSKOGO GOSUDARSTVENNOGO UNIVERSITETA SERIYA 2 YAZYKOZNANIE,4,,
VETERINARIA ITALIANA,4,,Q3
VETERINARIA MEXICO,4,,Q4
VETERINARNI MEDICINA,4,,Q3
VETERINARSKI ARHIV,4,,Q4
VETERINARY ANAESTHESIA AND ANALGESIA,2,,Q2
VETERINARY AND ANIMAL SCIENCE,3,,Q1
VETERINARY AND COMPARATIVE ONCOLOGY,2,,Q2
VETERINARY AND COMPARATIVE ORTHOPAEDICS AND TRAUMATOLOGY,3,,Q3
VETERINARY CLINICAL PATHOLOGY,3,,Q3
VETERINARY CLINICS OF NORTH AMERICA EQUINE PRACTICE,3,,Q2
VETERINARY CLINICS OF NORTH AMERICA FOOD ANIMAL PRACTICE,3,,Q2
VETERINARY CLINICS OF NORTH AMERICA SMALL ANIMAL PRACTICE,2,,Q2
VETERINARY DERMATOLOGY,2,,Q2
VETERINARY IMMUNOLOGY AND IMMUNOPATHOLOGY,3,,Q2
VETERINARY JOURNAL,2,,Q1
VETERINARY MEDICINE AND SCIENCE,3,,Q2
VETERINARY MEDICINE INTERNATIONAL,3,,Q2
VETERINARY MEDICINE RESEARCH AND REPORTS,3,,Q1
VETERINARY MICROBIOLOGY,2,,Q1
VETERINARY OPHTHALMOLOGY,3,,Q2
VETERINARY PARASITOLOGY,3,,Q1
VETERINARY PARASITOLOGY REGIONAL STUDIES AND REPORTS,4,,Q2
VETERINARY PATHOLOGY,2,,Q2
VETERINARY QUARTERLY,2,,Q1
VETERINARY RADIOLOGY AND ULTRASOUND,3,,Q2
VETERINARY RECORD,3,,Q2
VETERINARY RECORD CASE REPORTS,4,,Q4
VETERINARY RECORD OPEN,3,,Q3
VETERINARY RESEARCH,2,,Q1
VETERINARY RESEARCH COMMUNICATIONS,3,,Q2
VETERINARY RESEARCH FORUM,4,,Q3
VETERINARY SCIENCES,3,,Q1
VETERINARY SURGERY,2,,Q2
VETERINARY WORLD,3,,Q2
VETUS TESTAMENTUM,3,,
VIA ATLANTICA,4,,
VIAL VIGO INTERNATIONAL JOURNAL OF APPLIED LINGUISTICS,3,,Q2
VIATOR MEDIEVAL AND RENAISSANCE STUDIES,4,,
VIBRATION,3,,Q3
VIBRATIONAL SPECTROSCOPY,3,,Q1
VICHIANA,,,Q4
VICTIMS AND OFFENDERS,4,,Q2
VICTORIAN HISTORICAL JOURNAL,4,,Q4
VICTORIAN LITERATURE AND CULTURE,2,,
VICTORIAN PERIODICALS REVIEW,2,,
VICTORIAN POETRY,3,,
VICTORIAN REVIEW AN INTERDISCIPLINARY JOURNAL OF VICTORIAN STUDIES,4,,
VICTORIAN STUDIES,3,,
VICTORIOGRAPHIES A JOURNAL OF NINETEENTH CENTURY WRITING 1790 1914,3,,
VIDEO ASSISTED THORACIC SURGERY,4,,Q4
VIDEOSURGERY AND OTHER MINIINVASIVE TECHNIQUES,4,,Q2
VIE ET MILIEU LIFE AND ENVIRONMENT,4,,Q4
VIERTELJAHRSHEFTE FUR ZEITGESCHICHTE,4,,Q2
VIETNAM JOURNAL OF CHEMISTRY,4,,Q3
VIETNAM JOURNAL OF COMPUTER SCIENCE,4,,Q3
VIETNAM JOURNAL OF EARTH SCIENCES,4,,Q2
VIETNAM JOURNAL OF MATHEMATICS,4,,Q2
VIEW,3,,Q1
VIGILANCIA SANITARIA EM DEBATE SOCIEDADE CIENCIA AND TECNOLOGIA,4,,Q4
VIGILIAE CHRISTIANAE,3,,
VINCULOS DE HISTORIA,4,,Q2
VINE JOURNAL OF INFORMATION AND KNOWLEDGE MANAGEMENT SYSTEMS,4,,Q1
VIOLENCE AGAINST WOMEN,3,,Q2
VIOLENCE AND GENDER,4,,Q3
VIOLENCE AND VICTIMS,4,,Q3
VIRAJES REVISTA DE ANTROPOLOGIA Y SOCIOLOGIA,4,,Q4
VIRAL HEPATIT DERGISI VIRAL HEPATITIS JOURNAL,4,,Q4
VIRAL IMMUNOLOGY,4,,Q4
VIRCHOWS ARCHIV,2,,Q2
VIREF REVISTA DE EDUCACION FISICA,4,,Q4
VIRGINIA LAW REVIEW,1,Yes,Q1
VIROLOGICA SINICA,2,,Q1
VIROLOGIE,4,,Q4
VIROLOGY,4,,Q3
VIROLOGY JOURNAL,3,,Q2
VIRTUAL AND PHYSICAL PROTOTYPING,1,Yes,Q1
