Journal_Normalized,CAS2025_Quartile,CAS2025_Top,JCR_BestQuartile
WACANA JURNAL ILMU PENGETAHUAN BUDAYA JOURNAL OF HUMANITIES OF INDONESIA,4,,
WACANA SENI JOURNAL OF ART DISCOURSE,2,,
WAFFEN UND KOSTUMKUNDE,4,,
WALLACE STEVENS JOURNAL,4,,
WALT WHITMAN QUARTERLY REVIEW,3,,
WAR AND SOCIETY,4,,Q2
WAR IN HISTORY,3,,Q2
WASAFIRI,4,,
WASHINGTON INTERNATIONAL LAW JOURNAL,4,,Q3
WASHINGTON LAW REVIEW,4,,Q1
WASHINGTON QUARTERLY,3,,Q1
WASSERWIRTSCHAFT,4,,Q4
WASTE AND BIOMASS VALORIZATION,4,,Q3
WASTE DISPOSAL AND SUSTAINABLE ENERGY,3,,Q2
WASTE MANAGEMENT,2,Yes,Q1
WASTE MANAGEMENT AND RESEARCH,4,,Q2
WATER,4,,Q2
WATER AIR AND SOIL POLLUTION,4,,Q2
WATER ALTERNATIVES AN INTERDISCIPLINARY JOURNAL ON WATER POLITICS AND DEVELOPMENT,3,,Q2
WATER AND ENVIRONMENT JOURNAL,4,,Q2
WATER BIOLOGY AND SECURITY,1,Yes,Q1
WATER CONSERVATION SCIENCE AND ENGINEERING,4,,Q3
WATER CYCLE,4,,Q1
WATER ECONOMICS AND POLICY,4,,Q3
WATER ENVIRONMENT RESEARCH,4,,Q2
WATER INTERNATIONAL,4,,Q3
WATER POLICY,4,,Q3
WATER PRACTICE AND TECHNOLOGY,4,,Q3
WATER QUALITY RESEARCH JOURNAL,4,,Q2
WATER RESEARCH,1,Yes,Q1
WATER RESEARCH X,2,,Q1
WATER RESOURCES,4,,Q4
WATER RESOURCES AND ECONOMICS,3,,Q2
WATER RESOURCES AND INDUSTRY,3,,Q1
WATER RESOURCES AND IRRIGATION MANAGEMENT WRIM,,,Q3
WATER RESOURCES MANAGEMENT,2,,Q1
WATER RESOURCES RESEARCH,2,Yes,Q1
WATER REUSE,3,,Q2
WATER SA,4,,Q4
WATER SCIENCE AND ENGINEERING,3,,Q1
WATER SCIENCE AND TECHNOLOGY,4,,Q2
WATER SECURITY,,,Q1
WATER WAVES,4,,Q3
WATERBIRDS,4,,Q3
WAVE MOTION,3,,Q2
WEAR,2,Yes,Q1
WEARABLE TECHNOLOGIES,4,,Q1
WEATHER,4,,Q3
WEATHER AND CLIMATE,4,,Q3
WEATHER AND CLIMATE DYNAMICS,2,,Q1
WEATHER AND CLIMATE EXTREMES,1,Yes,Q1
WEATHER AND FORECASTING,3,,Q2
WEATHER CLIMATE AND SOCIETY,4,,Q3
WEB ECOLOGY,3,,Q2
WEB INTELLIGENCE,4,,Q4
WEED BIOLOGY AND MANAGEMENT,4,,Q3
WEED RESEARCH,3,,Q2
WEED SCIENCE,2,,Q1
WEED TECHNOLOGY,3,,Q2
WEIMARER BEITRAGE,4,,
WELDING IN WORLD,3,,Q2
WELDING INTERNATIONAL,,,Q3
WELDING JOURNAL,4,,Q3
WELLBEING SPACE AND SOCIETY,3,,Q2
WELSH HISTORY REVIEW,4,,Q2
WELT DER SLAVEN HALBJAHRESSCHRIFT FUR SLAVISTIK,3,,
