Journal_Normalized,CAS2025_Quartile,CAS2025_Top,JCR_BestQuartile
ZAGADNIENIA EKONOMIKI ROLNEJ,4,,Q4
ZAGADNIENIA FILOZOFICZNE W NAUCE PHILOSOPHICAL PROBLEMS IN SCIENCE,4,,Q4
ZAGREB INTERNATIONAL REVIEW OF ECONOMICS AND BUSINESS,4,,Q4
ZAMM ZEITSCHRIFT FUR ANGEWANDTE MATHEMATIK UND MECHANIK,4,,Q1
ZAPOROZHYE MEDICAL JOURNAL,4,,Q4
ZBORNIK INSTITUTA ZA PEDAGOSKA ISTRAZIVANJA,4,,Q4
ZBORNIK MATICE SRPSKE ZA LIKOVNE UMETNOSTI MATICA SRPSKA JOURNAL FOR FINE ARTS,3,,
ZBORNIK MATICE SRPSKE ZA SLAVISTIKU MATICA SRPSKA JOURNAL OF SLAVIC STUDIES,4,,
ZBORNIK PRAVNOG FAKULTETA SVEUCILISTA U RIJECI,4,,Q4
ZBORNIK RADOVA EKONOMSKOG FAKULTETA U RIJECI PROCEEDINGS OF RIJEKA FACULTY OF ECONOMICS,4,,Q3
ZBORNIK RADOVA VIZANTOLOSKOG INSTITUTA,4,,
ZBORNIK VELEUCILISTA U RIJECI JOURNAL OF POLYTECHNICS OF RIJEKA,4,,Q3
ZDM MATHEMATICS EDUCATION,3,,Q1
ZDRAVSTVENO VARSTVO,4,,Q2
ZEBRAFISH,4,,Q2
ZEITGESCHICHTE,3,,Q2
ZEITSCHRIFT DER DEUTSCHEN GESELLSCHAFT FUR GEOWISSENSCHAFTEN,4,,Q4
ZEITSCHRIFT DER DEUTSCHEN MORGENLANDISCHEN GESELLSCHAFT,4,,
ZEITSCHRIFT DER GESELLSCHAFT FUR MUSIKTHEORIE,4,,
ZEITSCHRIFT DER SAVIGNY STIFTUNG FUR RECHTSGESCHICHTE KANONISTISCHE ABTEILUNG,,,Q3
ZEITSCHRIFT DER SAVIGNY STIFTUNG FUR RECHTSGESCHICHTE ROMANISTISCHE ABTEILUNG,,,Q2
ZEITSCHRIFT DES DEUTSCHEN PALASTINA VEREINS,4,,
ZEITSCHRIFT FUER GANZHEITLICHE TIERMEDIZIN,4,,Q4
ZEITSCHRIFT FUER INDIVIDUALPSYCHOLOGIE,4,,Q4
ZEITSCHRIFT FUR AGYPTISCHE SPRACHE UND ALTERTUMSKUNDE,4,,
ZEITSCHRIFT FUR ANALYSIS UND IHRE ANWENDUNGEN,4,,Q2
ZEITSCHRIFT FUR ANGEWANDTE MATHEMATIK UND PHYSIK,3,,Q2
ZEITSCHRIFT FUR ANGLISTIK UND AMERIKANISTIK,4,,
ZEITSCHRIFT FUR ANORGANISCHE UND ALLGEMEINE CHEMIE,4,,
ZEITSCHRIFT FUR ANTIKES CHRISTENTUM JOURNAL OF ANCIENT CHRISTIANITY,3,,
ZEITSCHRIFT FUR ARBEITS UND ORGANISATIONSPSYCHOLOGIE,4,,Q3
ZEITSCHRIFT FUR ARZNEI AND GEWURZPFLANZEN,4,,Q4
ZEITSCHRIFT FUR ASSYRIOLOGIE UND VORDERASIATISCHE ARCHAOLOGIE,2,,Q2
ZEITSCHRIFT FUR BIBLIOTHEKSWESEN UND BIBLIOGRAPHIE,4,,Q4
ZEITSCHRIFT FUR DEUTSCHE PHILOLOGIE,4,,
ZEITSCHRIFT FUR DEUTSCHES ALTERTUM UND DEUTSCHE LITERATUR,4,,
ZEITSCHRIFT FUR DIALEKTOLOGIE UND LINGUISTIK,4,,Q4
ZEITSCHRIFT FUR DIE ALTTESTAMENTLICHE WISSENSCHAFT,3,,
ZEITSCHRIFT FUR DIE NEUTESTAMENTLICHE WISSENSCHAFT UND DIE KUNDE DER ALTEREN KIRCHE,3,,
ZEITSCHRIFT FUR EMPIRISCHE KULTURWISSENSCHAFT,4,,
ZEITSCHRIFT FUR ENTWICKLUNGSPSYCHOLOGIE UND PADAGOGISCHE PSYCHOLOGIE,4,,Q3
ZEITSCHRIFT FUR EPILEPTOLOGIE,,,Q4
ZEITSCHRIFT FUR ERZIEHUNGSWISSENSCHAFT,4,,Q3
ZEITSCHRIFT FUR ETHNOLOGIE JOURNAL OF SOCIAL AND CULTURAL ANTHROPOLOGY,4,,Q4
ZEITSCHRIFT FUR EVALUATION,4,,Q4
